unix_timestamp,active_power (mW)
1770299269799990,43740
1770299269842515,39710
1770299269885238,35810
1770299269929703,43910
1770299269972747,43880
1770299270015931,43810
1770299270058882,43690
1770299270101939,43670
1770299270144960,43740
1770299270188095,43660
1770299270231288,43770
1770299270274474,43790
1770299270317736,43860
1770299270360830,43870
1770299270404022,43870
1770299270449562,43820
1770299270492645,43820
1770299270535755,43830
1770299270578707,43730
1770299270621371,43910
1770299270664511,43730
1770299270707641,43760
1770299270750660,43840
1770299270793640,43720
1770299270836633,43770
1770299270879761,43860
1770299270922615,43820
1770299270969485,43770
1770299271012534,43820
1770299271055446,43830
1770299271098328,43880
1770299271141460,43970
1770299271184680,43880
1770299271227922,43880
1770299271271005,43850
1770299271314087,43830
1770299271357068,43820
1770299271400072,43800
1770299271443110,43800
1770299271489385,43770
1770299271532372,43900
1770299271575353,43870
1770299271618429,43920
1770299271661549,43900
1770299271704556,43890
1770299271747621,43760
1770299271790755,43780
1770299271833768,43680
1770299271876892,43720
1770299271920229,43740
1770299271963278,43750
1770299272009156,43790
1770299272052175,43820
1770299272095086,43800
1770299272138282,43860
1770299272181199,43790
1770299272224367,43830
1770299272267498,43880
1770299272310566,43840
1770299272353650,43880
1770299272396869,43870
1770299272440052,43820
1770299272482985,43920
1770299272529119,43920
1770299272572142,43930
1770299272615116,43830
1770299272658194,43870
1770299272701200,43840
1770299272744384,43810
1770299272787573,43770
1770299272830703,43850
1770299272873779,43720
1770299272916739,43740
1770299272959850,43880
1770299273003121,43830
1770299273048887,43920
1770299273092034,43820
1770299273134901,43910
1770299273178027,43890
1770299273221000,43860
1770299273264094,43840
1770299273307049,43880
1770299273350221,43760
1770299273393123,43740
1770299273436380,44000
1770299273479556,43800
1770299273522627,43790
1770299273568938,43810
1770299273612048,43830
1770299273655000,43850
1770299273698177,43890
1770299273741214,43910
1770299273784212,43870
1770299273827321,43850
1770299273870218,43900
1770299273913414,43890
1770299273956537,43850
1770299273999770,43870
1770299274042744,43910
1770299274088840,43900
1770299274131963,43940
1770299274175091,43790
1770299274218215,43850
1770299274261146,43890
1770299274304103,43850
1770299274347155,43770
1770299274390078,43880
1770299274432961,43750
1770299274476063,43850
1770299274519105,43920
1770299274562233,43760
1770299274608652,43870
1770299274651829,43880
1770299274694824,43840
1770299274737091,43920
1770299274779979,43850
1770299274822798,43870
1770299274865791,43800
1770299274908647,43910
1770299274951757,43880
1770299274994558,43840
1770299275037543,43870
1770299275080658,43920
1770299275123644,43950
1770299275168652,43900
1770299275211733,43810
1770299275254723,43810
1770299275297811,43860
1770299275341059,43840
1770299275384266,43830
1770299275427178,43830
1770299275470348,44010
1770299275513351,43770
1770299275556344,43840
1770299275599212,43880
1770299275642358,43780
1770299275688617,43860
1770299275731723,44470
1770299275774879,43980
1770299275817894,43910
1770299275860539,43800
1770299275903451,43880
1770299275946568,43900
1770299275989228,43880
1770299276032370,43800
1770299276075540,43890
1770299276118603,43840
1770299276161602,43830
