unix_timestamp,active_power (mW)
1770293217678016,40430
1770293217724628,40650
1770293217767734,40350
1770293217810611,40320
1770293217853592,40280
1770293217896723,40360
1770293217939723,40380
1770293217982812,40390
1770293218025981,40340
1770293218069235,40340
1770293218112310,40420
1770293218155311,40350
1770293218198335,40400
1770293218244797,40600
1770293218287936,40420
1770293218331175,40350
1770293218374323,40360
1770293218417312,40360
1770293218460303,40370
1770293218503352,40370
1770293218545850,40320
1770293218589025,40430
1770293218632257,40420
1770293218675292,40420
1770293218718306,40500
1770293218764923,40410
1770293218808085,40480
1770293218851040,40510
1770293218894102,40460
1770293218936736,40440
1770293218979952,40390
1770293219023090,40320
1770293219066012,40350
1770293219109055,40390
1770293219152168,40340
1770293219195362,40420
1770293219238350,40390
1770293219280664,40400
1770293219325096,40410
1770293219368312,40320
1770293219411268,40540
1770293219454343,40410
1770293219497258,40470
1770293219540414,40360
1770293219583458,40370
1770293219626497,40410
1770293219669539,40430
1770293219712577,40430
1770293219755522,40440
1770293219798753,40440
1770293219845284,40430
1770293219888424,40390
1770293219931377,40420
1770293219974185,40400
1770293220016726,40340
1770293220059875,40340
1770293220102833,40420
1770293220145807,40440
1770293220188646,40450
1770293220231762,40460
1770293220274973,40450
1770293220318234,40450
1770293220360708,40380
1770293220405480,40340
1770293220448638,40240
1770293220491820,40370
1770293220535036,40380
1770293220578091,40360
1770293220621202,40350
1770293220664459,40400
1770293220707711,40360
1770293220750789,40390
1770293220793735,40320
1770293220836961,40280
1770293220880126,40270
1770293220925726,40410
1770293220968564,40410
1770293221011511,40430
1770293221054573,40360
1770293221097556,40360
1770293221140635,40320
1770293221183681,40340
1770293221226815,40260
1770293221269935,40310
1770293221313000,40330
1770293221356119,40330
1770293221399090,40470
1770293221445906,40430
1770293221489127,40390
1770293221532365,40310
1770293221575319,40260
1770293221618432,40290
1770293221661591,40300
1770293221704474,40280
1770293221747471,40350
1770293221790577,40370
1770293221833477,40370
1770293221876421,40380
1770293221919373,40440
1770293221966223,40280
1770293222008643,40260
1770293222051792,40280
1770293222094835,40410
1770293222137960,40360
1770293222180866,40400
1770293222224082,40460
1770293222267234,40340
1770293222310181,40350
1770293222353203,40320
1770293222396258,40840
1770293222439501,40260
1770293222486396,40350
1770293222529373,40370
1770293222572389,40400
1770293222615316,40310
1770293222658260,40370
1770293222701418,40350
1770293222744439,40380
1770293222787305,40440
1770293222830498,40370
1770293222873258,40460
1770293222916289,40450
1770293222959472,40360
1770293223002426,40500
1770293223046594,40350
1770293223089605,40350
1770293223132821,40370
1770293223176005,40470
1770293223218979,40410
1770293223262155,40450
1770293223305303,40450
1770293223348406,41200
1770293223391351,40830
1770293223434295,40500
1770293223477319,40340
1770293223520397,40520
1770293223566944,40490
1770293223610046,40520
1770293223653057,40470
1770293223696180,40460
1770293223739131,40390
1770293223782168,40410
1770293223824659,40410
1770293223867897,40480
1770293223911013,40580
1770293223954160,40490
1770293223997143,40570
1770293224040067,40460
1770293224087166,40420
1770293224130317,40420
1770293224173314,40390
1770293224216351,40450
1770293224259314,40470
1770293224302365,40510
1770293224345499,40480
1770293224388421,40530
1770293224431418,40660
1770293224474462,40390
1770293224517315,40430
1770293224560388,40360
1770293224607313,40410
1770293224650320,40500
1770293224693450,40460
