unix_timestamp,active_power (mW)
1770297492105406,42820
1770297492148398,37680
1770297492191226,41890
1770297492234291,43560
1770297492276637,43440
1770297492319673,43400
1770297492362721,43510
1770297492405677,43360
1770297492448901,43490
1770297492492124,43450
1770297492535326,43400
1770297492578512,43370
1770297492623933,43370
1770297492667080,43480
1770297492710239,43440
1770297492753226,43400
1770297492796269,43450
1770297492839405,43440
1770297492882402,43380
1770297492925425,43460
1770297492968432,43410
1770297493011396,43430
1770297493054517,43430
1770297493097451,43440
1770297493143993,43370
1770297493187108,43380
1770297493230112,43370
1770297493273277,43460
1770297493316451,43430
1770297493359619,43450
1770297493402584,43400
1770297493445634,43550
1770297493488639,43420
1770297493531766,43360
1770297493574952,43380
1770297493618234,43380
1770297493664099,43410
1770297493707171,43370
1770297493750407,43400
1770297493793260,43400
1770297493836447,43410
1770297493879443,43460
1770297493922532,43400
1770297493964977,43530
1770297494008080,43480
1770297494051095,43450
1770297494093990,43450
1770297494136953,43370
1770297494180055,43450
1770297494224037,43370
1770297494267252,43420
1770297494310494,43370
1770297494353423,43370
1770297494396476,43460
1770297494439520,43350
1770297494482021,43390
1770297494525078,43410
1770297494568075,43390
1770297494611244,43370
1770297494654352,43480
1770297494697219,43400
1770297494744162,43380
1770297494787353,43370
1770297494830210,43320
1770297494873347,43380
1770297494916379,43400
1770297494959536,43380
1770297495002452,43420
1770297495045579,43440
1770297495088539,43420
1770297495131418,43390
1770297495174487,43490
1770297495217397,43430
1770297495260405,43440
1770297495304388,43340
1770297495347503,43410
1770297495390370,43390
1770297495433248,43570
1770297495476363,43420
1770297495519380,43440
1770297495562513,43550
1770297495605099,43370
1770297495648317,43430
1770297495691552,43400
1770297495734465,43370
1770297495777251,43380
1770297495820542,43430
1770297495864598,43390
1770297495907485,43360
1770297495950492,43380
1770297495993594,43480
1770297496036523,43400
1770297496079542,43460
1770297496122590,43400
1770297496165471,43340
1770297496208647,43370
1770297496251676,43340
1770297496294795,43440
1770297496337606,43440
1770297496384449,43430
1770297496427344,43460
1770297496470367,43360
1770297496513378,43380
1770297496556462,43420
1770297496599437,43360
1770297496642440,43440
1770297496685432,43560
1770297496728613,43450
1770297496771735,43400
1770297496814733,43420
1770297496857564,43340
1770297496900433,43430
1770297496944816,43400
1770297496987895,43400
1770297497030974,43430
1770297497073592,43510
1770297497116567,43470
1770297497159580,43410
1770297497202564,43440
1770297497245665,43410
1770297497288833,43320
1770297497332073,43400
1770297497375152,43410
1770297497418126,43440
1770297497464876,43450
1770297497508090,43350
1770297497551121,43440
1770297497594194,43440
1770297497637178,43440
1770297497680377,43470
1770297497723413,43500
1770297497766410,43450
1770297497808858,43530
1770297497851816,43420
1770297497895085,43410
1770297497937847,43340
1770297497980832,43400
1770297498025080,43440
1770297498068245,43480
1770297498111386,43440
1770297498154426,43460
1770297498197665,43420
1770297498240891,43390
1770297498284126,43440
1770297498327273,43380
