unix_timestamp,active_power (mW)
1770298121880346,43470
1770298121923169,39410
1770298121965958,35710
1770298122011983,43400
1770298122055003,43460
1770298122098006,43410
1770298122141045,43380
1770298122184053,43430
1770298122227074,43450
1770298122270075,43490
1770298122312987,43410
1770298122355970,43420
1770298122398937,43430
1770298122442045,43490
1770298122484999,43440
1770298122531820,43380
1770298122574721,43490
1770298122617811,43450
1770298122660769,43420
1770298122703830,43530
1770298122746886,43480
1770298122789927,43480
1770298122832965,43440
1770298122875983,43430
1770298122918865,43490
1770298122961877,43530
1770298123004979,43490
1770298123051852,43550
1770298123094917,43440
1770298123137825,43510
1770298123180722,43510
1770298123223646,44160
1770298123266755,43830
1770298123309621,43520
1770298123352619,43450
1770298123395776,43500
1770298123438870,43530
1770298123481921,43650
1770298123525036,43590
1770298123571850,43520
1770298123614998,43540
1770298123658100,43500
1770298123701056,43580
1770298123743883,43540
1770298123786979,43490
1770298123829941,43540
1770298123873045,43520
1770298123916063,43500
1770298123959141,43470
1770298124002032,43530
1770298124045119,43440
1770298124091778,43380
1770298124134891,43420
1770298124178018,43450
1770298124221062,43470
1770298124264087,43410
1770298124307016,43460
1770298124349987,43390
1770298124393034,43390
1770298124435993,43460
1770298124478821,43540
1770298124521972,43450
1770298124564959,43520
1770298124611688,43410
1770298124654608,43470
1770298124697699,43460
1770298124740652,43640
1770298124783837,43570
1770298124826699,43560
1770298124869929,43550
1770298124912708,43620
1770298124955945,43540
1770298124999036,43510
1770298125041606,43520
1770298125084466,43570
1770298125127694,43540
1770298125171748,43590
1770298125214759,43580
1770298125257737,43580
1770298125300782,43520
1770298125343722,43500
1770298125386644,43560
1770298125429484,43500
1770298125472640,43550
1770298125515606,43500
1770298125558359,43460
1770298125601337,43460
1770298125644481,43460
1770298125687637,43480
1770298125731645,43490
1770298125774751,43560
1770298125817861,43420
1770298125860921,43420
1770298125904047,43460
1770298125946915,43450
1770298125989927,43420
1770298126032955,43470
1770298126075941,43440
1770298126119065,43380
1770298126161939,43460
1770298126205098,43560
1770298126251627,43480
1770298126294677,43430
1770298126337744,43470
1770298126380844,43400
1770298126423822,43380
1770298126466944,43420
1770298126509800,43420
1770298126552947,43400
1770298126595935,43420
1770298126639062,43390
1770298126682221,43470
1770298126725124,43410
1770298126771600,43510
1770298126814725,43390
1770298126857997,43430
1770298126900756,43430
1770298126943784,43370
1770298126986810,43450
1770298127029828,43420
1770298127072999,43420
1770298127115909,43390
1770298127158981,43460
1770298127202023,43430
1770298127245088,43340
1770298127291608,43390
1770298127334717,43430
1770298127377857,43370
1770298127420886,43520
1770298127464055,43350
1770298127507132,43450
1770298127549694,43570
1770298127592608,43440
1770298127635764,43420
1770298127678918,43490
1770298127721936,43490
1770298127764995,43500
1770298127811614,43450
1770298127854712,43520
1770298127897604,43420
1770298127940478,43520
1770298127983529,43520
1770298128026506,43480
1770298128069605,43500
1770298128112579,43500
1770298128155820,43490
1770298128198954,43490
1770298128241934,43530
1770298128285065,43520
1770298128331498,43470
1770298128374637,43550
1770298128417551,43500
1770298128460621,43520
1770298128503566,43450
1770298128546549,43460
1770298128589623,43500
1770298128632589,43460
1770298128675745,43500
1770298128718816,43440
1770298128761791,43460
1770298128804694,43450
1770298128851474,43880
1770298128894451,43450
1770298128937505,43450
1770298128980589,43440
1770298129023642,43480
1770298129066765,43450
1770298129109763,43410
1770298129152874,43440
1770298129196048,43460
1770298129238953,43410
1770298129282059,43410
1770298129324985,43370
1770298129371530,43400
1770298129414710,43490
1770298129457458,43400
1770298129500486,43340
1770298129543598,43420
1770298129586406,43400
1770298129629574,43400
1770298129672603,43410
1770298129715416,43440
1770298129758596,43460
1770298129801491,43360
1770298129844310,43420
1770298129887585,43380
1770298129931601,43460
1770298129974387,43410
1770298130017449,43380
1770298130060449,43370
1770298130103556,43430
1770298130146476,43350
1770298130189641,43390
1770298130232876,43470
1770298130276073,43440
1770298130319079,43430
1770298130362043,43380
1770298130404886,43460
1770298130451470,43410
1770298130494564,43470
1770298130537562,43400
1770298130580802,43430
1770298130624003,43440
1770298130667086,43390
1770298130710017,43430
1770298130753090,43440
1770298130796001,43460
1770298130838899,43400
1770298130881945,43460
1770298130924666,43590
1770298130971478,43490
1770298131014539,43440
1770298131057506,43410
1770298131100624,43410
1770298131143698,43500
1770298131186725,43490
1770298131229898,43470
1770298131272820,43480
1770298131315938,43520
1770298131358827,43410
1770298131401795,43500
1770298131445014,43520
1770298131491547,43500
1770298131534572,43600
1770298131577497,43460
1770298131620645,43470
1770298131663823,43480
1770298131707026,43520
1770298131750063,43470
1770298131793103,43450
1770298131835952,43460
1770298131879043,43420
1770298131921731,43450
1770298131964667,43450
1770298132011491,43470
1770298132054544,43510
1770298132097555,43530
1770298132140686,43430
1770298132183911,43430
1770298132227123,43410
1770298132270324,43430
1770298132313573,43400
1770298132356757,43470
1770298132399946,43470
1770298132443150,43440
1770298132486044,43370
1770298132531467,43550
1770298132574580,43390
1770298132617747,43440
1770298132660779,43470
1770298132703888,43470
1770298132747126,43450
1770298132790168,43420
1770298132833105,43380
1770298132876016,43440
1770298132918792,43480
1770298132961782,44020
1770298133004957,43580
1770298133051494,43350
1770298133094477,43430
1770298133136758,43440
1770298133179859,43430
1770298133222794,43430
1770298133265991,43440
1770298133309035,43380
1770298133352115,43380
1770298133395109,43450
1770298133438158,43390
1770298133481068,43640
1770298133524133,43460
1770298133567059,43450
1770298133611477,43400
1770298133654548,43400
1770298133697782,43460
1770298133740961,43370
1770298133784168,43440
1770298133827057,43430
1770298133870325,43450
1770298133913450,43420
1770298133956519,43430
1770298133999581,43410
1770298134042474,43480
1770298134085645,43380
1770298134131425,43400
1770298134174588,43420
1770298134217701,43450
1770298134260706,43480
1770298134303591,43380
1770298134346693,43410
1770298134389874,43400
1770298134432930,43490
1770298134476064,43440
1770298134518991,43430
1770298134561911,43400
1770298134604927,43470
1770298134651432,43510
1770298134694545,43470
1770298134737529,43500
1770298134780700,43600
1770298134823696,43490
1770298134866754,43520
1770298134909470,43490
1770298134952591,43520
1770298134995745,43590
1770298135038955,43560
1770298135082049,43560
1770298135124976,43540
1770298135171460,43450
1770298135214568,43530
1770298135257752,43520
1770298135300887,43480
1770298135343871,43550
1770298135386956,43470
1770298135429886,43610
1770298135472958,43480
1770298135515856,43440
1770298135558785,43580
1770298135601562,43390
1770298135644487,43510
1770298135691306,43460
1770298135733888,43500
1770298135776932,43420
1770298135819780,43370
1770298135862723,43440
1770298135905313,43460
1770298135948409,43460
1770298135991452,43460
1770298136034525,43470
1770298136077596,43520
1770298136120644,43490
1770298136163723,43410
1770298136206818,43460
1770298136251295,43430
1770298136294465,43430
1770298136337604,43480
1770298136380615,43410
1770298136423697,43430
1770298136466587,43450
1770298136509480,43500
1770298136552565,43440
1770298136595560,43390
1770298136638700,43450
1770298136681802,43490
1770298136724813,43480
1770298136771318,43390
1770298136814398,44010
1770298136857547,43390
1770298136900797,43500
1770298136944010,43420
1770298136986849,43430
1770298137030060,44240
1770298137072589,43350
1770298137115757,43450
1770298137158965,43440
1770298137202067,43510
1770298137245153,43520
1770298137291222,43480
1770298137334364,43460
1770298137377603,43470
1770298137420824,43590
1770298137463705,43450
1770298137506870,43460
1770298137549840,43460
1770298137592968,43470
1770298137636056,43420
