unix_timestamp,active_power (mW)
1769591829481134,43770
1769591829524038,45040
1769591829566691,45370
1769591829609817,45270
1769591829653035,45340
1769591829696269,45290
1769591829739410,45350
1769591829781736,45320
1769591829825003,45360
1769591829868075,45320
1769591829911149,45330
1769591829954295,45390
1769591829999680,45400
1769591830042769,45350
1769591830085732,45390
1769591830128711,45520
1769591830171196,45500
1769591830213775,45530
1769591830256957,45550
1769591830299932,45590
1769591830343162,45580
1769591830386025,45590
1769591830429205,45490
1769591830472439,45520
1769591830515232,45520
1769591830559819,45510
1769591830602983,45500
1769591830645900,45510
1769591830688545,45480
1769591830731736,45550
1769591830774747,45550
1769591830817844,45500
1769591830860935,45430
1769591830904121,45460
1769591830946898,45530
1769591830989481,45430
1769591831032554,45470
1769591831075661,45340
1769591831119989,45320
1769591831163148,45350
1769591831205637,45260
1769591831248540,45330
1769591831291397,45290
1769591831334627,45250
1769591831377810,45250
1769591831420886,45310
1769591831463964,45300
1769591831506702,45320
1769591831549699,45460
1769591831592598,45380
1769591831635456,45430
1769591831680277,45460
1769591831723083,45420
1769591831766239,45410
1769591831808726,45390
1769591831851823,45320
1769591831894117,45350
1769591831937239,45280
1769591831980192,45360
1769591832023224,45390
1769591832066297,45360
1769591832109584,45370
1769591832152365,45400
1769591832195457,45320
1769591832240245,45310
1769591832283397,45370
1769591832325930,45370
1769591832369141,45390
1769591832412035,45280
1769591832455094,45290
1769591832497429,45340
1769591832540499,45330
1769591832583532,45450
1769591832625692,45420
1769591832668736,45560
1769591832711538,45500
1769591832753984,45500
1769591832800617,45520
1769591832843454,45480
1769591832886553,45500
1769591832929536,45520
1769591832972725,45520
1769591833015725,45570
1769591833058903,45570
1769591833101698,45560
1769591833144900,45540
1769591833187805,45520
1769591833230949,45600
1769591833273695,45580
1769591833316755,45580
1769591833360742,45570
1769591833403789,45450
1769591833446772,45370
1769591833489659,45400
1769591833532012,45420
1769591833574608,45380
1769591833617649,45330
1769591833660613,45290
1769591833703171,45320
1769591833746336,45300
1769591833789222,45250
1769591833832482,45240
1769591833875683,45260
1769591833920696,45200
1769591833963591,45280
1769591834006320,45370
1769591834049399,45440
1769591834092550,45400
1769591834135440,45380
1769591834178029,45390
1769591834221044,45320
1769591834263951,45400
1769591834306657,45450
1769591834349865,45410
1769591834393008,45470
1769591834436091,45540
1769591834481179,45580
