unix_timestamp,active_power (mW)
1769593507598903,43980
1769593507641433,44680
1769593507684375,45960
1769593507727492,45970
1769593507770497,46010
1769593507813294,45980
1769593507859382,46040
1769593507901952,46070
1769593507945011,46110
1769593507987896,46070
1769593508031121,45960
1769593508074277,46120
1769593508117276,46100
1769593508160295,46100
1769593508202957,46080
1769593508245651,46060
1769593508288721,45990
1769593508332077,46050
1769593508374586,45920
1769593508419244,45850
1769593508462364,45900
1769593508505652,45830
1769593508548805,45880
1769593508591905,45810
1769593508634857,45840
1769593508677788,45880
1769593508720804,45870
1769593508763700,45900
1769593508806245,45740
1769593508849620,45820
1769593508892558,45730
1769593508939026,45800
1769593508982354,45790
1769593509025547,45860
1769593509068436,46000
1769593509111632,45930
1769593509154311,45880
1769593509197391,45900
1769593509240462,45800
1769593509283031,45830
1769593509326138,45890
1769593509369058,45930
1769593509411609,45840
1769593509454716,45960
1769593509499143,45930
1769593509541491,45930
1769593509584676,45990
1769593509627338,46040
1769593509670458,45990
1769593509713608,46000
1769593509756886,45980
1769593509799925,46000
1769593509842866,46020
1769593509885731,45910
1769593509928908,45900
1769593509971888,45870
1769593510014645,45820
1769593510058894,45720
1769593510101923,45710
1769593510144471,45770
1769593510187309,45850
1769593510230056,45780
1769593510273119,45880
1769593510316208,45810
1769593510359175,45800
1769593510401831,45880
1769593510445002,45860
1769593510488011,45890
1769593510530510,45950
1769593510573445,45860
1769593510618866,45810
1769593510661863,45880
1769593510704957,45800
1769593510747873,45760
1769593510790861,45770
1769593510833680,45810
1769593510876237,45810
1769593510919029,45830
1769593510961404,45790
1769593511004473,45830
1769593511047521,45840
1769593511090608,45830
1769593511133822,45980
1769593511179806,45870
1769593511222374,45940
1769593511265554,45910
1769593511308604,45980
1769593511351650,45930
1769593511394689,45920
1769593511437788,46010
1769593511480486,45920
1769593511523517,46000
1769593511566609,46010
1769593511609893,46020
1769593511652997,46010
1769593511698877,46000
1769593511742064,46070
1769593511785126,46020
1769593511827980,46010
1769593511871077,46030
1769593511914102,46070
1769593511957135,45960
1769593512000117,46110
1769593512043363,45930
1769593512086106,45930
1769593512129360,45850
1769593512172383,45850
1769593512218605,45810
1769593512261699,45780
1769593512304966,45760
1769593512348171,45830
1769593512390790,45830
1769593512433890,45870
1769593512477097,45820
1769593512520301,45850
1769593512563216,45920
1769593512606342,45940
1769593512649340,45920
1769593512692457,45950
1769593512738611,45940
1769593512781804,45950
1769593512824928,46020
1769593512868007,45960
1769593512911031,46020
1769593512954151,45990
1769593512997178,46060
1769593513039743,46060
1769593513082763,46110
1769593513125744,46130
1769593513168564,46100
1769593513211335,46080
1769593513253886,46110
1769593513298678,46100
1769593513341857,46050
1769593513384999,46070
1769593513427968,45920
1769593513471083,45920
1769593513513792,45880
1769593513557036,45860
1769593513599903,45870
1769593513643095,45880
1769593513686234,45810
1769593513729473,45940
1769593513772715,45930
1769593513818510,45890
1769593513860805,45870
1769593513903596,45870
1769593513946609,45790
1769593513989442,45830
1769593514032654,45780
1769593514075627,45670
1769593514118563,45790
1769593514161591,45740
1769593514204182,45700
1769593514246725,45790
1769593514289715,45820
1769593514332853,45750
1769593514378363,45780
1769593514421507,45810
1769593514464684,45900
1769593514507766,45800
1769593514550664,45880
1769593514593593,45810
1769593514636795,45830
1769593514679882,45850
1769593514723231,45890
1769593514765922,45840
1769593514808476,45850
1769593514851550,45840
1769593514898295,45790
1769593514941304,45810
1769593514984532,45790
1769593515027146,45740
1769593515070580,45750
1769593515113469,45720
1769593515156383,45740
1769593515199475,45810
