unix_timestamp,active_power (mW)
1769590592216513,44530
1769590592258714,44740
1769590592302018,46420
1769590592345154,46470
1769590592388023,46510
1769590592430937,46470
1769590592476067,46480
1769590592518665,46440
1769590592561264,46490
1769590592604490,46540
1769590592647772,46510
1769590592690957,46590
1769590592733909,46560
1769590592776951,46540
1769590592819817,46610
1769590592862698,46620
1769590592905337,46660
1769590592948548,46640
1769590592991710,46650
1769590593036170,46670
1769590593078680,46640
1769590593121760,46640
1769590593164804,46700
1769590593207776,46620
1769590593250835,46650
1769590593293824,46620
1769590593336886,46630
1769590593379983,46590
1769590593422590,46610
1769590593465589,46580
1769590593508716,46520
1769590593551892,46470
1769590593595914,46460
1769590593639020,46400
1769590593681871,46380
1769590593725013,46360
1769590593768018,46460
1769590593810815,46360
1769590593853927,46350
1769590593896883,46430
1769590593939715,46480
1769590593982927,46410
1769590594025446,46430
1769590594068532,46420
1769590594111408,46430
1769590594155865,46480
1769590594198982,46480
1769590594242052,46530
1769590594285049,46520
1769590594327434,46500
1769590594370551,46540
1769590594413597,46590
1769590594456886,46570
1769590594499982,46620
1769590594542850,46570
1769590594585726,46630
1769590594628635,46610
1769590594671816,46640
1769590594715899,46640
1769590594758599,46680
1769590594801645,46640
1769590594844694,46720
1769590594887813,46740
1769590594930421,46730
1769590594973681,46750
1769590595016884,46720
1769590595059895,46720
1769590595102482,46610
1769590595145484,46750
1769590595188609,46720
1769590595231327,46720
1769590595275797,46680
1769590595318492,46630
1769590595361591,46570
1769590595404647,46630
1769590595447444,46520
1769590595490592,46570
1769590595533732,46540
1769590595576715,46500
1769590595619847,46540
1769590595662860,46550
1769590595706013,46670
1769590595749111,46600
1769590595795656,46580
1769590595838554,46640
1769590595881685,46590
1769590595924599,46680
1769590595967359,46700
1769590596009771,46530
1769590596052849,46700
1769590596095930,46690
1769590596138688,46650
1769590596181794,46550
1769590596224831,46530
1769590596268067,46540
1769590596310763,46530
1769590596355480,46350
1769590596398653,46420
1769590596441667,46460
1769590596484775,46480
1769590596527827,46350
1769590596570712,46470
1769590596613906,46420
1769590596657127,46450
1769590596699953,46380
1769590596742384,46340
1769590596785414,46350
1769590596828605,46400
1769590596875518,46420
1769590596918557,46440
1769590596961256,46470
1769590597004355,46450
1769590597046677,46490
1769590597089739,46460
1769590597132950,46450
1769590597176032,46520
1769590597219021,46600
1769590597262150,46510
1769590597304620,46520
1769590597347274,46670
1769590597389827,46600
1769590597435484,46620
1769590597478549,46650
1769590597521573,46610
1769590597564693,46610
1769590597607979,46700
1769590597650650,46640
1769590597693690,46660
1769590597736613,46560
1769590597779286,46620
1769590597822097,46710
1769590597864957,46590
1769590597907986,46620
1769590597951037,46550
1769590597995342,46370
1769590598038869,46380
1769590598081987,46360
1769590598124764,46430
1769590598167659,46410
1769590598210819,46440
1769590598253761,46490
1769590598296921,46460
1769590598339685,46420
1769590598382310,46450
1769590598425478,46500
1769590598468693,46520
1769590598515196,46500
1769590598558412,46570
1769590598601330,46560
1769590598644275,46480
1769590598687495,46590
1769590598730565,46580
1769590598773714,46660
1769590598816847,46600
1769590598859769,46650
1769590598903017,46620
1769590598945863,46630
1769590598988827,46690
1769590599035194,46640
1769590599077880,46570
1769590599121167,46630
1769590599164380,46630
1769590599207518,46680
1769590599250096,46560
1769590599293140,46560
1769590599336322,46530
1769590599379170,46480
1769590599421570,46420
1769590599464599,46350
1769590599507589,46430
1769590599549848,46380
1769590599594957,46420
1769590599638023,46410
1769590599681015,46460
1769590599723977,46490
1769590599766643,46400
1769590599809786,46450
1769590599852886,46500
1769590599895941,46530
1769590599939074,46470
1769590599982053,46540
1769590600024671,46590
1769590600067476,46630
1769590600109985,46590
1769590600155000,46630
1769590600198146,46750
