unix_timestamp,active_power (mW)
1769592684650588,44510
1769592684693534,44230
1769592684736417,45380
1769592684779670,45280
1769592684825456,45310
1769592684868456,45250
1769592684911415,45300
1769592684954586,45290
1769592684997818,45290
1769592685040877,45330
1769592685083824,45350
1769592685126660,45240
1769592685169723,45230
1769592685212815,45250
1769592685255647,45300
1769592685298816,45380
1769592685345482,45320
1769592685388359,45310
1769592685431280,45290
1769592685473832,45270
1769592685516841,45230
1769592685559941,45280
1769592685602936,45260
1769592685645912,45340
1769592685688880,45330
1769592685731333,45250
1769592685774463,45260
1769592685817530,45190
1769592685860334,45260
1769592685905418,45240
1769592685947860,45230
1769592685990879,45200
1769592686033638,45230
1769592686076217,45200
1769592686119398,45210
1769592686161883,45210
1769592686204994,45220
1769592686247913,45200
1769592686290402,45170
1769592686333642,45190
1769592686376896,45210
1769592686420037,45240
1769592686465579,45190
1769592686508673,45200
1769592686551558,45230
1769592686594279,45300
1769592686637413,45200
1769592686680449,45240
1769592686723628,45140
1769592686766466,45200
1769592686809784,45130
1769592686852745,45220
1769592686895851,45150
1769592686938883,45180
1769592686985626,45110
1769592687028629,45120
1769592687071604,45240
1769592687114385,45170
1769592687157608,45140
1769592687200534,45120
1769592687243335,45240
1769592687285790,45090
1769592687328885,45160
1769592687371964,45220
1769592687414345,45180
1769592687457474,45150
1769592687500465,45180
1769592687545526,45170
1769592687588706,45200
1769592687631563,45160
1769592687674052,45170
1769592687717172,45220
1769592687760267,45170
1769592687803364,45170
1769592687846530,45160
1769592687889532,45150
1769592687932759,45240
1769592687975901,45170
1769592688018895,45290
1769592688065661,45230
1769592688108782,45260
1769592688151190,45300
1769592688193825,45310
1769592688236785,45290
1769592688279598,45330
1769592688322742,45250
1769592688365836,45240
1769592688408826,45240
1769592688451620,45310
1769592688493935,45210
1769592688536999,45250
1769592688580247,45230
1769592688625572,45170
1769592688668778,45200
1769592688711098,45190
1769592688753489,45190
1769592688796660,45250
1769592688839471,45180
1769592688881849,45220
1769592688924849,45190
1769592688967944,45220
1769592689010902,45170
1769592689054069,45180
1769592689097247,45200
1769592689140318,45190
1769592689185572,45130
1769592689228412,45190
1769592689271587,45170
1769592689314822,45150
1769592689357828,45220
1769592689400755,45220
1769592689443606,45190
1769592689486372,45100
1769592689529509,45140
1769592689572564,45210
1769592689615625,45180
1769592689658297,45190
1769592689701281,45240
1769592689745683,45210
1769592689788801,45210
1769592689831469,45240
1769592689873740,45190
1769592689916860,45200
1769592689959770,45140
1769592690002242,45210
1769592690044807,45170
1769592690087629,45180
1769592690130587,45280
1769592690173606,45180
1769592690216541,45190
1769592690259881,45210
1769592690305624,45180
1769592690348688,45180
1769592690391647,45170
1769592690434754,45210
1769592690477850,45210
1769592690520936,45250
1769592690563884,45170
1769592690606838,45160
1769592690649811,45140
1769592690692813,45230
1769592690735463,45130
1769592690778707,45210
1769592690825665,45160
1769592690868749,45160
1769592690911918,45190
1769592690954851,45240
1769592690998043,45150
1769592691041232,45180
1769592691084455,45190
1769592691127630,45130
1769592691170565,45190
1769592691213682,45150
1769592691256110,45170
1769592691298789,45160
1769592691345499,45150
1769592691388414,45230
1769592691431648,45140
1769592691474118,45210
1769592691517335,45200
1769592691560325,45210
1769592691602942,45200
1769592691645854,45170
1769592691688815,45160
1769592691731125,45150
1769592691774217,45150
1769592691817312,45210
1769592691859974,45190
1769592691905592,45190
1769592691948811,45180
1769592691991648,45140
1769592692034536,45160
1769592692077694,45120
1769592692120883,45270
1769592692164086,45240
1769592692207290,45180
1769592692250321,45180
1769592692293405,45190
1769592692336599,45190
1769592692379804,45160
1769592692425690,45210
1769592692468408,45180
1769592692511248,45200
1769592692553790,45200
1769592692596823,45210
1769592692639866,45140
1769592692682954,45210
1769592692725982,45170
1769592692769135,45240
1769592692812313,45190
1769592692854948,45150
1769592692897762,45120
1769592692940770,45090
1769592692985667,45200
1769592693028715,45140
1769592693071204,45200
1769592693113690,45160
1769592693156284,45140
1769592693199430,45160
1769592693242542,45180
1769592693285601,45150
1769592693328694,45190
1769592693371872,45210
1769592693414846,45140
1769592693457974,45110
1769592693500973,45090
1769592693545505,45160
1769592693588748,45130
1769592693631903,45140
1769592693674325,45200
1769592693717304,45190
1769592693760467,45160
1769592693803526,45110
1769592693845854,45170
1769592693889023,45180
1769592693931994,45270
1769592693974781,45150
1769592694017961,45260
1769592694060915,45170
1769592694105560,45180
1769592694148809,45230
1769592694191833,45210
1769592694235155,45250
1769592694277657,45300
1769592694320743,45220
1769592694363697,45210
1769592694407025,45270
1769592694449973,45320
1769592694492361,45220
1769592694535141,45270
1769592694577690,45250
1769592694620904,45270
1769592694665659,45260
1769592694707904,45270
1769592694750565,45240
1769592694793615,45340
1769592694836622,45310
1769592694879370,45280
1769592694922392,45370
1769592694965479,45360
1769592695008753,45330
1769592695051513,45360
1769592695094212,45350
1769592695137398,45340
1769592695180613,45360
1769592695225697,45460
1769592695268760,45350
1769592695311881,45500
1769592695354514,45420
1769592695397681,45420
1769592695440674,45420
1769592695483717,45440
1769592695526286,45510
1769592695569419,45390
1769592695612538,45370
1769592695655609,45490
1769592695698269,45380
1769592695741209,45440
1769592695785530,45370
1769592695828642,45420
1769592695871697,45380
1769592695914788,45380
1769592695957681,45430
1769592696000441,45450
1769592696043680,45340
1769592696086577,45290
1769592696129777,45420
1769592696172893,45460
1769592696215821,45290
1769592696258744,45380
1769592696301207,45390
1769592696345544,45300
1769592696388407,45290
1769592696431457,45340
1769592696474427,45310
1769592696517492,45310
1769592696560691,45290
1769592696603158,45310
1769592696646133,45320
1769592696689196,45120
1769592696731649,45260
1769592696774593,45230
1769592696817827,45150
1769592696860883,45230
1769592696905353,45180
1769592696948504,45120
1769592696991233,45230
1769592697034407,45190
1769592697077481,45170
1769592697120648,45190
1769592697163891,45190
1769592697207051,45310
1769592697250045,45240
1769592697293132,45200
1769592697336365,45310
1769592697379289,45320
1769592697425363,45250
1769592697468492,45260
1769592697511472,45360
1769592697553790,45360
1769592697596864,45340
1769592697639861,45360
1769592697682508,45360
1769592697724771,45420
1769592697767808,45340
1769592697810956,45420
1769592697853973,45360
1769592697896947,45430
1769592697939439,45420
