unix_timestamp,active_power (mW)
1770033732391097,42490
1770033732433814,42620
1770033732480905,42490
1770033732523332,42580
1770033732565869,42480
1770033732609156,42630
1770033732652030,42550
1770033732694592,42540
1770033732737237,42570
1770033732780380,42490
1770033732823330,42500
1770033732866097,42500
1770033732909122,42490
1770033732952042,42550
1770033732994930,42410
1770033733041522,42450
1770033733084677,42490
1770033733127671,42480
1770033733170355,42490
1770033733213309,42450
1770033733256323,42480
1770033733299263,42450
1770033733341997,42430
1770033733385209,42550
1770033733428215,42430
1770033733470689,42520
1770033733513732,42530
1770033733556833,42500
1770033733601901,42660
1770033733645125,42540
1770033733687414,42430
1770033733730117,42470
1770033733772461,42440
1770033733815323,42440
1770033733858403,42480
1770033733901495,42480
1770033733944634,42510
1770033733987770,42510
1770033734030789,42460
1770033734073333,42470
1770033734116326,42450
1770033734162545,42460
1770033734204946,42480
1770033734247907,42490
1770033734290503,42430
1770033734333319,42490
1770033734376252,42460
1770033734418690,42420
1770033734461722,42500
1770033734504824,42470
1770033734547759,42520
1770033734590813,42500
1770033734633978,42460
1770033734677240,42560
1770033734722991,42540
1770033734765771,42460
1770033734808284,42450
1770033734850678,42400
1770033734893778,42510
1770033734936745,42540
1770033734979979,42570
1770033735023156,42410
1770033735065498,42410
1770033735108700,42510
1770033735151521,42520
1770033735194442,42450
1770033735237327,42380
1770033735283538,42410
1770033735326756,42590
1770033735369260,42590
1770033735412183,42450
1770033735454855,42510
1770033735497157,42590
1770033735540011,42460
1770033735582989,42510
1770033735625568,42500
1770033735668159,42550
1770033735711054,42690
1770033735753827,42520
1770033735796439,42540
1770033735839242,42550
1770033735884097,42610
1770033735926649,42530
1770033735969348,42540
1770033736012382,42540
1770033736055214,42530
1770033736098364,42590
1770033736141321,42510
1770033736184239,42520
1770033736227427,42550
1770033736270163,42520
1770033736313316,42590
1770033736356484,42530
1770033736399386,42540
1770033736444617,42560
1770033736487587,42510
1770033736530528,42520
1770033736573562,42560
1770033736616809,42540
1770033736661030,42580
1770033736703771,42660
1770033736746533,42450
1770033736789101,42570
1770033736831474,42570
1770033736874104,42540
1770033736916831,42470
1770033736959855,42470
1770033737005202,42490
1770033737048204,42450
1770033737091398,42440
1770033737134609,42420
1770033737177222,42510
1770033737220257,42510
1770033737262688,42390
1770033737305274,42410
1770033737348370,42380
1770033737391280,42500
1770033737434027,42450
1770033737476547,42400
1770033737519520,42440
1770033737565489,42430
1770033737608638,42400
1770033737651637,42380
1770033737694155,42340
1770033737737375,42640
1770033737780490,42480
1770033737822759,42410
1770033737865462,42450
1770033737908578,42530
1770033737951511,42400
1770033737994692,42410
1770033738037306,42400
1770033738079889,42460
1770033738126075,42420
1770033738168856,42410
1770033738211780,42450
1770033738254630,42470
1770033738297634,42430
1770033738340616,42410
1770033738383523,42450
1770033738426223,42580
1770033738468871,42370
1770033738511835,42410
1770033738554679,42510
1770033738597535,42480
1770033738640464,42450
1770033738686671,42430
1770033738729249,42580
1770033738771575,42400
1770033738814552,42430
1770033738857287,42410
1770033738900387,42440
1770033738943590,42460
1770033738986376,42400
1770033739029364,42370
1770033739072342,42450
1770033739115395,42390
1770033739158375,42490
1770033739201083,42460
1770033739247168,42510
1770033739289850,42420
1770033739332910,42460
1770033739375917,42520
1770033739418791,42590
1770033739461970,42530
1770033739504256,42550
1770033739547350,42600
1770033739590449,42600
1770033739633310,42540
1770033739676118,42520
1770033739719103,42490
1770033739761957,42540
1770033739807945,42570
1770033739850714,42480
1770033739893133,42520
1770033739936152,42470
1770033739979125,42470
1770033740021922,42540
1770033740064951,42560
1770033740107793,42480
1770033740150542,42490
1770033740192878,42580
1770033740235791,42520
1770033740278479,42490
1770033740320780,42530
1770033740363500,42580
1770033740408561,42500
1770033740450887,42550
1770033740493269,42550
1770033740536296,42530
1770033740579318,42530
1770033740622427,42480
1770033740665352,42500
1770033740708465,42540
1770033740751416,42530
1770033740794127,42540
