unix_timestamp,active_power (mW)
1770037286879058,45420
1770037286921772,40920
1770037286964843,45490
1770037287007977,45410
1770037287051362,45390
1770037287094283,45390
1770037287137506,45370
1770037287180617,45290
1770037287223581,45290
1770037287269791,45460
1770037287312953,45420
1770037287356173,45280
1770037287399092,45280
1770037287442096,45390
1770037287485119,45380
1770037287528181,45370
1770037287570728,45270
1770037287613725,45200
1770037287656893,45340
1770037287699882,45360
1770037287742745,45400
1770037287785262,45320
1770037287830291,45330
1770037287873327,45400
1770037287916481,45510
1770037287959638,45420
1770037288002359,45280
1770037288045447,45290
1770037288088215,45330
1770037288131270,45420
1770037288174063,45430
1770037288217191,45300
1770037288260161,45310
1770037288303032,45290
1770037288345919,45330
1770037288390713,45360
1770037288433486,45250
1770037288476033,45290
1770037288518855,45220
1770037288561877,45280
1770037288605006,45420
1770037288648225,45480
1770037288690789,45380
1770037288733141,45290
1770037288776277,45350
1770037288819076,45320
1770037288861960,45450
1770037288904962,45410
1770037288951115,45320
1770037288993956,45340
1770037289036826,45300
1770037289080051,45430
1770037289123291,45440
1770037289166229,45290
1770037289209150,45230
1770037289252103,45290
1770037289294909,45390
1770037289337259,45430
1770037289380190,45360
1770037289423537,45250
1770037289466203,45270
1770037289511424,45430
1770037289554536,45310
1770037289597598,45280
1770037289640773,45250
1770037289683861,45310
1770037289726703,45420
1770037289769791,45480
1770037289812961,45330
1770037289856063,45320
1770037289898466,45360
1770037289941155,45300
1770037289984228,45440
1770037290027082,45550
1770037290071985,45260
1770037290115092,45340
1770037290157753,45330
1770037290200887,45520
1770037290244155,45360
1770037290287123,45300
1770037290329893,45300
1770037290372954,45330
1770037290416089,45360
1770037290459316,45460
1770037290502009,45380
1770037290545106,45280
1770037290588028,45260
1770037290632374,45420
1770037290675489,45380
1770037290718547,45390
1770037290761664,45260
1770037290804813,45300
1770037290847893,45320
1770037290890748,45410
1770037290933213,45490
1770037290976165,45390
1770037291019019,45530
1770037291061980,45350
1770037291104654,45410
1770037291147461,45480
1770037291192822,45440
1770037291236034,45410
1770037291279178,45510
1770037291321868,45460
1770037291365073,45510
1770037291408156,45430
1770037291451134,45410
1770037291493771,45410
1770037291536959,45400
1770037291580195,45480
1770037291623114,45440
1770037291665673,45530
1770037291708827,45490
1770037291753199,45420
1770037291796138,45470
1770037291838979,45460
1770037291881487,45590
1770037291924625,45490
1770037291967573,45410
1770037292010766,45440
1770037292053246,45590
1770037292096179,45370
1770037292139091,45480
1770037292181985,45500
1770037292225261,45440
1770037292268163,45550
1770037292313608,45410
1770037292356735,45470
