unix_timestamp,active_power (mW)
1770055714561911,45820
1770055714605210,43860
1770055714651475,45490
1770055714693909,45920
1770055714737081,45880
1770055714780110,45990
1770055714822953,45950
1770055714865379,45860
1770055714908486,45870
1770055714951446,45950
1770055714994222,45960
1770055715037426,45930
1770055715080332,45870
1770055715123562,45930
1770055715166209,45930
1770055715210953,45890
1770055715253757,45810
1770055715296879,45870
1770055715339729,45930
1770055715382601,45930
1770055715425796,45890
1770055715468840,45920
1770055715511814,45840
1770055715554975,45860
1770055715598197,45910
1770055715641323,45920
1770055715684501,45890
1770055715730579,45820
1770055715773194,45880
1770055715816235,45950
1770055715859282,45820
1770055715902182,45780
1770055715945323,45880
1770055715988151,45880
1770055716030634,45920
1770055716073498,45900
1770055716116013,45750
1770055716159131,45830
1770055716201466,45840
1770055716244387,45860
1770055716290189,45790
1770055716333292,45760
1770055716375885,45890
1770055716418449,45820
1770055716461423,45820
1770055716504507,45860
1770055716547532,45870
1770055716590144,45870
1770055716633426,45920
1770055716676505,45890
1770055716719658,45930
1770055716762158,45790
1770055716805181,45940
1770055716849632,45830
1770055716892807,45940
1770055716935976,45820
1770055716978596,45880
1770055717021163,45980
1770055717064469,45920
1770055717107349,45780
1770055717150185,45830
1770055717195290,45880
1770055717237852,45950
1770055717280701,45860
1770055717323492,45900
1770055717369318,45830
1770055717412242,45860
1770055717455238,45870
1770055717498013,45820
1770055717541102,45840
1770055717583971,45900
1770055717626660,45800
1770055717669753,45850
1770055717712937,45800
1770055717755998,45800
1770055717798839,45880
1770055717842045,45910
1770055717888740,45850
1770055717931888,45840
1770055717975024,45910
1770055718018057,45880
1770055718061043,45890
1770055718104287,45820
1770055718146823,45910
1770055718189136,45870
1770055718232104,45880
1770055718274454,45820
1770055718316978,45830
1770055718360174,45820
1770055718402600,45950
1770055718448386,45790
1770055718491189,45830
1770055718533960,45860
1770055718577092,45870
1770055718620204,45910
1770055718663222,45890
1770055718706181,45830
1770055718749053,45850
1770055718792057,45880
1770055718835010,45810
1770055718877670,45870
1770055718920756,45820
1770055718963935,45850
1770055719007869,45900
1770055719051020,45870
1770055719094121,45920
1770055719137312,45910
1770055719180470,45910
1770055719223529,45790
1770055719266490,45800
1770055719309347,45900
1770055719352568,45970
1770055719394994,45860
1770055719437358,45800
1770055719480253,45890
1770055719523347,45930
1770055719567330,45810
1770055719609881,45880
1770055719652987,45810
1770055719695875,45890
1770055719738880,45880
1770055719781965,45890
1770055719825066,45840
1770055719867457,45870
1770055719910228,45920
1770055719952779,45900
1770055719995347,45890
1770055720038001,45880
1770055720080445,45870
1770055720126870,45860
1770055720169246,45870
1770055720212473,45780
1770055720255524,45920
1770055720298139,45880
1770055720341243,45910
1770055720384403,45770
1770055720427328,45820
1770055720470072,45930
1770055720512951,45930
1770055720556065,45900
1770055720598663,45830
1770055720641690,45810
1770055720686562,45980
1770055720729477,45880
1770055720772067,45770
1770055720814508,45910
1770055720857140,45940
1770055720899972,45940
1770055720942897,45910
1770055720986055,45810
1770055721028567,45850
1770055721071384,45970
1770055721113902,45930
1770055721156971,45930
1770055721199430,45860
1770055721245937,45890
1770055721289136,45970
1770055721332184,45920
1770055721375132,45810
1770055721417423,45820
1770055721460680,45940
1770055721503893,45930
1770055721546765,45850
1770055721589928,45780
1770055721632960,45890
1770055721676005,45930
1770055721718448,45920
1770055721761662,45850
1770055721805465,45760
1770055721848674,45920
1770055721891836,45950
1770055721934863,45890
1770055721977875,45860
1770055722020287,45840
1770055722063437,45880
1770055722106208,45890
1770055722149484,45810
1770055722192623,45780
1770055722235127,45850
1770055722277529,45910
1770055722320130,45880
1770055722365167,45780
1770055722408298,45860
1770055722451516,45960
1770055722494166,45900
1770055722537322,45830
1770055722580485,45780
1770055722623519,45860
1770055722666094,46010
1770055722709291,45880
1770055722752505,45840
1770055722795433,45890
1770055722838446,45920
1770055722884539,45740
1770055722927246,45860
1770055722970360,46020
1770055723013587,45950
1770055723056487,45900
1770055723099421,45930
1770055723142187,45980
1770055723185302,45980
1770055723228258,45980
1770055723270876,45900
1770055723313461,45800
1770055723356215,45940
1770055723398974,46000
1770055723444118,45870
1770055723487135,45880
1770055723529983,45940
1770055723572806,46010
1770055723615986,46000
1770055723658841,45880
1770055723701328,45830
1770055723744512,45890
1770055723787510,46010
1770055723830511,45940
1770055723873627,45910
1770055723916516,45800
1770055723959485,45830
1770055724003737,45970
1770055724046723,45950
1770055724089669,45810
1770055724132136,45780
1770055724174565,45840
1770055724217267,45870
1770055724260248,45960
1770055724303006,45840
1770055724346105,45810
1770055724389116,45790
1770055724432065,45880
1770055724475108,45880
1770055724518143,45810
1770055724563155,45790
1770055724606269,45880
1770055724649255,45880
1770055724692318,45830
1770055724735423,45840
1770055724777915,45820
1770055724820613,45900
1770055724863271,45900
1770055724906060,45810
1770055724948749,45780
