unix_timestamp,active_power (mW)
1774612538284554,44970
1774612538326918,43240
1774612538372606,45150
1774612538415529,45110
1774612538458433,45100
1774612538501381,45070
1774612538544503,44970
1774612538587428,45120
1774612538630616,44980
1774612538673614,44970
1774612538716838,45130
1774612538759787,45040
1774612538802845,45100
1774612538845788,44980
1774612538892547,44970
1774612538935393,45010
1774612538978263,44960
1774612539021430,44970
1774612539064365,44910
1774612539107479,44960
1774612539150588,44940
1774612539193652,44980
1774612539236732,45000
1774612539279886,44980
1774612539322929,44930
1774612539365667,44960
1774612539412555,44900
1774612539455601,44900
1774612539498074,44870
1774612539541094,44890
1774612539584099,44920
1774612539627130,44900
1774612539669375,44950
1774612539712453,45020
1774612539755453,45150
1774612539797971,44990
1774612539841213,45080
1774612539884386,45040
1774612539927310,44960
1774612539972716,45000
1774612540015784,45010
1774612540058441,45060
1774612540101299,45010
1774612540144347,45020
1774612540187284,45000
1774612540230302,44980
1774612540273355,44980
1774612540316339,44980
1774612540359293,45020
1774612540402454,45060
1774612540445588,45080
1774612540488018,44950
1774612540532746,44910
1774612540575711,44980
1774612540618882,44970
1774612540662007,44940
1774612540705259,44980
1774612540748376,45150
1774612540791367,44950
1774612540834396,45000
1774612540877302,44990
1774612540920321,45020
1774612540963387,45040
1774612541006347,45010
1774612541052853,44930
1774612541095836,44910
1774612541139063,44860
1774612541181626,44930
1774612541224770,44910
1774612541267914,44860
1774612541310927,44840
1774612541354019,44840
1774612541397200,44860
1774612541440457,44950
1774612541483452,44970
1774612541526179,45010
1774612541572866,45000
1774612541615586,45040
1774612541658837,44990
1774612541701942,44950
1774612541745144,44920
1774612541788089,45020
1774612541830799,44930
1774612541873967,44930
1774612541916597,44940
1774612541959781,44870
1774612542002587,44920
1774612542045741,44970
1774612542093144,44970
1774612542136128,44850
1774612542179293,44860
1774612542222296,44910
1774612542265410,44890
1774612542308358,44870
1774612542351446,44900
1774612542394411,44940
1774612542437575,44930
1774612542480573,44920
1774612542523370,44950
1774612542566478,44900
1774612542612640,44980
1774612542655789,44920
1774612542698713,45000
1774612542741526,44980
1774612542784689,45000
1774612542827825,44940
1774612542870517,44870
1774612542913646,44930
1774612542956740,45120
1774612542999836,44910
1774612543042874,44960
1774612543086054,44990
1774612543132662,44980
1774612543175758,44990
1774612543218968,45000
1774612543261781,44960
1774612543304829,44990
1774612543347811,44960
1774612543390818,44930
1774612543434029,44930
1774612543477214,44960
1774612543520334,44940
1774612543563085,44960
1774612543605751,44890
1774612543652533,45040
1774612543695296,44960
1774612543737707,44980
1774612543780643,44870
1774612543823831,45090
1774612543866448,44970
1774612543909587,45050
1774612543952764,44930
1774612543995585,44970
1774612544038680,44970
1774612544081629,44960
1774612544124246,44970
1774612544167298,44920
1774612544212392,44930
1774612544255260,44890
1774612544298089,44890
1774612544341068,44840
1774612544384133,44970
1774612544427363,44890
1774612544470372,44910
1774612544513326,44880
1774612544556438,44930
1774612544599399,44900
1774612544642424,44930
1774612544685582,44970
1774612544732325,44990
1774612544775375,44950
1774612544817801,44980
1774612544860921,45130
1774612544903679,45060
1774612544946597,45060
1774612544989220,44970
1774612545032393,44990
1774612545075512,45000
1774612545117962,44980
1774612545161217,44920
1774612545203727,45000
1774612545246855,44980
1774612545292288,44960
1774612545335240,44980
1774612545378264,44960
1774612545421206,45000
1774612545464315,45010
1774612545506934,45020
1774612545549696,44930
1774612545593007,44960
1774612545636115,44960
1774612545679277,44920
1774612545721819,44920
1774612545764816,44940
1774612545807840,44970
1774612545852325,45150
1774612545895449,45030
1774612545938591,45030
1774612545981829,44990
1774612546024997,45090
1774612546067901,45090
1774612546110709,44990
1774612546153591,44980
1774612546196686,45050
1774612546239675,45000
1774612546282757,45000
1774612546325648,44990
1774612546372125,44950
1774612546415200,44970
1774612546457679,45010
1774612546500592,45020
1774612546543448,45040
1774612546585975,44970
1774612546628861,44980
1774612546671975,45060
1774612546714866,45010
1774612546758066,45000
1774612546801290,45060
1774612546844326,45000
1774612546887289,45050
1774612546932057,45040
1774612546975183,44980
1774612547018298,45040
1774612547061227,44970
1774612547104400,44970
1774612547147035,44970
1774612547190118,45030
1774612547233291,45050
1774612547276286,44990
1774612547319210,45110
1774612547361881,45020
1774612547405138,44930
1774612547451944,45010
1774612547495049,44970
1774612547538188,44990
1774612547581350,45040
1774612547624338,44970
1774612547667220,45040
1774612547710183,44990
1774612547753225,44990
1774612547796305,45060
1774612547839302,45070
1774612547882380,45100
1774612547926017,45090
1774612547971685,44990
1774612548014373,45010
