unix_timestamp,active_power (mW)
1774612683530720,44900
1774612683574959,39930
1774612683617595,45430
1774612683660743,44880
1774612683703694,44910
1774612683746184,44920
1774612683789363,44900
1774612683834718,44880
1774612683877794,44890
1774612683920662,44990
1774612683963529,44940
1774612684006376,44860
1774612684049560,44880
1774612684092678,44880
1774612684135195,45040
1774612684178275,44850
1774612684221520,44880
1774612684264461,44860
1774612684307519,44920
1774612684354401,44920
1774612684397537,44840
1774612684440742,44840
1774612684483859,44770
1774612684526865,44750
1774612684569693,44750
1774612684612847,44820
1774612684655963,44880
1774612684698602,44910
1774612684741269,44890
1774612684784302,44940
1774612684827413,44910
1774612684874288,44820
1774612684917391,44810
1774612684960549,44740
1774612685003185,44680
1774612685046157,44770
1774612685089024,44760
1774612685132088,44940
1774612685175153,44830
1774612685218327,44920
1774612685261459,44940
1774612685304441,44920
1774612685347339,44870
1774612685394101,44980
1774612685437295,44940
1774612685480521,44950
1774612685523537,44950
1774612685566548,44930
1774612685609777,44910
1774612685652930,44890
1774612685695850,44920
1774612685739131,44910
1774612685781731,44860
1774612685824760,44900
1774612685867776,44830
1774612685914166,44950
1774612685957290,44970
1774612686000487,44890
1774612686043580,44890
1774612686086804,44840
1774612686130050,45010
1774612686173195,44960
1774612686216107,45060
1774612686259172,44950
1774612686302051,45000
1774612686345029,44840
1774612686388145,44890
1774612686433870,44950
1774612686477000,44900
1774612686519797,44920
1774612686563031,44940
1774612686605755,44810
1774612686648717,44740
1774612686691865,44720
1774612686735035,44850
1774612686777955,44810
1774612686821000,44920
1774612686863957,44860
1774612686907167,44960
1774612686953753,44910
1774612686996777,44960
1774612687039800,44970
1774612687082878,44990
1774612687126097,45020
1774612687169267,45020
1774612687212314,45040
1774612687255100,45050
1774612687298203,45000
1774612687341272,45000
1774612687383931,44910
1774612687426941,44900
1774612687473779,44900
1774612687516869,44870
1774612687559941,44890
1774612687602791,44880
1774612687646012,44890
1774612687688934,44980
1774612687731303,44950
1774612687774522,44880
1774612687817732,44980
1774612687860828,44910
1774612687903801,44930
1774612687946328,44910
1774612687993488,44830
1774612688036598,44850
1774612688079464,44760
1774612688122553,44900
1774612688165597,44870
1774612688208684,45000
1774612688251363,44920
1774612688294383,44950
1774612688337058,44950
1774612688380105,44970
1774612688423057,45020
1774612688465847,45010
1774612688508997,44920
1774612688553315,44830
1774612688596317,44940
1774612688639105,44880
1774612688682162,44940
1774612688725175,44900
1774612688768240,44930
1774612688811036,45000
1774612688853742,44980
1774612688896783,45030
1774612688939863,44900
1774612688982414,44870
1774612689025625,44900
1774612689068064,44880
1774612689113110,44920
1774612689156281,44790
1774612689199420,44930
1774612689241814,45130
1774612689284914,44900
1774612689327899,45000
1774612689370943,44940
1774612689414039,44900
1774612689457236,44940
1774612689500214,44920
1774612689542975,44940
1774612689585819,44870
1774612689629021,44960
1774612689673075,44900
1774612689716183,44870
1774612689759430,44860
1774612689801926,44930
1774612689845084,44940
1774612689887677,44900
1774612689930690,44890
1774612689973687,44880
1774612690016826,44840
1774612690059815,44830
1774612690102592,44930
1774612690145747,44920
1774612690189005,44920
1774612690233037,45070
1774612690276065,44840
1774612690319008,44950
1774612690362128,44960
1774612690405267,44910
1774612690448455,44880
1774612690491417,44980
1774612690534987,44930
1774612690578027,44960
1774612690621186,44990
1774612690664302,44880
1774612690706800,44960
1774612690752962,44990
1774612690796023,44810
1774612690839040,44880
1774612690882115,44940
1774612690925168,44860
1774612690968096,44890
1774612691011361,44890
1774612691054583,44980
1774612691097532,44940
1774612691140695,44880
1774612691183776,44910
1774612691226899,45010
1774612691272914,45050
1774612691315971,45050
1774612691358486,44940
1774612691401668,44920
1774612691444900,44940
1774612691488078,44960
1774612691530933,44950
1774612691573756,44930
1774612691616890,44990
1774612691659939,45020
1774612691702681,44930
1774612691745673,44830
1774612691792716,44880
1774612691835536,44930
1774612691878379,44870
1774612691921298,44880
1774612691964443,44910
1774612692007582,44890
1774612692050571,44900
1774612692093686,44880
1774612692136926,44900
1774612692179799,44930
1774612692222623,44940
1774612692265511,44860
1774612692308688,44950
1774612692352766,44940
1774612692395765,44900
1774612692438683,44900
1774612692481904,44940
1774612692525124,44910
