unix_timestamp,active_power (mW)
1774609503774974,42610
1774609503817834,42610
1774609503860782,42500
1774609503903755,42550
1774609503946661,42510
1774609503989851,42650
1774609504033018,42560
1774609504075929,42550
1774609504118978,42540
1774609504164520,42600
1774609504207577,42540
1774609504250078,42550
1774609504293154,42570
1774609504336109,42610
1774609504378417,42510
1774609504421436,42520
1774609504464438,42630
1774609504507534,42540
1774609504550561,42550
1774609504593667,42590
1774609504636683,42610
1774609504679657,42580
1774609504723989,42530
1774609504766951,42550
1774609504809800,42620
1774609504853052,42640
1774609504896224,42600
1774609504939352,42510
1774609504981825,42480
1774609505024982,42580
1774609505068016,42590
1774609505110718,42570
1774609505153837,42490
1774609505196688,42520
1774609505243525,42600
1774609505286582,42510
1774609505329768,42480
1774609505372856,42460
1774609505415829,42520
1774609505458270,42560
1774609505501410,42470
1774609505544347,42490
1774609505587011,42400
1774609505630083,42670
1774609505673134,42540
1774609505716164,42670
1774609505759084,42440
1774609505803004,42480
1774609505846019,42470
1774609505889081,42570
1774609505932134,42470
1774609505975290,42470
1774609506017773,42440
1774609506060689,42450
1774609506103866,42460
1774609506147069,42500
1774609506189431,42570
1774609506232552,42480
1774609506275561,42450
1774609506318698,42420
1774609506362628,42520
1774609506405768,42600
1774609506448988,42500
1774609506492131,42400
1774609506535204,42470
1774609506578273,42440
1774609506621392,42520
1774609506664446,42710
1774609506707565,42470
1774609506750629,42500
1774609506793273,42540
1774609506836603,42440
1774609506882357,42550
1774609506925416,42510
1774609506968635,42500
1774609507011822,42440
1774609507054568,42410
1774609507097839,42550
1774609507140680,42560
1774609507183839,42510
1774609507226895,42480
1774609507269935,42430
1774609507312968,42390
1774609507356030,42540
1774609507401996,42580
1774609507445070,42510
1774609507487974,42420
1774609507531114,42330
1774609507573629,42450
1774609507616768,42470
1774609507660229,42600
1774609507703473,42590
1774609507746670,42560
1774609507789859,42450
1774609507832992,42470
1774609507875940,42510
1774609507921737,42550
1774609507964839,42520
1774609508007756,42420
1774609508050831,42510
1774609508093651,42420
1774609508136860,42440
1774609508179982,42520
1774609508222560,42550
1774609508265776,42570
1774609508308884,42550
1774609508351916,42640
1774609508394965,42610
1774609508441617,42600
1774609508484638,42610
1774609508527777,42540
1774609508570493,42600
1774609508613525,42540
1774609508656746,42600
1774609508700024,42680
1774609508743007,42610
1774609508785564,42580
1774609508828731,42540
1774609508871837,42540
1774609508914882,42510
1774609508961183,42650
1774609509004418,42620
1774609509047193,42490
1774609509089616,42480
1774609509132713,42570
1774609509175816,42550
1774609509218571,42510
1774609509261533,42600
1774609509304542,42460
1774609509347734,42400
1774609509390803,42490
1774609509434059,42550
1774609509480806,42550
1774609509523922,42520
1774609509566929,42550
1774609509609678,42470
1774609509652756,42430
1774609509695871,42520
1774609509738569,42620
1774609509780975,42570
1774609509823829,42620
1774609509866881,42580
1774609509909584,42600
1774609509952560,42620
1774609509995596,42600
1774609510040678,42500
1774609510083800,42520
1774609510126650,42540
1774609510169748,42570
1774609510212753,42530
1774609510255835,42570
1774609510298393,42590
1774609510341554,42490
1774609510383948,42410
1774609510426520,42460
1774609510469577,42540
1774609510512667,42650
1774609510555491,42590
1774609510600281,42720
1774609510643439,42510
1774609510685922,42630
1774609510729179,42670
1774609510772003,42500
1774609510814931,42520
1774609510858100,42540
1774609510901259,42550
1774609510944228,42600
1774609510986988,42550
1774609511029776,42580
1774609511072752,42520
1774609511115797,42640
1774609511160133,42520
1774609511202941,42480
1774609511246030,42570
1774609511289002,42570
1774609511331983,42560
1774609511375017,42570
1774609511418217,42500
1774609511461383,42600
1774609511504655,42560
1774609511547268,42530
1774609511589953,42420
1774609511633072,42610
1774609511680047,42530
1774609511723156,42520
1774609511765643,42720
1774609511808728,42590
1774609511851310,42540
1774609511893766,42530
1774609511937022,42520
1774609511980159,42520
1774609512023039,42510
1774609512066175,42580
1774609512109354,42570
1774609512152599,42610
1774609512195161,42550
1774609512239786,42560
1774609512282927,42590
1774609512326122,42570
1774609512369314,42470
1774609512412548,42510
1774609512455624,42510
1774609512498782,42510
1774609512541746,42590
1774609512584949,42520
1774609512628097,42560
1774609512670556,42630
1774609512713241,42550
1774609512759562,42690
1774609512801903,42500
1774609512844968,42600
1774609512887612,42470
1774609512930552,42490
1774609512973765,42510
1774609513016948,42620
1774609513059858,42560
1774609513103045,42510
1774609513145739,42610
1774609513188816,42600
1774609513231839,42530
1774609513275025,42550
1774609513319510,42520
1774609513362576,42540
1774609513405417,42510
1774609513448510,42540
1774609513491032,42510
1774609513534164,42580
1774609513577068,42570
1774609513619941,42580
1774609513663156,42610
1774609513705689,42590
1774609513748923,42590
1774609513792001,42500
1774609513834876,42620
1774609513879337,42590
1774609513921735,42560
1774609513964877,42660
1774609514007924,42500
1774609514051018,42490
1774609514094171,42530
1774609514137413,42500
1774609514180503,42500
1774609514223456,42570
1774609514265977,42550
1774609514308456,42460
1774609514351519,42630
1774609514394474,42650
1774609514439096,42550
1774609514482324,42580
1774609514525376,42550
1774609514568254,42580
1774609514610809,42550
1774609514653846,42580
1774609514696960,42520
1774609514740014,42520
1774609514783077,42540
1774609514825841,42450
1774609514869003,42610
1774609514911845,42480
1774609514954871,42460
1774609514999041,42510
1774609515041874,42570
1774609515085005,42560
1774609515127835,42520
1774609515170988,42550
1774609515213816,42520
1774609515256865,42580
1774609515300053,42660
1774609515343096,42580
1774609515386069,42590
1774609515429215,42650
1774609515472049,42650
1774609515518951,42560
1774609515562043,42520
1774609515605305,42460
1774609515648473,42500
1774609515691636,42510
1774609515734311,42470
1774609515777352,42390
1774609515820448,42370
1774609515863399,42530
1774609515906577,42360
1774609515949566,42300
1774609515992671,42440
1774609516038951,42410
1774609516081997,42440
1774609516124846,42420
1774609516167727,42460
1774609516210848,42500
1774609516253758,42460
1774609516296856,42370
1774609516339850,42410
1774609516382858,42430
1774609516425976,42500
1774609516469131,42430
1774609516512106,42480
1774609516558976,42470
1774609516601683,42520
1774609516644689,42440
1774609516687772,42430
1774609516730990,42500
1774609516773822,42490
