unix_timestamp,active_power (mW)
1774614602781133,45380
1774614602823496,37580
1774614602865949,46120
1774614602909044,45550
1774614602952077,45510
1774614602995091,45580
1774614603038370,45540
1774614603081246,45550
1774614603124475,45650
1774614603167254,45530
1774614603210462,45580
1774614603256250,45520
1774614603299126,45500
1774614603342274,45520
1774614603385194,45530
1774614603428143,45450
1774614603471146,45490
1774614603514051,45490
1774614603557037,45490
1774614603600164,45510
1774614603643132,45460
1774614603686286,45440
1774614603729525,45500
1774614603776360,45460
1774614603819489,45520
1774614603862474,45500
1774614603905618,45500
1774614603948716,45440
1774614603991734,45540
1774614604034925,45530
1774614604077723,45500
1774614604120691,45660
1774614604163728,45570
1774614604206705,45480
1774614604249689,45600
1774614604296519,45470
1774614604339712,45500
1774614604382334,45530
1774614604425348,45520
1774614604468610,45400
1774614604511800,45540
1774614604554674,45440
1774614604597919,45510
1774614604641028,45480
1774614604684372,45490
1774614604727529,45540
1774614604770558,45510
1774614604816538,45490
1774614604859735,45580
1774614604902407,45480
1774614604945483,45530
1774614604988457,45560
1774614605031586,45580
1774614605074652,45510
1774614605117680,45570
1774614605160812,45740
1774614605203763,45560
1774614605247039,45570
1774614605289649,45500
1774614605332630,45550
1774614605376686,45500
1774614605419766,45560
1774614605462411,45500
1774614605505446,45520
1774614605548363,45550
1774614605591433,45450
1774614605634545,45530
1774614605677656,45550
1774614605720695,45500
1774614605763797,45420
1774614605806319,45510
1774614605849475,45560
1774614605892805,45590
1774614605936913,45540
1774614605980004,45490
1774614606023153,45580
1774614606066358,45580
1774614606109434,45570
1774614606152489,45720
1774614606195618,45550
1774614606238261,45530
1774614606281404,45590
1774614606324409,45600
1774614606367477,45450
1774614606410431,45540
1774614606456830,45490
1774614606499972,45490
1774614606542368,45550
1774614606585376,45460
1774614606628248,45500
1774614606671404,45470
1774614606714350,45470
1774614606757563,45470
1774614606800786,45470
1774614606843406,45510
1774614606886534,45500
1774614606929985,45450
1774614606976882,45570
1774614607019750,45610
1774614607062362,45590
1774614607105380,45510
1774614607148319,45600
1774614607191136,45600
1774614607234166,45550
1774614607277355,45550
1774614607320446,45520
1774614607363358,45480
1774614607405934,45510
1774614607449142,45550
1774614607492375,45550
1774614607537064,45510
1774614607579461,45410
1774614607622258,45410
1774614607665266,45410
1774614607708459,45400
1774614607751368,45480
1774614607794562,45490
1774614607837745,45520
1774614607880718,45430
1774614607923851,45450
1774614607966732,45560
1774614608009915,45530
1774614608053078,45500
1774614608097120,45560
1774614608140184,45500
1774614608182664,45550
1774614608225634,45660
1774614608268658,45530
1774614608311467,45530
1774614608354628,45480
1774614608397673,45520
1774614608440622,45470
1774614608483296,45520
1774614608526450,45520
1774614608568995,45570
1774614608612100,45500
1774614608657299,45520
1774614608700369,45560
1774614608743309,45480
1774614608785877,45430
1774614608829056,45490
1774614608872225,45490
1774614608915398,45520
1774614608958312,45550
1774614609001448,45480
1774614609044693,45520
1774614609087510,45480
1774614609130598,45540
1774614609177422,45540
1774614609220493,45620
1774614609263380,45530
1774614609305912,45540
1774614609349076,45540
1774614609391543,45520
1774614609434904,45570
1774614609477953,45530
1774614609521183,45540
1774614609564079,45550
1774614609607277,45540
1774614609650505,45590
1774614609697273,45570
1774614609740353,45530
1774614609783433,45540
1774614609826325,45520
1774614609869408,45550
1774614609912369,45600
1774614609955441,45560
1774614609997924,45420
1774614610040919,45560
1774614610084078,45510
1774614610127106,45510
1774614610170274,45530
1774614610217496,45480
1774614610260659,45710
1774614610303717,45590
1774614610346719,45560
1774614610389573,45570
1774614610432489,45620
1774614610475720,45510
1774614610518252,45520
1774614610561420,45510
1774614610604620,45480
1774614610647455,45490
1774614610690982,45550
1774614610733672,45480
1774614610777618,45490
1774614610820389,45460
1774614610863454,45450
1774614610906495,45510
1774614610949621,45440
1774614610992605,45470
1774614611035744,45410
1774614611078973,45430
1774614611122155,45520
1774614611165313,45460
1774614611208381,45480
1774614611251422,45470
1774614611297587,45470
1774614611340518,45510
1774614611383734,45510
1774614611426661,45480
1774614611469822,45560
1774614611513064,45510
1774614611556257,45480
1774614611599447,45580
1774614611642195,45480
1774614611685484,45480
1774614611728587,45490
1774614611771660,45500
1774614611817937,45530
1774614611861190,45540
1774614611904281,45480
1774614611947232,45460
1774614611989720,45510
1774614612032953,45520
1774614612076173,45470
1774614612119076,45580
1774614612161622,45520
1774614612204683,45520
1774614612247562,45500
1774614612290476,45520
1774614612333629,45660
1774614612377826,45390
1774614612420916,45560
1774614612463727,45560
1774614612506225,45530
1774614612549385,45540
1774614612592239,45490
1774614612635102,45550
1774614612677711,45550
1774614612720736,45580
1774614612763679,45550
1774614612806318,45500
1774614612849382,45530
1774614612892487,45550
1774614612937872,45500
1774614612980948,45490
1774614613024060,45520
1774614613067082,45490
1774614613109675,45530
1774614613152614,45570
1774614613195426,45460
1774614613237997,45490
1774614613280758,45440
1774614613323677,45560
1774614613366613,45570
1774614613409765,45410
1774614613452856,45480
1774614613498023,45480
1774614613541151,45460
1774614613584320,45520
1774614613627258,45570
1774614613669681,45560
1774614613712684,45560
1774614613755874,45490
1774614613798617,45530
1774614613841694,45490
1774614613885199,45490
1774614613928212,45530
1774614613971328,45450
1774614614018027,45450
1774614614061106,45500
1774614614104164,45540
1774614614147329,45430
1774614614190577,45460
1774614614233529,45440
1774614614276707,45470
1774614614319648,45480
1774614614362761,45700
1774614614405810,45510
1774614614448776,45560
1774614614491772,45570
1774614614538376,45460
1774614614581429,45470
1774614614624472,45540
1774614614667492,45510
1774614614710608,45500
1774614614753671,45510
1774614614796646,45470
1774614614839783,45470
1774614614882922,45480
1774614614925773,45460
1774614614968738,45510
1774614615011758,45510
1774614615058345,45530
1774614615101468,45440
1774614615144489,45660
1774614615187597,45500
1774614615230220,45510
1774614615273331,45620
1774614615316269,45490
1774614615359005,45550
1774614615402100,45670
1774614615445249,45470
1774614615488310,45550
1774614615531296,45570
1774614615573809,45590
1774614615618470,45490
1774614615661598,45530
1774614615704458,45550
1774614615747440,45520
1774614615790567,45590
1774614615833770,45600
1774614615876761,45530
1774614615919833,45470
1774614615962525,45550
1774614616005594,45480
1774614616048693,45490
1774614616091626,45450
1774614616138655,45420
1774614616181782,45410
1774614616224891,45430
1774614616267903,45460
1774614616310989,45540
1774614616353632,45580
1774614616396619,45740
1774614616439344,45510
1774614616482589,45570
1774614616525584,45580
1774614616568655,45440
1774614616611544,45420
1774614616654500,45410
1774614616698773,45400
1774614616741939,45480
1774614616785132,45540
1774614616828324,45530
1774614616871263,45530
1774614616914359,45590
1774614616957367,45450
1774614617000364,45590
1774614617043587,45450
1774614617086400,45400
1774614617129520,45430
1774614617172542,45360
1774614617219012,45430
1774614617262212,45460
1774614617305385,45580
1774614617348681,45590
1774614617391682,45630
1774614617434820,45590
1774614617477893,45450
1774614617520957,45430
1774614617564012,45370
1774614617607074,45410
1774614617650199,45390
1774614617693443,45450
1774614617739248,45520
1774614617782358,45560
1774614617825502,45520
1774614617868517,45420
1774614617911697,45400
1774614617954374,45440
1774614617997444,45420
1774614618040455,45500
1774614618083651,45610
1774614618126898,45550
1774614618169857,45520
1774614618213001,45490
1774614618259608,45480
1774614618302631,45500
1774614618345640,45560
1774614618388587,45630
1774614618431692,45610
1774614618474768,45500
1774614618517831,45420
