unix_timestamp,active_power (mW)
1769685350167323,23360
1769685350209729,18840
1769685350252009,30310
1769685350295029,38170
1769685350338132,50150
1769685350381127,50240
1769685350423563,50200
1769685350466558,50170
1769685350509648,50190
1769685350555107,50120
1769685350598185,50100
1769685350641153,50110
1769685350684123,50050
1769685350726922,50170
1769685350769745,50080
1769685350812938,50060
1769685350855785,50060
1769685350898573,50130
1769685350941795,49980
1769685350984990,50120
1769685351027653,50010
1769685351070377,49970
1769685351114767,49970
1769685351157165,49930
1769685351200325,50150
1769685351243271,50000
1769685351285737,50030
1769685351328427,50080
1769685351371230,50020
1769685351413673,50050
1769685351456613,50110
1769685351499781,50070
1769685351542696,50100
1769685351585836,50110
1769685351628819,50150
1769685351675189,50180
1769685351718462,50160
1769685351761717,50110
1769685351804900,50100
1769685351847798,50160
1769685351890317,50150
1769685351932845,50190
1769685351975997,50110
1769685352018768,50190
1769685352061890,50130
1769685352104937,50140
1769685352148174,50080
1769685352194989,49960
1769685352237817,50150
1769685352280937,50100
1769685352323327,50030
1769685352365933,50090
1769685352409195,50080
1769685352452353,50050
1769685352495531,50070
1769685352538372,50010
1769685352581653,49990
1769685352624853,50070
1769685352667831,50130
1769685352711087,50140
1769685352755045,50110
1769685352797806,50050
1769685352840806,50030
1769685352883658,50060
1769685352926369,50060
1769685352969381,50140
1769685353012500,50110
1769685353055405,50120
1769685353098528,50140
1769685353140840,50170
1769685353183574,50170
1769685353225822,50090
1769685353269046,50210
1769685353315256,50170
1769685353358385,50080
1769685353401582,50160
1769685353444541,50170
1769685353487656,50150
1769685353530477,50100
1769685353573582,50180
1769685353616228,50140
1769685353659448,50200
1769685353702555,50180
1769685353745038,50140
1769685353787933,50070
1769685353830416,50090
1769685353875043,50070
1769685353917896,50120
1769685353961052,50070
1769685354004112,49980
1769685354046820,50090
1769685354089813,50020
1769685354132785,49990
1769685354175386,50020
1769685354218583,50000
1769685354261777,50200
1769685354304787,50410
1769685354347290,50140
1769685354389767,50080
1769685354435284,50040
1769685354478300,50120
1769685354521373,50130
1769685354564585,50150
1769685354607700,50180
1769685354650233,50130
1769685354693331,50160
1769685354736183,50130
1769685354779127,50200
1769685354821760,50170
1769685354864913,50210
1769685354907933,50190
1769685354950502,50260
1769685354995362,50170
1769685355038534,50090
1769685355081712,50170
1769685355124984,50150
1769685355167729,50050
1769685355210987,50210
1769685355253445,50070
1769685355295817,50120
1769685355338442,50070
1769685355381613,50010
1769685355424544,50090
1769685355467244,50040
1769685355510222,50040
1769685355555300,49960
1769685355598108,50080
1769685355641238,50050
1769685355684303,49990
1769685355727400,50030
1769685355770569,49950
1769685355813720,50040
1769685355857632,50000
1769685355900531,50040
1769685355943436,50140
1769685355986638,50000
1769685356029825,50020
1769685356075249,50070
1769685356117725,50130
1769685356160271,50100
1769685356203056,50130
1769685356245973,50120
1769685356288891,50120
1769685356332010,50240
1769685356374610,50100
1769685356417521,50140
1769685356460657,50190
1769685356503563,50130
1769685356546648,50180
1769685356589712,50170
1769685356635445,50210
1769685356677852,50200
1769685356720271,50090
1769685356762940,50160
1769685356806185,50100
1769685356849300,50130
1769685356891804,50060
1769685356934632,50150
1769685356977904,50140
1769685357021061,50140
1769685357064034,50180
1769685357106690,50070
1769685357149742,50120
1769685357195447,50170
1769685357238568,50050
1769685357281638,50110
1769685357324087,50120
1769685357366676,50020
1769685357409939,50050
1769685357452775,49990
1769685357496035,50080
1769685357539201,50090
1769685357582368,50060
1769685357625407,50130
1769685357668672,50090
1769685357711233,50060
1769685357755561,50040
1769685357798330,50100
1769685357841519,50090
1769685357884761,50040
1769685357927587,50070
1769685357970052,50140
1769685358013214,50150
1769685358056111,50080
1769685358098942,50160
1769685358141850,50130
1769685358184842,50170
1769685358227937,50180
1769685358271123,50140
1769685358315580,50200
1769685358358004,50050
1769685358401140,50170
1769685358444036,50190
1769685358486591,50150
1769685358528963,50170
1769685358572085,50140
1769685358615200,50130
1769685358658361,50140
1769685358701524,50130
1769685358744508,50150
1769685358787696,50160
1769685358830505,50200
1769685358876885,50070
1769685358919707,50120
1769685358962651,50160
1769685359005830,50120
1769685359048664,50100
1769685359091659,50110
1769685359134443,50100
1769685359177168,50050
1769685359220282,50130
1769685359262917,50100
1769685359306141,50020
1769685359349318,49950
1769685359395628,50020
1769685359438779,49980
1769685359481940,49990
1769685359525102,50070
1769685359568262,50080
1769685359611149,50040
1769685359654002,50040
1769685359696963,50050
1769685359739714,50010
1769685359782633,50080
1769685359825839,50010
1769685359869055,50030
1769685359915545,50010
1769685359957948,49960
1769685360001053,49990
1769685360044022,50040
1769685360086934,50070
1769685360130139,50080
1769685360173085,50070
1769685360216077,50060
1769685360259047,50130
1769685360302013,50150
1769685360345168,50060
1769685360388014,50030
1769685360430926,49920
