unix_timestamp,active_power (mW)
1769681592817120,24890
1769681592860034,18870
1769681592903059,27750
1769681592946004,32820
1769681592989014,45430
1769681593032051,50120
1769681593074703,50080
1769681593117924,50090
1769681593162893,50000
1769681593205823,50070
1769681593248788,50010
1769681593291853,49980
1769681593334449,50030
1769681593377377,49980
1769681593420574,49990
1769681593463696,50030
1769681593506717,49940
1769681593549783,49980
1769681593592577,49880
1769681593635488,49970
1769681593678409,49930
1769681593723522,49870
1769681593766565,49930
1769681593809669,49890
1769681593852842,49910
1769681593895736,49930
1769681593938734,49960
1769681593981516,49890
1769681594024613,49890
1769681594067421,49860
1769681594110625,49920
1769681594153914,49880
1769681594197158,49930
1769681594239923,49900
1769681594284122,49760
1769681594327167,49980
1769681594370182,49960
1769681594413211,49760
1769681594455939,50000
1769681594499080,49940
1769681594542115,49960
1769681594584742,49870
1769681594627177,49980
1769681594670040,49980
1769681594713114,49990
1769681594755945,50030
1769681594798731,49970
1769681594844691,49900
1769681594887755,49980
1769681594930430,50010
1769681594973552,50050
1769681595016686,49950
1769681595059785,50000
1769681595102727,49980
1769681595145952,49940
1769681595188917,50080
1769681595231799,49990
1769681595274718,50030
1769681595317951,50020
1769681595360858,50030
1769681595405238,50040
1769681595448048,50030
1769681595490898,50030
1769681595534131,50000
1769681595576357,50080
1769681595619037,49980
1769681595661906,50010
1769681595705061,50040
1769681595747851,49950
1769681595790592,49970
1769681595833811,49930
1769681595877011,50030
1769681595920194,49950
1769681595965783,49930
1769681596009011,50010
1769681596051573,49970
1769681596094454,49950
1769681596137583,50020
1769681596180534,50020
1769681596223225,49930
1769681596265756,49990
1769681596308959,49950
1769681596352075,49890
1769681596395016,49990
1769681596437930,49970
1769681596480995,49790
1769681596526308,49960
1769681596569384,49940
1769681596611928,49990
1769681596655013,50010
1769681596697854,50000
1769681596740783,49970
1769681596783777,49960
1769681596826635,49950
1769681596869824,49980
1769681596913109,50020
1769681596955951,49940
1769681596998372,49980
1769681597041284,49960
1769681597086769,49950
1769681597129691,49970
1769681597172616,50040
1769681597215452,49990
1769681597257712,49940
1769681597300055,49980
1769681597343113,49950
1769681597386203,49970
1769681597429369,49990
1769681597472549,49950
1769681597515506,49940
1769681597558692,50040
1769681597601573,50010
1769681597647398,49960
1769681597689920,49940
1769681597733149,50010
1769681597776371,49970
1769681597819443,49960
1769681597861930,49930
1769681597904755,49950
1769681597947579,49900
1769681597990513,49850
1769681598033514,49860
1769681598076671,49930
1769681598119709,49980
1769681598162941,49940
1769681598207952,50010
1769681598250516,49940
1769681598293718,50010
1769681598336913,49950
1769681598379875,50050
1769681598422513,49930
1769681598465648,49980
1769681598508723,49930
1769681598551671,50000
1769681598594841,49930
1769681598637697,50020
1769681598680554,50030
1769681598723527,49960
1769681598768657,49930
1769681598811430,49940
1769681598854365,50040
1769681598897557,50090
1769681598940577,50010
1769681598983698,50010
1769681599026761,50030
1769681599069889,50090
1769681599112292,50000
1769681599155338,50180
1769681599198487,50040
1769681599241549,50060
1769681599284499,50040
1769681599329169,50080
1769681599372318,50070
1769681599415012,50000
1769681599458116,49970
1769681599501215,50050
1769681599544254,49980
1769681599587239,49970
1769681599630232,50040
1769681599673441,50010
1769681599716325,49980
1769681599759231,49950
1769681599802154,50070
1769681599845267,50040
1769681599889702,49930
1769681599932751,49980
1769681599975062,50010
1769681600018041,50040
1769681600060575,50040
1769681600103699,50000
1769681600146308,50010
1769681600189428,49960
1769681600232613,50010
1769681600275452,49960
1769681600317882,49900
1769681600360916,50000
1769681600403934,49950
1769681600450341,49920
1769681600493481,50020
1769681600536428,49990
1769681600579199,49890
1769681600622250,49960
1769681600664813,49910
1769681600708029,50000
1769681600751117,49960
1769681600794206,49920
1769681600837328,49880
1769681600880035,49930
1769681600922758,50050
1769681600966070,49960
1769681601010839,49960
1769681601053982,49980
1769681601096998,49960
1769681601139958,49920
1769681601182642,49940
1769681601226676,50020
1769681601269747,49910
1769681601312908,49930
1769681601356039,49930
1769681601399139,49910
1769681601441958,49880
1769681601485062,49900
1769681601531407,49910
1769681601574194,49860
1769681601616621,49870
1769681601659557,49940
1769681601701913,49880
1769681601744263,49970
1769681601786785,49930
1769681601829748,49910
1769681601872837,49900
1769681601915995,49930
1769681601958719,49910
1769681602001720,49950
1769681602044640,49910
1769681602088029,49930
1769681602131872,49910
1769681602174976,49910
1769681602217680,49970
1769681602260690,49960
1769681602303398,49960
1769681602346415,49860
1769681602389318,49920
1769681602432479,49930
1769681602475084,49900
1769681602517832,49890
1769681602560895,49930
1769681602604088,49970
1769681602647068,49860
1769681602692472,49960
1769681602735094,49940
1769681602777832,49900
1769681602820880,49890
1769681602863766,49880
1769681602906602,49920
1769681602949826,49990
1769681602992810,49910
1769681603035711,49930
1769681603078901,49920
1769681603121850,49970
1769681603164895,49940
1769681603208028,50040
1769681603253101,49910
1769681603296008,50010
1769681603338601,49910
1769681603381680,49980
1769681603424782,49960
1769681603467960,49930
1769681603511037,50020
1769681603554128,50000
1769681603596554,50040
1769681603639392,49960
1769681603682064,49940
1769681603725072,49910
1769681603767882,49990
1769681603813771,50040
1769681603856910,49870
1769681603900118,49920
1769681603942704,49940
1769681603985962,49900
1769681604029011,50020
1769681604072120,49910
1769681604115256,49960
1769681604158297,49950
1769681604201551,49930
1769681604244311,49950
1769681604287039,49970
1769681604329891,49970
1769681604374328,50000
1769681604417334,49960
1769681604460522,49980
1769681604503563,49900
1769681604546409,49980
1769681604588644,49910
1769681604631583,49960
1769681604674160,50040
1769681604717361,49920
1769681604760357,49980
1769681604803346,49960
1769681604846426,49910
1769681604889641,49980
1769681604934785,49930
1769681604977913,49930
1769681605021053,50010
1769681605064131,49860
1769681605106816,49840
1769681605149895,49910
1769681605193056,50060
1769681605236015,49990
1769681605278662,49960
1769681605321732,49940
1769681605364867,49960
1769681605407965,50000
1769681605451008,49860
1769681605495448,49930
1769681605538537,49870
1769681605581538,49920
1769681605624693,49890
1769681605667452,49880
1769681605710581,50040
1769681605753426,49980
1769681605796703,49900
1769681605839806,49900
1769681605882905,49950
1769681605925974,49900
1769681605969081,49820
1769681606016019,49990
1769681606059167,49970
1769681606102263,49950
1769681606145144,49900
1769681606188200,50010
1769681606231117,49950
1769681606273701,49890
1769681606316845,50020
1769681606359329,49940
1769681606401959,50010
1769681606445025,49900
1769681606488132,49930
1769681606531364,50000
1769681606576425,50000
1769681606619475,49880
1769681606662564,49950
1769681606705599,49900
1769681606748775,50040
1769681606790979,49920
1769681606833800,49960
1769681606876819,49970
1769681606919980,50010
1769681606962880,49970
1769681607005907,49880
1769681607049075,49980
1769681607091987,49950
1769681607137117,50170
1769681607180140,50680
1769681607222741,50210
1769681607267114,50030
1769681607309847,49990
1769681607353015,50050
1769681607396211,50020
1769681607439223,50020
1769681607482003,50050
1769681607525064,50110
1769681607568088,50010
1769681607610423,50050
1769681607653715,50090
1769681607697729,50080
1769681607740851,50040
1769681607783459,49970
1769681607825931,50010
1769681607868777,50020
1769681607911704,49960
1769681607954711,49960
1769681607997893,50040
1769681608041068,50040
1769681608083977,49940
1769681608127085,50030
1769681608169864,49990
1769681608212939,50030
1769681608258342,49960
1769681608301475,50040
1769681608344616,50010
1769681608387598,50000
1769681608430910,50040
1769681608474091,49990
1769681608517236,50090
1769681608560297,50040
1769681608603312,50010
1769681608646386,50040
1769681608689461,50140
1769681608732568,50020
1769681608778752,50100
1769681608821319,50070
1769681608864488,50060
1769681608907029,49950
1769681608949995,50090
1769681608993171,50140
1769681609036421,50020
1769681609079065,50090
1769681609121829,50120
1769681609164251,50150
1769681609207058,50240
1769681609250084,50010
1769681609293248,50050
1769681609339483,50090
1769681609381869,50070
1769681609424893,50130
1769681609468039,50060
1769681609510931,50010
1769681609553982,50030
1769681609597024,50090
1769681609640104,49980
1769681609683008,50110
1769681609725865,50080
