unix_timestamp,active_power (mW)
1769683370984741,27850
1769683371027480,21410
1769683371069964,34710
1769683371117007,50290
1769683371160026,49770
1769683371202525,49810
1769683371245694,49850
1769683371288868,49670
1769683371331357,49660
1769683371373978,49600
1769683371417128,50060
1769683371459651,50090
1769683371502546,50100
1769683371545345,50050
1769683371588454,50100
1769683371631563,50140
1769683371676820,50120
1769683371719790,49940
1769683371762055,49950
1769683371805272,50000
1769683371848467,50020
1769683371891384,50050
1769683371933790,49970
1769683371976450,49730
1769683372019290,49460
1769683372061785,49630
1769683372104917,49620
1769683372147924,49610
1769683372190609,49670
1769683372236868,49650
1769683372279744,49500
1769683372322776,49780
1769683372365855,49690
1769683372408933,49670
1769683372452036,49770
1769683372495081,49640
1769683372537890,49600
1769683372580893,49720
1769683372623714,49650
1769683372666938,49600
1769683372709717,49610
1769683372752969,49700
1769683372796854,49560
1769683372839804,49690
1769683372882462,49580
1769683372925524,49620
1769683372968488,49680
1769683373011087,49560
1769683373053786,49620
1769683373096754,49560
1769683373139682,49510
1769683373182785,49750
1769683373225215,49660
1769683373268322,49640
1769683373311042,49530
1769683373356815,49380
1769683373399881,49420
1769683373442450,49330
1769683373485571,49410
1769683373528644,49390
1769683373571768,49490
1769683373614462,49600
1769683373657327,49380
1769683373700380,49400
1769683373743070,49720
1769683373785836,49680
1769683373828958,49630
1769683373872014,49620
1769683373916920,49620
1769683373959680,49660
1769683374002824,49630
1769683374045826,49640
1769683374088953,49690
1769683374131952,49580
1769683374175095,49630
1769683374218262,49700
1769683374261472,49720
1769683374304470,49590
1769683374347401,49720
1769683374389736,49550
1769683374432905,49660
1769683374476856,49430
1769683374519910,49500
1769683374562918,49630
1769683374605869,49440
1769683374648987,49500
1769683374691943,49450
1769683374734207,49450
1769683374777361,49480
1769683374820514,49440
1769683374863459,49550
1769683374906510,49490
1769683374948960,49590
1769683374991877,49540
1769683375036786,49510
1769683375079820,49580
1769683375122279,49570
1769683375165283,49650
1769683375208528,49610
1769683375251403,49590
1769683375294348,49600
1769683375337363,49640
1769683375380323,49630
1769683375423106,49570
1769683375465771,49590
1769683375508992,49560
1769683375552007,49620
1769683375596925,49730
1769683375639949,49540
1769683375682985,49680
1769683375726028,49590
1769683375769261,49630
1769683375812498,49470
1769683375855178,49660
1769683375898157,49690
1769683375941312,49660
1769683375984488,49590
1769683376027587,49480
1769683376070289,49550
1769683376112782,49470
1769683376156713,49350
1769683376199799,49570
1769683376243025,49420
1769683376285734,49420
1769683376328747,49550
1769683376371172,49540
1769683376413790,49540
1769683376456771,49370
1769683376499478,49520
1769683376542495,49510
1769683376584831,49580
1769683376627622,49640
1769683376670644,49540
1769683376716742,49520
1769683376759744,49630
1769683376803070,49640
1769683376846238,49450
1769683376889084,49670
1769683376932258,49660
1769683376975294,49670
1769683377018477,49640
1769683377061579,49560
1769683377104623,49620
1769683377147726,49600
1769683377190882,49620
1769683377236591,49660
1769683377279350,49660
1769683377322579,49630
1769683377364901,49570
1769683377407859,49600
1769683377450519,49570
1769683377493672,49470
1769683377536161,49550
1769683377579270,49570
1769683377622180,49460
1769683377665392,49570
1769683377708140,49480
1769683377751360,49440
1769683377796381,49470
1769683377839301,49580
1769683377882522,49450
1769683377924799,49420
1769683377967753,49650
1769683378010793,49600
1769683378053881,49580
1769683378097074,49500
1769683378139567,49500
1769683378182529,49670
1769683378225259,49430
1769683378268446,49590
1769683378311056,49510
1769683378356397,49560
1769683378399187,49500
1769683378441992,49500
1769683378485198,49460
1769683378527972,49520
1769683378570294,49420
1769683378613390,49540
1769683378656391,49480
1769683378699461,49510
1769683378742020,49450
1769683378785209,49540
1769683378828119,49450
1769683378871249,49390
1769683378916299,49420
1769683378959023,49540
1769683379001983,49450
1769683379045082,49450
1769683379088118,49570
1769683379130771,49530
1769683379173633,49460
1769683379216717,49650
1769683379259512,49590
1769683379302543,49610
1769683379345251,49460
1769683379388261,49560
1769683379430766,49530
1769683379476272,49600
1769683379519536,49650
1769683379562763,49640
1769683379605204,49560
1769683379648291,49630
1769683379691506,49670
1769683379733966,49550
1769683379777060,49590
1769683379820100,49640
1769683379862789,49620
1769683379905862,49680
1769683379948893,49530
1769683379992120,49870
1769683380036395,49610
1769683380079410,49620
1769683380122417,49540
1769683380165209,49610
1769683380208307,49720
1769683380251407,49560
1769683380294357,49490
1769683380337450,49610
1769683380380318,49630
1769683380422977,49430
1769683380465806,49460
1769683380508904,49620
1769683380551719,49650
1769683380596081,49540
1769683380639182,49480
1769683380681738,49500
1769683380724823,49460
1769683380767798,49560
1769683380811002,49450
1769683380854162,49410
1769683380897368,49450
1769683380942833,49660
1769683380985830,49600
1769683381028842,49490
1769683381072094,49690
1769683381116025,49540
1769683381158494,49600
1769683381201645,49560
1769683381244530,49670
1769683381287073,49540
1769683381330220,49610
1769683381373195,49550
1769683381416201,49610
1769683381458818,49580
1769683381501715,49690
1769683381544871,49600
1769683381587791,49500
1769683381630976,49600
1769683381676036,49550
1769683381718769,49510
1769683381761938,49620
1769683381804837,49540
1769683381848037,49690
1769683381891149,49570
1769683381933787,49630
1769683381976909,49540
1769683382019864,49520
1769683382062562,49560
1769683382105641,49690
1769683382148608,49570
1769683382191222,49610
1769683382235952,49600
1769683382279059,49600
1769683382321708,49560
1769683382364701,49530
1769683382407006,49680
1769683382449713,49430
1769683382492540,49580
1769683382535286,49520
1769683382577919,49510
1769683382620983,49510
1769683382664229,49600
1769683382707443,49510
1769683382749836,49690
1769683382795643,49450
1769683382838725,49390
1769683382881738,49460
1769683382924782,49530
1769683382967720,49500
1769683383010437,49520
1769683383053385,49360
1769683383095898,49460
1769683383139018,49400
1769683383182018,49530
1769683383225130,49520
1769683383268365,49550
1769683383311408,49530
1769683383355576,49530
1769683383399236,49590
1769683383441932,49640
1769683383485097,49550
1769683383528336,49370
1769683383571470,49510
1769683383614451,49490
1769683383657511,49560
1769683383700114,49570
1769683383743270,49640
1769683383786451,49520
1769683383829600,49480
1769683383875419,49470
1769683383917733,49500
1769683383960682,49490
1769683384003783,49580
1769683384046503,49520
1769683384089612,49510
1769683384132722,49520
1769683384175677,49610
1769683384218744,49540
1769683384261673,49440
1769683384304528,49490
1769683384347691,49500
1769683384390886,49320
1769683384435364,49340
1769683384477630,49570
1769683384520611,49460
1769683384563768,49480
1769683384606690,49550
1769683384649871,49490
1769683384693018,49490
1769683384735930,49380
1769683384779087,49450
1769683384821913,49630
1769683384865107,49470
1769683384907951,49590
1769683384951121,49540
