unix_timestamp,active_power (mW)
1769681419664119,27510
1769681419706640,21190
1769681419749729,29950
1769681419792736,33560
1769681419835722,47430
1769681419878729,50180
1769681419923063,50140
1769681419968294,50130
1769681420010889,50070
1769681420053803,50030
1769681420097076,50100
1769681420140330,50090
1769681420182953,50080
1769681420225712,50030
1769681420268700,50050
1769681420311481,50730
1769681420354727,50590
1769681420397759,50160
1769681420443424,50070
1769681420486604,50090
1769681420529654,50150
1769681420572792,50140
1769681420615942,50150
1769681420658486,50120
1769681420701730,50050
1769681420744662,49990
1769681420787574,49970
1769681420830374,50110
1769681420873541,50080
1769681420915829,50110
1769681420958931,50030
1769681421003729,49910
1769681421046197,49950
1769681421089436,50090
1769681421132586,50120
1769681421175585,50230
1769681421218565,49930
1769681421261605,49980
1769681421304758,50090
1769681421347919,50110
1769681421390535,50060
1769681421433795,50060
1769681421476763,50060
1769681421519788,50190
1769681421564237,50090
1769681421606787,50140
1769681421650087,50170
1769681421693209,50190
1769681421736268,50160
1769681421779201,50210
1769681421821941,50110
1769681421865177,50000
1769681421908256,50110
1769681421951356,50200
1769681421993813,50160
1769681422036760,50200
1769681422079491,50130
1769681422124658,50120
1769681422167753,50020
1769681422210064,50090
1769681422253191,50170
1769681422296395,50130
1769681422339381,50020
1769681422381772,49890
1769681422424834,49980
1769681422467843,49840
1769681422510746,50010
1769681422553771,50100
1769681422596904,49970
1769681422639576,50000
1769681422685012,50040
1769681422728053,50120
1769681422770720,50130
1769681422813928,50030
1769681422856930,50030
1769681422900120,50090
1769681422942828,50100
1769681422987168,50180
1769681423029967,50080
1769681423073206,50060
1769681423116430,50070
1769681423159328,50120
1769681423205561,50110
1769681423248661,50120
1769681423291737,50060
1769681423334412,50090
1769681423377437,50130
1769681423420462,50130
1769681423463511,50100
1769681423506732,50070
1769681423549919,50050
1769681423593168,50120
1769681423636299,50110
1769681423679261,50110
1769681423725808,50040
1769681423769087,50010
1769681423812222,49930
1769681423855443,49990
1769681423898569,50090
1769681423941610,49990
1769681423984740,49990
1769681424027715,50060
1769681424070520,50040
1769681424113652,49910
1769681424156747,49860
1769681424199904,49920
1769681424246082,50040
1769681424289192,50040
1769681424332269,49970
1769681424375409,49900
1769681424417986,50030
1769681424461221,50040
1769681424504205,50020
1769681424546579,50030
1769681424589587,50100
1769681424632651,50210
1769681424675626,50160
1769681424718585,50080
1769681424761480,50090
1769681424806618,50120
1769681424849668,50180
1769681424892983,50160
1769681424935999,50060
1769681424979151,50150
1769681425021577,50010
1769681425064691,50080
1769681425107447,50100
1769681425150520,50190
1769681425193582,50060
1769681425236785,50150
1769681425279728,50040
1769681425322813,49970
1769681425366873,50090
1769681425410041,50850
1769681425453250,50360
1769681425496259,50090
1769681425539336,49960
1769681425582480,49930
1769681425625166,50040
1769681425667759,50160
1769681425710359,50180
1769681425753546,50120
1769681425796782,49920
1769681425839810,50010
1769681425882521,50090
1769681425927319,50080
1769681425970404,50060
1769681426013460,50040
1769681426056669,50160
1769681426099499,50120
1769681426141887,50110
1769681426184387,50140
1769681426227149,50060
1769681426270389,50180
1769681426313397,50270
1769681426356508,50200
1769681426399621,50110
1769681426442741,50150
1769681426487827,50080
1769681426530843,50150
1769681426573802,50220
1769681426616814,50010
1769681426659865,50080
1769681426702514,50220
1769681426745725,50100
1769681426788546,50080
1769681426831094,50100
1769681426874232,50090
1769681426917329,50060
1769681426960485,50000
1769681427003166,50000
1769681427048080,49980
1769681427090783,50050
1769681427133759,50210
1769681427176804,50180
1769681427219920,49970
1769681427262867,50040
1769681427305958,50110
1769681427349034,50210
1769681427392178,50130
1769681427434730,50060
1769681427477834,50070
1769681427520931,50110
1769681427563383,50160
1769681427608525,50060
1769681427651450,49990
1769681427693953,50150
1769681427736885,50120
1769681427779962,50100
1769681427822665,50070
1769681427865502,50040
1769681427908479,50080
1769681427951586,50100
1769681427994493,50090
1769681428037442,50140
1769681428080551,50100
1769681428123552,50040
1769681428168959,50110
1769681428211865,50150
1769681428254777,50140
1769681428297789,50070
1769681428340804,50090
1769681428383710,50020
1769681428426732,50130
1769681428469793,50170
1769681428512598,50060
1769681428555646,49990
1769681428598728,50000
1769681428641318,49960
1769681428684236,49980
1769681428729159,50080
1769681428771287,50080
1769681428814145,50040
1769681428857088,49940
1769681428900148,49930
1769681428943345,49890
1769681428986602,50100
1769681429029076,50100
1769681429071959,50010
1769681429114782,49970
1769681429157790,50040
1769681429200769,50190
1769681429243604,50150
1769681429289788,50010
1769681429332984,50060
1769681429376131,50050
1769681429418821,50150
1769681429461987,50120
1769681429504992,50140
1769681429548073,50060
1769681429591083,50060
1769681429634355,50100
1769681429677449,50110
1769681429720544,50110
1769681429763285,50130
1769681429810192,50120
1769681429853172,50190
1769681429896612,50130
1769681429939746,50040
1769681429982292,49990
1769681430025611,49980
1769681430068440,50010
1769681430111392,50020
1769681430154638,50120
1769681430197700,50050
1769681430240845,50030
1769681430283920,49950
1769681430330397,49940
1769681430373284,49950
1769681430416172,50080
1769681430459139,50070
1769681430502228,49880
1769681430546847,50020
1769681430589455,49950
1769681430632481,50120
1769681430675345,50130
1769681430718475,49980
1769681430761513,50060
1769681430804213,50200
1769681430851080,50120
1769681430894267,50030
1769681430937345,50020
1769681430980586,50170
1769681431023662,50250
1769681431065972,50120
1769681431108875,50120
1769681431151938,50240
1769681431194899,50150
1769681431238018,50160
1769681431281113,50150
1769681431324037,50130
1769681431366958,50070
1769681431411448,50070
1769681431454543,50080
1769681431497646,50250
1769681431540679,50120
1769681431583877,50040
1769681431627039,50000
1769681431669944,49990
1769681431712852,50130
1769681431755397,50020
1769681431798257,50010
1769681431841293,49930
1769681431884487,49900
1769681431927311,49860
1769681431971639,50080
1769681432014854,50020
1769681432057733,50070
1769681432100883,49910
1769681432143934,49890
1769681432186857,50010
1769681432229809,50060
1769681432272966,50040
1769681432315796,50060
1769681432358835,50050
1769681432401624,50130
1769681432444717,50160
1769681432487738,50120
1769681432532211,50100
1769681432575131,50250
1769681432618239,50020
1769681432661141,50120
1769681432704277,50010
1769681432747399,50140
1769681432789776,50130
1769681432832791,50140
1769681432875732,50050
1769681432918731,50070
1769681432961773,49970
1769681433004752,50090
1769681433047115,50050
1769681433092525,49980
1769681433135316,49960
1769681433177896,49990
1769681433220907,50090
1769681433263967,50020
1769681433306924,50040
1769681433349857,50010
1769681433392751,49930
1769681433435763,49920
1769681433478867,49890
1769681433521834,50140
1769681433564214,50010
1769681433606760,49960
1769681433653039,50070
1769681433696172,50050
1769681433738779,50120
1769681433781655,49980
1769681433824677,50060
1769681433867936,50060
1769681433911075,50090
1769681433953887,50010
1769681433996946,50090
1769681434039759,50120
1769681434082349,50080
1769681434125576,50140
1769681434168574,50010
1769681434213712,50100
1769681434256818,50170
1769681434299766,50080
1769681434342985,50150
1769681434385841,50050
1769681434428835,50180
1769681434472016,50150
1769681434514600,50030
1769681434557739,50010
1769681434600619,50040
1769681434643853,50200
1769681434686697,49910
1769681434733953,49950
1769681434777102,49990
1769681434819659,49990
1769681434862887,50010
1769681434906061,49970
1769681434949133,50050
1769681434992253,50010
1769681435035242,49940
1769681435077679,50010
1769681435120935,50120
1769681435163865,50020
1769681435206781,50060
1769681435249664,50030
1769681435294528,50190
1769681435337600,50030
1769681435380515,50000
1769681435423498,50130
1769681435466673,50150
1769681435509741,50100
1769681435552887,50080
1769681435595474,50070
1769681435638575,50130
1769681435681553,50140
1769681435724433,50150
1769681435767115,50110
1769681435809875,50100
1769681435855073,50180
1769681435898314,50090
1769681435941482,50070
1769681435984334,50180
1769681436027419,50150
1769681436070050,50180
1769681436113142,50050
1769681436156299,50100
1769681436199496,50100
1769681436242563,50120
1769681436285688,50130
1769681436328648,50150
1769681436371139,50130
1769681436415563,50130
1769681436458431,50120
1769681436501326,50060
1769681436543504,50150
1769681436585853,50120
1769681436628916,50110
1769681436671807,50130
1769681436714710,49960
1769681436757734,50090
1769681436800842,50160
1769681436844066,50140
1769681436887322,50090
