unix_timestamp,active_power (mW)
1769682566474489,45120
1769682566519111,28690
1769682566562125,38010
1769682566605163,48620
1769682566648301,48480
1769682566690887,48430
1769682566733566,48390
1769682566776652,48350
1769682566819562,48350
1769682566862008,48410
1769682566905044,48370
1769682566947848,48300
1769682566990705,48400
1769682567033583,48320
1769682567079434,48330
1769682567122555,48320
1769682567165590,48490
1769682567208650,48450
1769682567251311,48310
1769682567294268,48310
1769682567337347,48350
1769682567380263,48260
1769682567423102,48350
1769682567466094,48270
1769682567509157,48290
1769682567551807,48360
1769682567594889,48410
1769682567639878,48300
1769682567683017,48370
1769682567726011,48390
1769682567768341,48310
1769682567811088,48380
1769682567853680,48370
1769682567896805,48380
1769682567939631,48360
1769682567982699,48370
1769682568025834,48410
1769682568068780,48410
1769682568112001,48430
1769682568155260,48450
1769682568200355,48440
1769682568243056,48390
1769682568286120,48370
1769682568329308,48360
1769682568372376,48410
1769682568415518,48470
1769682568458146,48350
1769682568500787,48470
1769682568543917,48450
1769682568587038,48500
1769682568630322,48340
1769682568673268,48400
1769682568716238,48360
1769682568760795,48410
1769682568804012,48410
1769682568846624,48420
1769682568889714,48340
1769682568932838,48420
1769682568975849,48430
1769682569019037,48480
1769682569061341,48380
1769682569104514,48390
1769682569147384,48430
1769682569190298,48430
1769682569233270,48500
1769682569276561,48400
1769682569321253,48360
1769682569364054,48350
1769682569407186,48360
1769682569449717,48390
1769682569492745,48430
1769682569535695,48390
1769682569578928,48370
1769682569621801,48330
1769682569664585,48360
1769682569707433,48340
1769682569750433,48340
1769682569793272,48350
1769682569836238,48370
1769682569881698,48370
1769682569924947,48350
1769682569967755,48350
1769682570010951,48460
1769682570053791,48380
1769682570096810,48320
1769682570139895,48310
1769682570182611,48380
1769682570225676,48380
1769682570268058,48300
1769682570311077,48360
1769682570354076,48340
1769682570396963,48310
1769682570442075,48270
1769682570485250,48320
1769682570528118,48260
1769682570570918,48240
1769682570613999,48290
1769682570657251,48270
1769682570700293,48260
1769682570742928,48260
1769682570785110,48160
1769682570828136,48280
1769682570871302,48200
1769682570913807,48280
1769682570956933,48250
1769682571002635,48260
1769682571045756,48250
1769682571088175,48300
1769682571131183,48260
1769682571174402,48270
1769682571219989,48330
1769682571262721,48220
1769682571305893,48280
1769682571348956,48280
1769682571391806,48290
1769682571434884,48250
1769682571477939,48310
1769682571522994,48250
1769682571566182,48210
1769682571609054,48190
1769682571652244,48290
1769682571695308,48270
1769682571737620,48280
1769682571780715,48160
1769682571823924,48210
1769682571866440,48130
1769682571909744,48240
1769682571952765,48200
1769682571995416,48120
1769682572037622,48160
1769682572083376,48220
1769682572125888,48180
1769682572169088,48220
1769682572211917,48100
1769682572255009,48220
1769682572298144,48200
1769682572341421,48170
1769682572384761,48160
1769682572427528,48210
1769682572470129,48170
1769682572513330,48110
1769682572556306,48120
1769682572599417,48140
1769682572643959,48180
1769682572686644,48220
1769682572729882,48190
1769682572772794,48220
1769682572815781,48160
1769682572858668,48140
1769682572901472,48240
1769682572944459,48150
1769682572987078,48220
1769682573030193,48270
1769682573073417,48210
1769682573116422,48300
1769682573159245,48350
1769682573204516,48210
1769682573247694,48310
1769682573290713,48310
1769682573333826,48280
1769682573377024,48250
1769682573420173,48280
1769682573463169,48310
1769682573506004,48310
1769682573549200,48360
1769682573592197,48240
1769682573634603,48290
1769682573677622,48330
1769682573721037,48430
1769682573764852,48390
1769682573807965,48380
1769682573851019,48410
1769682573894069,48460
1769682573937051,48450
1769682573979986,48400
1769682574022993,48270
1769682574065858,48290
1769682574108398,48370
1769682574151441,48360
1769682574193754,48400
1769682574235979,48390
1769682574279051,48350
1769682574325323,48520
1769682574368335,48380
1769682574411400,48340
1769682574454322,48460
1769682574497315,48380
1769682574540331,48390
1769682574583366,48370
1769682574626369,48390
1769682574669449,48410
1769682574712470,48400
1769682574755101,48490
1769682574797852,48420
1769682574840163,48420
1769682574885898,48410
1769682574928994,48350
1769682574971741,48440
1769682575014794,48400
1769682575057806,48410
1769682575101021,48290
1769682575143932,48480
1769682575187142,48550
1769682575230184,48440
1769682575273332,48450
1769682575316539,48400
1769682575359709,48380
1769682575406327,48340
1769682575449355,48320
1769682575492406,48430
1769682575535042,48400
1769682575577822,48380
1769682575620840,48400
1769682575663648,48360
1769682575706520,48440
1769682575749515,48350
1769682575792607,48400
1769682575835882,48410
1769682575879115,48420
1769682575921762,48400
1769682575966734,48490
1769682576009275,48320
1769682576052010,48370
1769682576095018,48370
1769682576138273,48410
1769682576181522,48430
1769682576224407,48370
1769682576267380,48340
1769682576310307,48340
1769682576353385,48430
1769682576396414,48390
1769682576439413,48420
1769682576481722,48390
1769682576527278,48360
1769682576569782,48320
1769682576612837,48320
1769682576655389,48340
1769682576697869,48310
1769682576740094,48200
1769682576782832,48290
1769682576825903,48200
1769682576868709,48220
1769682576911716,48260
1769682576954425,48260
1769682576997419,48310
1769682577040513,48230
1769682577087404,48120
1769682577130274,48080
1769682577173188,48300
1769682577216352,48330
1769682577259320,48210
1769682577301922,48150
1769682577344859,48230
1769682577387844,48310
1769682577430900,48310
1769682577474153,48290
1769682577517138,48200
1769682577559826,48250
1769682577602764,48390
1769682577647871,48350
1769682577690809,48300
1769682577734070,48320
1769682577777363,48420
1769682577820465,48430
1769682577863378,48390
1769682577905717,48330
1769682577948957,48390
1769682577991905,48410
1769682578034344,48380
1769682578077693,48460
1769682578120833,48470
1769682578164015,48440
1769682578208409,48470
1769682578251542,48400
1769682578294469,48490
1769682578337390,48400
1769682578380344,48500
1769682578423526,48400
1769682578466669,48430
1769682578509286,48400
1769682578552464,48360
1769682578595084,48380
1769682578638336,48430
1769682578681405,48360
