unix_timestamp,active_power (mW)
1770034768407284,45900
1770034768450151,40730
1770034768492636,42520
1770034768535111,45950
1770034768578091,45960
1770034768620474,45890
1770034768666254,45910
1770034768709179,45880
1770034768752220,45960
1770034768795145,45900
1770034768837881,45940
1770034768880555,46000
1770034768923320,45980
1770034768966126,45980
1770034769009067,45970
1770034769052114,45900
1770034769094796,45960
1770034769137980,46010
1770034769181183,45930
1770034769226161,45970
1770034769269333,45970
1770034769312282,45880
1770034769355341,46000
1770034769398176,46050
1770034769441294,46010
1770034769484395,46050
1770034769527306,46080
1770034769570392,45990
1770034769613228,46070
1770034769656306,46090
1770034769699300,46040
1770034769746154,46150
1770034769788956,46090
1770034769831814,46040
1770034769874665,46130
1770034769917079,46190
1770034769960038,46050
1770034770003070,46080
1770034770045665,46070
1770034770088853,46120
1770034770131211,46060
1770034770173514,46050
1770034770216271,46120
1770034770258981,46050
1770034770305996,46120
1770034770349115,46110
1770034770392034,46080
1770034770434469,46070
1770034770477360,46060
1770034770520494,46070
1770034770563713,46030
1770034770606933,46040
1770034770650092,46070
1770034770693288,46050
1770034770736277,46040
1770034770779356,46010
1770034770825872,46100
1770034770868915,46060
1770034770911915,46020
1770034770955016,46180
1770034770998152,46010
1770034771041080,45980
1770034771084178,46100
1770034771127193,45970
1770034771169748,45990
1770034771212851,46010
1770034771255886,46030
1770034771298811,46090
1770034771341343,46000
1770034771385686,46010
1770034771428429,45980
1770034771470985,46020
1770034771513349,46000
1770034771556319,45980
1770034771599450,45970
1770034771642120,45980
1770034771685032,45910
1770034771728046,45930
1770034771771108,45980
1770034771813651,45940
1770034771856869,46000
1770034771899993,45970
1770034771945490,46090
1770034771988559,45910
1770034772031527,45950
1770034772074184,46000
1770034772117156,45880
1770034772160301,45870
1770034772203305,45920
1770034772245973,45880
1770034772288960,45940
1770034772331846,45950
1770034772374871,46010
1770034772417807,45930
1770034772460508,46000
1770034772505346,46010
1770034772548451,45910
1770034772591547,45960
1770034772634197,45820
1770034772676959,45960
1770034772720193,45920
1770034772763346,45860
1770034772806458,45930
1770034772849339,45920
1770034772892383,45900
1770034772935354,45880
1770034772978332,45940
1770034773025190,45880
1770034773067989,45860
1770034773110274,45880
1770034773153337,45860
1770034773196021,45900
1770034773238916,45820
1770034773281724,45870
1770034773324190,45900
1770034773367173,45900
1770034773410372,45920
1770034773452736,45940
1770034773496010,45920
1770034773538484,45930
1770034773584945,45910
1770034773628109,45910
1770034773671193,45920
1770034773713845,45830
1770034773756982,45930
1770034773800145,45910
1770034773842935,45850
1770034773886143,45870
1770034773929112,45890
1770034773972190,45860
1770034774015346,46020
1770034774058313,46030
1770034774100846,46010
1770034774144814,45900
1770034774187901,45910
1770034774231137,45930
1770034774274041,45890
1770034774316488,45920
1770034774359350,45890
1770034774402516,45890
1770034774445024,45910
1770034774487986,45920
1770034774531036,45900
1770034774573842,45990
1770034774617042,45970
1770034774660206,45940
1770034774704704,45980
1770034774747739,45920
1770034774790933,45930
1770034774833498,45920
1770034774876630,45900
1770034774919905,45950
1770034774963011,45980
1770034775005853,45940
1770034775049135,46060
1770034775092323,45940
1770034775134856,45940
1770034775177706,45960
1770034775220395,45910
1770034775264410,45840
1770034775307191,45920
1770034775349779,45860
1770034775392235,45920
1770034775435323,45920
1770034775477936,45930
1770034775520956,45990
1770034775564062,45950
1770034775607077,45970
1770034775649590,45970
1770034775692178,45940
1770034775734792,45960
1770034775777372,46010
1770034775824341,45910
1770034775867425,45950
1770034775909967,45990
1770034775953129,45980
1770034775996294,46010
1770034776039294,45920
1770034776081826,46130
1770034776124894,46080
1770034776167939,45960
1770034776210983,46020
1770034776253698,46000
1770034776296888,45990
1770034776339944,46010
1770034776384089,46000
1770034776426959,45950
1770034776469413,46010
1770034776512390,46030
1770034776555158,45980
1770034776597893,45980
1770034776641038,45950
1770034776684012,45960
1770034776726841,45970
1770034776769335,45960
1770034776812412,46030
1770034776855110,46030
1770034776897894,46010
1770034776944129,45970
1770034776987217,46060
1770034777030198,45910
1770034777072761,46200
1770034777115720,45990
1770034777158272,46020
1770034777200883,46070
1770034777243746,46020
1770034777286553,46050
1770034777329291,46050
1770034777372125,46050
1770034777414821,46040
1770034777457226,46030
1770034777503829,46050
1770034777546475,46010
1770034777589334,46100
1770034777632233,46090
1770034777675233,46000
1770034777717919,46080
1770034777761140,46040
1770034777804345,46080
1770034777847340,46040
1770034777890047,46030
1770034777932912,46000
1770034777975816,46060
1770034778018079,46080
1770034778063626,46070
1770034778106389,46240
1770034778149235,46140
1770034778192432,46120
1770034778235310,46120
1770034778278488,46100
1770034778321973,46060
1770034778365012,46080
1770034778407997,46080
1770034778450974,46130
1770034778493362,46120
1770034778536359,46150
1770034778579428,46150
1770034778623878,46070
1770034778666889,46100
1770034778710030,46090
1770034778753255,46070
1770034778796220,46120
1770034778838738,46110
1770034778881190,46080
1770034778924384,46130
1770034778967319,46140
1770034779010065,46080
1770034779052889,46090
1770034779095778,46110
