unix_timestamp,active_power (mW)
1770036491879094,44900
1770036491921364,44790
1770036491963907,45040
1770036492006383,44840
1770036492049163,44970
1770036492092094,45010
1770036492137623,44920
1770036492180708,44940
1770036492223660,44930
1770036492266503,44980
1770036492308930,45070
1770036492351746,44980
1770036492394027,44910
1770036492437181,44920
1770036492479621,44880
1770036492522468,44920
1770036492565696,44940
1770036492608664,44930
1770036492651357,44900
1770036492697653,44930
1770036492740658,44900
1770036492783586,44930
1770036492826548,44910
1770036492869018,44910
1770036492911939,44920
1770036492954624,44900
1770036492997117,44830
1770036493039748,44970
1770036493082449,44910
1770036493125340,44850
1770036493167958,44830
1770036493210368,44870
1770036493253485,44760
1770036493297546,45010
1770036493340283,44790
1770036493382792,44810
1770036493425814,44750
1770036493468910,44740
1770036493511930,44660
1770036493554430,44680
1770036493597356,44630
1770036493640211,44700
1770036493682642,44690
1770036493725478,44710
1770036493768028,44670
1770036493810926,44650
1770036493853470,44670
1770036493897479,44630
1770036493940184,44610
1770036493983002,44600
1770036494025560,44740
1770036494068520,44690
1770036494111344,44750
1770036494154112,44720
1770036494196909,44810
1770036494239598,44820
1770036494282077,44880
1770036494324624,44810
1770036494367476,44990
1770036494410096,44960
1770036494453027,44860
1770036494497521,44850
1770036494540687,44810
1770036494583543,44890
1770036494626209,44840
1770036494669261,44860
1770036494712266,44820
1770036494755258,44840
1770036494798101,44840
1770036494841321,44790
1770036494883802,44740
1770036494926470,44740
1770036494969717,44720
1770036495012841,44700
1770036495057429,44680
1770036495100531,44780
1770036495143497,44750
1770036495186204,44690
1770036495229304,44730
1770036495272314,44700
1770036495315222,44720
1770036495358349,44920
1770036495401569,44710
1770036495444536,44730
1770036495487372,44820
1770036495530476,44730
1770036495572988,44720
1770036495617272,44760
1770036495660286,44650
1770036495703472,44760
1770036495746556,44680
1770036495789369,44710
1770036495832272,44780
1770036495874869,44700
1770036495917671,44750
1770036495960532,44740
1770036496003673,44790
1770036496046133,44810
1770036496089118,44770
1770036496132315,44850
1770036496177385,44760
1770036496220537,44750
1770036496263608,44760
1770036496306560,44820
1770036496349468,44750
1770036496392642,44930
1770036496435808,44740
1770036496478217,44720
1770036496521203,44750
1770036496564398,44740
1770036496607357,44760
1770036496650063,44710
1770036496693122,44710
1770036496737272,44740
1770036496779952,44770
1770036496822867,44790
1770036496865760,44720
1770036496908576,44760
1770036496951474,44750
1770036496994046,44710
1770036497037226,44780
1770036497080306,44690
1770036497123518,44730
1770036497166100,44760
1770036497209361,44720
1770036497252530,44670
1770036497297272,44630
1770036497340214,44690
1770036497383030,44770
1770036497425537,44810
1770036497468474,44690
1770036497511640,44720
1770036497554584,44720
1770036497597530,44660
1770036497640603,44700
1770036497683157,44680
1770036497725636,44600
1770036497768867,44680
1770036497812047,44700
1770036497857009,44680
1770036497899238,44720
1770036497942068,44680
1770036497985128,44720
1770036498028201,44730
1770036498071067,44720
1770036498114070,44770
1770036498157007,44740
1770036498200181,44780
1770036498243532,44810
1770036498286456,44750
1770036498329143,44800
1770036498372089,44790
1770036498417128,45000
1770036498460182,44790
1770036498502765,44810
1770036498545970,44830
1770036498589013,44820
1770036498632001,44880
1770036498675109,44790
1770036498717700,44830
1770036498760665,44840
1770036498803702,44840
1770036498846837,44770
1770036498889134,44880
1770036498932170,44800
1770036498977063,44840
1770036499020139,44760
1770036499063082,44900
1770036499105847,44800
1770036499149006,44780
1770036499191663,44730
1770036499234148,44750
1770036499276974,44690
1770036499319942,44630
1770036499363045,44680
1770036499405746,44660
1770036499448600,44760
1770036499491481,44760
1770036499536943,44710
1770036499580042,44770
1770036499622559,44760
1770036499665480,44750
1770036499708465,44730
1770036499751585,44730
1770036499794047,44790
1770036499837256,44690
1770036499880307,44750
1770036499923320,44800
1770036499965985,44920
1770036500009056,44770
1770036500052306,44760
1770036500097003,44780
1770036500139449,44790
1770036500182200,44840
1770036500224835,44790
1770036500267204,44710
1770036500310017,44800
1770036500352699,44830
1770036500395428,44750
1770036500437968,44740
1770036500480404,44980
1770036500522917,44750
1770036500565618,44810
1770036500608616,44770
1770036500651741,44680
1770036500696921,44610
1770036500740054,44680
1770036500783203,44720
1770036500825971,44620
1770036500868937,44680
1770036500912051,44690
1770036500954764,44690
1770036500997197,44720
1770036501040293,44690
1770036501083240,44690
1770036501126352,44700
1770036501169307,44750
1770036501212447,44690
1770036501256870,44700
1770036501299970,44740
1770036501343124,44760
1770036501386320,44740
1770036501429230,44800
1770036501472382,44730
1770036501515368,44800
1770036501558548,44820
1770036501601547,44790
1770036501644650,44800
1770036501687648,44730
1770036501730629,44790
1770036501776906,44700
1770036501819922,44720
1770036501862823,44670
1770036501905325,44700
1770036501948078,44750
1770036501990647,44660
1770036502033122,44730
1770036502076363,44760
1770036502119236,44690
1770036502161962,44750
1770036502205037,44780
1770036502248186,44850
1770036502291104,44810
1770036502336914,44950
1770036502380035,44880
1770036502422872,44860
1770036502465960,44850
1770036502508921,44880
1770036502552040,45000
1770036502595034,44720
1770036502638069,44770
1770036502681066,44790
1770036502724176,44710
1770036502766776,44690
1770036502809810,44710
1770036502856667,44640
1770036502899794,44720
1770036502942714,44760
1770036502985195,44710
1770036503028716,44740
1770036503071699,44750
1770036503114576,44690
1770036503157638,44720
1770036503200581,44720
1770036503243490,44740
1770036503286184,44700
1770036503329182,44770
1770036503372221,44770
1770036503416598,44780
1770036503459719,44710
1770036503502501,44740
1770036503545375,44890
1770036503588350,44700
1770036503631321,44720
1770036503674403,44690
1770036503716994,44710
1770036503760081,44710
