unix_timestamp,active_power (mW)
1770037856642873,45360
1770037856685245,40980
1770037856727515,45640
1770037856770677,45410
1770037856813609,45380
1770037856856526,45390
1770037856899082,45330
1770037856941652,45370
1770037856984830,45450
1770037857031751,45470
1770037857074453,45410
1770037857117337,45410
1770037857160325,45410
1770037857202851,45440
1770037857245442,45450
1770037857288257,45530
1770037857331040,45490
1770037857373754,45450
1770037857416430,45370
1770037857459240,45450
1770037857501963,45420
1770037857545062,45390
1770037857592014,45380
1770037857634813,45490
1770037857677357,45480
1770037857720523,45420
1770037857763404,45410
1770037857805977,45400
1770037857848848,45350
1770037857891907,45410
1770037857934448,45330
1770037857977454,45340
1770037858020724,45380
1770037858063945,45350
1770037858106628,45300
1770037858152232,45320
1770037858195357,45260
1770037858238159,45250
1770037858281169,45370
1770037858323972,45450
1770037858366692,45310
1770037858409156,45350
1770037858451525,45290
1770037858494153,45300
1770037858536704,45340
1770037858578997,45310
1770037858621891,45260
1770037858664796,45310
1770037858707861,45330
1770037858752551,45230
1770037858795661,45290
1770037858838618,45200
1770037858881722,45280
1770037858924814,45410
1770037858967703,45300
1770037859010849,45230
1770037859053345,45290
1770037859096318,45300
1770037859139156,45310
1770037859182108,45350
1770037859225123,45340
1770037859268165,45300
1770037859313014,45400
1770037859356133,45260
1770037859399016,45270
1770037859441495,45340
1770037859484630,45320
1770037859527568,45300
1770037859570494,45350
1770037859613210,45370
1770037859655576,45260
1770037859698290,45290
1770037859741389,45410
1770037859784588,45350
1770037859827599,45420
1770037859873384,45360
1770037859916422,45420
1770037859959313,45420
1770037860001904,45510
1770037860044849,45460
1770037860087690,45470
1770037860130693,45390
1770037860173353,45390
1770037860216318,45500
1770037860258588,45490
1770037860301664,45470
1770037860344760,45500
1770037860387810,45610
1770037860433708,45510
1770037860476537,45510
1770037860519365,45550
1770037860562324,45550
1770037860605241,45460
1770037860648347,45430
1770037860691260,45490
1770037860733841,45430
1770037860776885,45570
1770037860819812,45490
1770037860862251,45490
1770037860905293,45410
1770037860948250,45400
1770037860994149,45510
1770037861037167,45450
1770037861080108,45470
1770037861122948,45370
1770037861165728,45370
1770037861208212,45440
1770037861251383,45370
1770037861294216,45460
1770037861337136,45430
1770037861380244,45650
1770037861423209,45490
1770037861465793,45470
1770037861508768,45500
1770037861554504,45450
1770037861597656,45570
1770037861640896,45430
1770037861683833,45530
1770037861726849,45530
1770037861769215,45470
1770037861811977,45460
1770037861854679,45540
1770037861897101,45440
1770037861940046,45450
1770037861982925,45450
1770037862025495,45460
1770037862067971,45510
1770037862114842,45480
1770037862157561,45460
1770037862200588,45520
1770037862243826,45430
1770037862286983,45500
1770037862329893,45500
1770037862372765,45540
1770037862415792,45550
1770037862458622,45650
1770037862501430,45570
1770037862544445,45580
1770037862587351,45530
1770037862630164,45500
1770037862675276,45560
1770037862717921,45420
1770037862760962,45510
1770037862804040,45550
1770037862847073,45470
1770037862890017,45480
1770037862933169,45520
1770037862975779,45550
1770037863018587,45560
1770037863061085,45490
1770037863103826,45550
1770037863146557,45420
1770037863189062,45490
1770037863235693,45480
1770037863278585,45460
1770037863321358,45510
1770037863364507,45520
1770037863407469,45530
1770037863450138,45630
1770037863493651,45530
1770037863536873,45460
1770037863579770,45470
1770037863622729,45470
1770037863665724,45450
1770037863708323,45390
1770037863750875,45480
1770037863796063,45370
1770037863839183,45350
1770037863882108,45380
1770037863925297,45340
1770037863968535,45340
1770037864011499,45320
1770037864054390,45330
1770037864097471,45260
1770037864140460,45200
1770037864183343,45350
1770037864226224,45340
1770037864269397,45350
1770037864316395,45310
1770037864358856,45290
1770037864401804,45330
1770037864445042,45460
1770037864487559,45290
1770037864530234,45410
1770037864572953,45410
1770037864615429,45350
1770037864657811,45480
1770037864700960,45370
1770037864743957,45390
1770037864786679,45380
1770037864829373,45450
1770037864872127,45500
1770037864916953,45360
1770037864960000,45390
1770037865002930,45330
1770037865045681,45380
1770037865088373,45300
1770037865131484,45350
1770037865174386,45260
1770037865217316,45290
1770037865260290,45350
1770037865303262,45290
1770037865346414,45370
1770037865388967,45350
1770037865432189,45280
1770037865477350,45420
1770037865520481,45210
1770037865563434,45340
1770037865606609,45290
1770037865649894,45290
1770037865692771,45320
1770037865735203,45290
1770037865777822,45350
1770037865820973,45250
1770037865863892,45330
1770037865906836,45260
1770037865949771,45290
1770037865992553,45240
1770037866037726,45280
1770037866080635,45310
1770037866123622,45260
1770037866166412,45220
1770037866209266,45360
1770037866252164,45310
1770037866294671,45290
1770037866337270,45330
1770037866380101,45360
1770037866423003,45310
1770037866465851,45390
1770037866508507,45500
1770037866551449,45270
1770037866598221,45300
1770037866641367,45320
1770037866684456,45350
1770037866727557,45320
1770037866770852,45270
1770037866813840,45280
1770037866856165,45280
1770037866898505,45350
1770037866941295,45320
1770037866984399,45270
1770037867027386,45300
1770037867070005,45280
1770037867112572,45300
1770037867158741,45310
1770037867201482,45340
1770037867244568,45310
1770037867287693,45370
1770037867330911,45300
1770037867373959,45370
1770037867417062,45420
1770037867459628,45370
1770037867503324,45400
1770037867545892,45550
1770037867589059,45420
1770037867632114,45490
1770037867674961,45480
1770037867719329,45430
1770037867762332,45420
1770037867804975,45500
1770037867847998,45580
1770037867890983,45550
1770037867934051,45550
1770037867977151,45490
1770037868020279,45490
1770037868063312,45500
1770037868105655,45530
1770037868148168,45440
1770037868191192,45450
1770037868234407,45390
1770037868279748,45360
1770037868322620,45380
1770037868365084,45370
1770037868407790,45350
1770037868450447,45350
1770037868493179,45370
1770037868535955,45500
1770037868578669,45410
1770037868621376,45340
1770037868663782,45370
1770037868706948,45400
1770037868749919,45470
1770037868792677,45490
1770037868834968,45480
1770037868880423,45470
1770037868923437,45440
1770037868966416,45450
1770037869009428,45590
1770037869052428,45550
1770037869095436,45560
1770037869138149,45500
1770037869181318,45510
1770037869224323,45480
1770037869267363,45550
1770037869310476,45530
1770037869353605,45480
1770037869396655,45530
1770037869441068,45470
1770037869484102,45500
1770037869526802,45530
1770037869569307,45630
1770037869612365,45560
1770037869655312,45480
1770037869698193,45470
1770037869740748,45370
1770037869783247,45400
1770037869825683,45440
1770037869868032,45380
1770037869910392,45320
1770037869952654,45350
1770037869995547,45390
1770037870041397,45280
1770037870084568,45280
1770037870127435,45320
1770037870170600,45320
1770037870213188,45280
1770037870256423,45320
1770037870299048,45270
1770037870341599,45330
1770037870384078,45270
1770037870427051,45300
1770037870470005,45360
1770037870513193,45330
1770037870556024,45390
1770037870601949,45500
1770037870645201,45410
1770037870688408,45460
1770037870730791,45380
1770037870773160,45470
1770037870816204,45470
1770037870859123,45530
1770037870902187,45530
1770037870945302,45470
1770037870988391,45550
1770037871031267,45540
1770037871074205,45610
1770037871117211,45590
1770037871162553,45480
1770037871205399,45470
1770037871248298,45490
1770037871291002,45490
1770037871333649,45450
1770037871376652,45510
1770037871420028,45470
1770037871463123,45380
1770037871505955,45400
1770037871548888,45360
1770037871592299,45340
1770037871635382,45590
1770037871678660,45310
1770037871723039,45370
1770037871765489,45390
1770037871808597,45310
1770037871851625,45330
