unix_timestamp,active_power (mW)
1770033178000939,42530
1770033178043483,42650
1770033178086138,42550
1770033178129178,42530
1770033178171820,42550
1770033178215021,42580
1770033178260927,42590
1770033178304051,42630
1770033178347136,42610
1770033178389817,42560
1770033178433090,42580
1770033178476258,42510
1770033178519256,42580
1770033178561952,42540
1770033178604947,42570
1770033178647887,42610
1770033178690650,42530
1770033178733850,42540
1770033178781158,42580
1770033178823709,42600
1770033178866468,42610
1770033178909114,42650
1770033178951859,42590
1770033178995000,42620
1770033179037545,42610
1770033179080056,42580
1770033179122918,42670
1770033179165814,42610
1770033179208285,42650
1770033179251228,42640
1770033179293787,42660
1770033179336897,42630
1770033179381427,42580
1770033179424204,42600
1770033179467063,42600
1770033179509230,42580
1770033179552376,42640
1770033179594954,42570
1770033179637323,42730
1770033179679767,42560
1770033179722553,42530
1770033179765592,42540
1770033179808672,42560
1770033179851243,42510
1770033179894108,42490
1770033179936678,42480
1770033179981718,42560
1770033180024652,42490
1770033180067784,42500
1770033180110619,42520
1770033180153106,42550
1770033180196129,42590
1770033180239158,42640
1770033180281809,42610
1770033180324677,42560
1770033180367556,42590
1770033180410136,42600
1770033180453278,42620
1770033180496244,42640
1770033180541971,42530
1770033180585118,42580
1770033180628049,42490
1770033180670776,42630
1770033180713844,42490
1770033180756774,42550
1770033180799901,42530
1770033180842830,42530
1770033180885249,42520
1770033180927928,42520
1770033180970729,42530
1770033181013163,42440
1770033181055802,42480
1770033181102173,42590
1770033181145041,42600
1770033181188244,42580
1770033181231283,42660
1770033181273981,42530
1770033181317181,42630
1770033181360062,42560
1770033181403213,42590
1770033181446156,42590
1770033181489060,42540
1770033181531954,42600
1770033181574841,42580
1770033181617179,42570
1770033181662355,42590
1770033181705478,42640
1770033181748708,42500
1770033181791892,42500
1770033181834842,42600
1770033181877344,42580
1770033181920359,42560
1770033181963181,42540
1770033182006108,42720
1770033182049127,42590
1770033182092172,42610
1770033182135240,42640
1770033182177993,42660
1770033182222719,42680
1770033182265497,42530
1770033182308423,42620
1770033182351344,42630
1770033182393720,42620
1770033182436790,42620
1770033182479954,42630
1770033182522797,42570
1770033182566036,42620
1770033182608473,42550
1770033182650796,42520
1770033182693677,42490
1770033182736849,42550
1770033182783055,42560
1770033182825814,42570
1770033182868686,42570
1770033182911874,42530
1770033182954746,42610
1770033182997187,42510
1770033183040059,42550
1770033183083056,42590
1770033183125843,42580
1770033183169020,42600
1770033183211916,42600
1770033183254708,42520
1770033183297634,42620
1770033183343152,42580
1770033183385510,42590
1770033183428571,42510
1770033183471705,42600
1770033183514656,42530
1770033183557131,42600
1770033183600318,42550
1770033183643262,42580
1770033183685952,42630
1770033183729079,42640
1770033183772172,42770
1770033183815144,42620
1770033183857973,42560
1770033183903457,42590
1770033183946125,42580
1770033183989114,42550
1770033184032048,42630
1770033184075264,42680
1770033184118075,42680
1770033184161113,42570
1770033184204231,42560
1770033184247247,42560
1770033184290274,42540
1770033184333278,42490
1770033184376428,42540
1770033184419059,42470
1770033184463746,42540
1770033184506850,42530
1770033184549877,42540
1770033184593312,42480
1770033184636384,42600
1770033184679277,42570
1770033184722188,42550
1770033184765286,42800
1770033184808455,42600
1770033184851158,42590
1770033184894138,42590
1770033184937281,42670
1770033184983863,42620
1770033185026632,42590
1770033185069510,42540
1770033185111973,42570
1770033185154898,42580
1770033185197323,42570
1770033185239995,42520
1770033185283121,42660
1770033185326094,42490
1770033185369093,42610
1770033185412183,42560
1770033185455069,42590
1770033185498104,42600
1770033185544230,42630
1770033185586959,42620
1770033185629747,42580
1770033185672707,42610
1770033185715579,42550
1770033185758451,42620
1770033185800983,42710
1770033185843993,42610
1770033185887133,42570
1770033185929953,42580
1770033185972920,42500
1770033186015847,42530
1770033186058716,42470
1770033186104571,42430
1770033186147670,42560
1770033186190716,42500
1770033186233836,42510
1770033186276896,42440
1770033186319985,42570
1770033186362851,42490
1770033186405715,42480
1770033186448856,42560
1770033186492057,42490
1770033186535009,42550
1770033186577951,42520
1770033186624812,42530
1770033186667968,42540
