unix_timestamp,active_power (mW)
1770034272817788,43780
1770034272860701,43740
1770034272903717,43840
1770034272946840,43840
1770034272989979,43950
1770034273032582,43910
1770034273077248,43920
1770034273120135,43870
1770034273163171,44010
1770034273206126,43920
1770034273249147,43920
1770034273292083,44030
1770034273334792,43920
1770034273377570,43930
1770034273420027,43950
1770034273462849,43870
1770034273505624,43900
1770034273548578,43950
1770034273591407,43940
1770034273637244,43850
1770034273680259,43970
1770034273723159,43950
1770034273765949,43930
1770034273809053,43770
1770034273852109,43830
1770034273895110,43720
1770034273938100,43800
1770034273981165,43710
1770034274023983,43760
1770034274066902,43660
1770034274109947,43770
1770034274156992,43800
1770034274200146,43780
1770034274243131,43780
1770034274285923,43900
1770034274329123,43840
1770034274371965,43870
1770034274415148,43920
1770034274458042,43880
1770034274501248,43900
1770034274544188,43950
1770034274587313,43890
1770034274629942,43930
1770034274673142,43950
1770034274717153,43940
1770034274760268,43890
1770034274803038,43900
1770034274845562,43970
1770034274888625,43950
1770034274931569,43880
1770034274974397,43930
1770034275017548,43850
1770034275060582,43840
1770034275102913,43870
1770034275145460,43950
1770034275188316,43900
1770034275230904,43830
1770034275276971,43750
1770034275320021,43870
1770034275363187,43770
1770034275406135,43780
1770034275449138,43800
1770034275492173,43780
1770034275535577,43710
1770034275578257,43690
1770034275621296,43760
1770034275664537,43830
1770034275707313,43790
1770034275749920,43790
1770034275796880,43870
1770034275839972,43800
1770034275883096,43800
1770034275925717,43800
1770034275968872,43880
1770034276011714,43890
1770034276054401,43830
1770034276097205,43910
1770034276140359,43880
1770034276183525,43890
1770034276226463,44010
1770034276269685,43950
1770034276312885,43890
1770034276356923,44040
1770034276399698,43960
1770034276442550,43900
1770034276485423,43830
1770034276528579,43890
1770034276571689,43900
1770034276614534,43930
1770034276657669,43890
1770034276701729,43940
1770034276744871,43940
1770034276787361,43920
1770034276830202,43870
1770034276876653,43760
1770034276919773,43800
1770034276962536,43770
1770034277005326,43750
1770034277048407,43670
1770034277091150,43810
1770034277133974,43730
1770034277177182,43760
1770034277220448,43800
1770034277263237,43770
1770034277305997,43770
1770034277349059,43830
1770034277392249,43990
1770034277436648,43860
1770034277479782,43880
1770034277522920,43870
1770034277565873,43880
1770034277609043,43880
1770034277652191,43870
1770034277694442,43890
1770034277736904,43880
1770034277779225,43890
1770034277821580,43910
1770034277864667,43910
1770034277907400,43960
1770034277950571,43830
1770034277996649,43850
1770034278039785,43820
1770034278082645,43890
1770034278125571,43940
1770034278168614,43910
1770034278211658,43900
1770034278254473,43830
1770034278297265,43890
1770034278340397,43820
1770034278383248,43820
1770034278426059,44000
1770034278469240,43940
1770034278512094,43830
1770034278556509,43800
1770034278599514,43750
1770034278642254,43740
1770034278685256,43740
1770034278728108,43740
1770034278770671,43770
1770034278813423,43710
1770034278856424,43760
1770034278899516,43750
1770034278942149,43830
1770034278985284,43790
1770034279028518,43800
1770034279071613,43780
1770034279116341,43810
1770034279159328,43860
1770034279202456,43810
1770034279245623,43810
1770034279288708,43930
1770034279331851,43840
1770034279374991,43980
1770034279417475,44050
1770034279460066,43960
1770034279502817,44000
