unix_timestamp,active_power (mW)
1774542682730241,43060
1774542682772697,36310
1774542682814958,43190
1774542682857973,43000
1774542682901161,43060
1774542682944433,43140
1774542682987480,43070
1774542683033348,43090
1774542683076489,43160
1774542683119151,43120
1774542683162290,43070
1774542683205459,43070
1774542683248538,43080
1774542683291441,43150
1774542683334156,43120
1774542683377290,43110
1774542683420420,43310
1774542683463630,43100
1774542683506553,43180
1774542683553333,43200
1774542683596487,43170
1774542683639389,43310
1774542683682546,43120
1774542683725444,43230
1774542683768369,43090
1774542683811536,43290
1774542683854078,43610
1774542683897178,43050
1774542683940028,43020
1774542683983092,43130
1774542684026162,43050
1774542684069242,43080
1774542684113287,43070
1774542684156300,43090
1774542684199252,43140
1774542684242570,43130
1774542684285594,43170
1774542684328697,43120
1774542684371605,43050
1774542684414856,43030
1774542684457734,42980
1774542684500870,42990
1774542684543446,42970
1774542684586576,42950
1774542684633056,42920
1774542684676214,42960
1774542684719442,43000
1774542684762003,42970
1774542684805149,43070
1774542684848407,42870
1774542684891315,43000
1774542684934586,43050
1774542684977577,43010
1774542685020525,43030
1774542685063155,43040
1774542685106226,43010
1774542685153126,43010
1774542685196273,43050
1774542685239504,43090
1774542685282141,43070
1774542685325134,43100
1774542685368110,43030
1774542685411347,43070
1774542685454554,43250
1774542685497549,43110
1774542685540579,43140
1774542685583511,43080
1774542685626646,43070
1774542685673202,43270
1774542685716346,43090
1774542685759175,43140
1774542685802382,43100
1774542685845508,43090
1774542685888475,43100
1774542685931615,43070
1774542685974450,43130
1774542686017493,43230
1774542686060603,43140
1774542686103461,43170
1774542686146366,43070
1774542686193173,43120
1774542686236287,43160
1774542686279466,43150
1774542686322347,43160
1774542686365512,43170
1774542686408459,43190
1774542686451595,43150
1774542686494772,43130
1774542686537943,43190
1774542686581013,43110
1774542686624160,43130
1774542686667392,43120
1774542686713244,43140
1774542686756365,43110
1774542686799515,43180
1774542686842625,43190
1774542686885491,43120
1774542686928510,43120
1774542686971233,43100
1774542687013774,43180
1774542687056775,43120
1774542687099853,43210
1774542687142983,43100
1774542687185985,43100
1774542687233063,43140
1774542687276013,43100
1774542687318761,43130
1774542687361949,43170
1774542687405083,43190
1774542687448094,43160
1774542687491352,43330
1774542687534055,43150
1774542687577231,43170
1774542687620135,43080
1774542687663072,43150
1774542687706089,43180
1774542687753027,43060
1774542687796096,43180
1774542687839211,43220
1774542687882233,43150
1774542687925484,43120
1774542687968725,43130
1774542688011772,43120
1774542688054325,43050
1774542688097344,43120
1774542688140498,43120
1774542688183451,43110
1774542688226645,43080
1774542688273141,43150
1774542688316273,43130
1774542688359117,43120
1774542688402304,43140
1774542688445320,43080
1774542688488472,43110
1774542688531619,43210
1774542688574080,43180
1774542688617129,43140
1774542688659972,43120
1774542688703007,43090
1774542688745567,43130
1774542688788559,43080
1774542688833200,43140
1774542688876210,43090
1774542688919306,43150
1774542688961578,43170
1774542689004542,43060
1774542689047614,43160
1774542689090577,43170
1774542689133853,43120
1774542689176912,43180
1774542689220089,43160
1774542689262702,43140
1774542689305882,43190
1774542689349072,43150
1774542689393205,43240
1774542689436287,43110
1774542689479048,43180
1774542689522106,43320
1774542689565280,43120
1774542689608389,43140
1774542689651559,43170
1774542689694518,43160
1774542689737504,43230
1774542689780567,43060
1774542689823551,43120
1774542689866646,43080
1774542689913323,43050
1774542689956410,43050
1774542689999600,43100
1774542690042463,43020
1774542690085459,43060
1774542690128462,43060
1774542690171482,43070
1774542690214706,43090
1774542690257791,43110
1774542690300913,43150
1774542690343901,43150
1774542690387153,43150
1774542690433330,43080
1774542690476372,43170
1774542690519022,43160
1774542690561488,43160
1774542690604476,43110
1774542690647194,43140
1774542690690711,43080
1774542690733692,43100
1774542690776759,43090
1774542690819885,43190
1774542690862965,43060
1774542690905613,43110
1774542690948677,43150
1774542690993333,43120
1774542691036584,43090
1774542691079406,43140
1774542691121827,43050
1774542691164755,43070
1774542691207090,43070
1774542691250124,43100
1774542691293334,43080
1774542691336275,43080
1774542691379016,43030
1774542691421652,43020
1774542691464719,43040
1774542691507701,43080
1774542691553527,43150
1774542691596679,43160
1774542691639463,43120
1774542691682622,43100
1774542691725588,43260
1774542691768749,43040
1774542691811951,43060
1774542691855179,43160
1774542691898392,42980
1774542691941471,43000
1774542691984497,43080
1774542692027264,43110
1774542692073453,43080
1774542692116516,43060
