unix_timestamp,active_power (mW)
1774541093106756,42420
1774541093149014,41420
1774541093191334,42500
1774541093235679,42350
1774541093278944,42370
1774541093321960,42380
1774541093365612,42410
1774541093408626,42410
1774541093451652,42280
1774541093494353,42410
1774541093537466,42330
1774541093580578,42320
1774541093623213,42380
1774541093666257,42290
1774541093709388,42440
1774541093755234,42300
1774541093797611,42340
1774541093840772,42190
1774541093883457,42390
1774541093926540,42430
1774541093969604,42330
1774541094012466,42370
1774541094055537,42240
1774541094098831,42260
1774541094142036,42410
1774541094185135,42320
1774541094228286,42370
1774541094274700,42210
1774541094317459,42210
1774541094360447,42250
1774541094403608,42190
1774541094446723,42200
1774541094489812,42240
1774541094532823,42250
1774541094575853,42290
1774541094618627,42220
1774541094661609,42290
1774541094704681,42220
1774541094747612,42270
1774541094794297,42250
1774541094837470,42230
1774541094880673,42200
1774541094923676,42260
1774541094966531,42280
1774541095008968,42260
1774541095052278,42180
1774541095095394,42260
1774541095138395,42310
1774541095181491,42230
1774541095224623,42240
1774541095267673,42230
1774541095313959,42260
1774541095357152,42300
1774541095400204,42340
1774541095443433,42390
1774541095486618,42280
1774541095529782,42390
1774541095573045,42340
1774541095616110,42430
1774541095659215,42440
1774541095702168,42390
1774541095744658,42320
1774541095787696,42320
1774541095833654,42310
1774541095876660,42260
1774541095919229,42320
1774541095962350,42230
1774541096005502,42260
1774541096048541,42240
1774541096091521,42200
1774541096134042,42270
1774541096176980,42480
1774541096219919,42270
1774541096263024,42270
1774541096305946,42170
1774541096349104,42340
1774541096393197,42260
1774541096436246,42280
1774541096479041,42310
1774541096522227,42240
1774541096565459,42300
1774541096608562,42260
1774541096651374,42180
1774541096694558,42210
1774541096737385,42280
1774541096780556,42250
1774541096823178,42260
1774541096865581,42290
1774541096908839,42270
1774541096952625,42280
1774541096995699,42290
1774541097038619,42270
1774541097081698,42260
1774541097124716,42230
1774541097167518,42310
1774541097210258,42280
1774541097253327,42210
1774541097296326,42310
1774541097339146,42270
1774541097382148,42240
1774541097425159,42190
1774541097472192,42250
1774541097515341,42170
1774541097557762,42220
1774541097600718,42260
1774541097643733,42290
1774541097686770,42350
1774541097729975,42330
1774541097773142,42290
1774541097816313,42260
1774541097859344,42280
1774541097902376,42330
1774541097945540,42330
1774541097992259,43080
1774541098035001,42550
1774541098078009,42370
1774541098121123,42400
1774541098164230,42380
1774541098207524,42420
1774541098250599,42670
1774541098293545,42480
1774541098335892,42360
1774541098378458,42410
1774541098421637,42350
1774541098464627,42300
1774541098507248,42400
1774541098551649,42390
1774541098594226,42340
1774541098636499,42420
1774541098678918,42450
1774541098721338,42420
1774541098764471,42450
1774541098807313,42400
1774541098850365,42310
1774541098893419,42380
1774541098936676,42380
1774541098979210,42370
1774541099021815,42390
1774541099064796,42300
1774541099111038,42270
1774541099154571,42320
1774541099197490,42410
1774541099240638,42310
1774541099283775,42210
1774541099326631,42240
1774541099369942,42360
1774541099413099,42400
1774541099456310,42480
1774541099499405,42430
1774541099542237,42370
1774541099585403,42370
1774541099630847,42430
1774541099673377,42440
1774541099715901,42380
1774541099758625,42390
1774541099801558,42560
1774541099844626,42410
1774541099887570,42380
1774541099930128,42320
1774541099973230,42370
1774541100016431,42450
1774541100059480,42330
1774541100102411,42330
1774541100145648,42350
1774541100190635,42300
1774541100233722,42320
1774541100276704,42420
1774541100319448,42320
1774541100361914,42420
1774541100405067,42360
1774541100447911,42370
1774541100491104,42280
1774541100533611,42380
1774541100576350,42390
1774541100619233,42440
1774541100661720,42460
1774541100705147,42370
1774541100750331,42300
1774541100793453,42290
1774541100836601,42340
1774541100879558,42370
1774541100922287,42280
1774541100965280,42310
1774541101008345,42340
1774541101051466,42300
1774541101094646,42290
1774541101137718,42240
1774541101180858,42320
1774541101224003,42240
1774541101270157,42310
1774541101313250,42360
1774541101356343,42270
1774541101399334,42350
1774541101442456,42310
1774541101485562,42390
1774541101528588,42320
1774541101571686,42200
1774541101614307,42320
1774541101657474,42380
1774541101700619,42440
1774541101743677,42350
1774541101789842,42350
1774541101832950,42290
1774541101876109,42310
1774541101919112,42300
1774541101961543,42350
1774541102004544,42300
1774541102047643,42360
1774541102090791,42520
1774541102133241,42390
1774541102176448,42420
1774541102219710,42350
1774541102262562,42330
1774541102309712,42520
1774541102352903,42380
1774541102396043,42380
1774541102438717,42420
1774541102481645,42400
1774541102524519,42420
1774541102567000,42360
1774541102610196,42360
1774541102653336,42340
1774541102696289,42350
1774541102739092,42390
1774541102781540,42290
1774541102824531,42320
1774541102869429,42320
1774541102912622,42370
1774541102955779,42450
1774541102998963,42390
1774541103042228,42350
1774541103085034,42420
1774541103128265,42350
1774541103171365,42370
1774541103214477,42390
1774541103257671,42380
1774541103300687,42290
1774541103343480,42350
1774541103389300,42350
1774541103432400,42430
1774541103475522,42340
1774541103518336,42410
1774541103561393,42420
1774541103604527,42340
1774541103647362,42350
1774541103690059,42420
1774541103733091,42350
1774541103776210,42360
1774541103819344,42460
1774541103862528,42360
1774541103909071,42390
1774541103951531,42300
1774541103994535,42290
1774541104037617,42210
1774541104080661,42200
1774541104123636,42210
1774541104166590,42260
1774541104209568,42210
1774541104252571,42360
1774541104295540,42290
1774541104338592,42230
1774541104381633,42550
1774541104424695,42380
1774541104468916,42340
1774541104511880,42380
1774541104554981,42280
1774541104598058,42270
1774541104641033,42330
1774541104684173,42370
1774541104727323,42290
1774541104770360,42390
1774541104813397,42310
1774541104856369,42310
1774541104899410,42240
1774541104942703,42140
1774541104988964,42150
1774541105031892,42250
1774541105074793,42280
1774541105117816,42260
1774541105160979,42230
1774541105204153,42300
1774541105247288,42250
1774541105289879,42330
1774541105332896,42290
1774541105375942,42350
1774541105418997,42320
1774541105461950,42410
1774541105508703,42320
1774541105551647,42380
1774541105594721,42350
1774541105637883,42430
1774541105680865,42310
1774541105724041,42460
1774541105767303,42440
1774541105810318,42380
1774541105853405,42370
1774541105896477,42370
1774541105939570,42430
1774541105982647,42510
1774541106028815,42340
1774541106072045,42390
1774541106115275,42320
1774541106157719,42460
1774541106200869,42360
1774541106243907,42370
1774541106287018,42320
1774541106329967,42340
1774541106373120,42390
1774541106416323,42400
1774541106459542,42470
1774541106502522,42400
1774541106548809,42320
1774541106591879,42300
1774541106634967,42380
1774541106677606,42470
1774541106720674,42420
1774541106763716,42400
1774541106806907,42430
1774541106849762,42450
1774541106892707,42400
1774541106935805,42460
1774541106978719,42410
1774541107021900,42410
1774541107068752,42330
1774541107111895,42380
1774541107155142,42290
1774541107198291,42340
1774541107241281,42270
1774541107284374,42270
1774541107327554,42220
1774541107370626,42240
1774541107413657,42250
1774541107456864,42260
1774541107499890,42340
1774541107542301,42300
1774541107588824,42360
1774541107631933,42430
1774541107674872,42500
1774541107718009,42430
1774541107761034,42420
1774541107804080,42480
1774541107847157,42480
1774541107890204,42400
1774541107933369,42360
1774541107976472,42410
1774541108019598,42310
1774541108062651,42260
1774541108109022,42280
1774541108152079,42300
