unix_timestamp,active_power (mW)
1769771418189043,28650
1769771418233411,44420
1769771418276260,43970
1769771418319325,44080
1769771418361922,44050
1769771418405029,44010
1769771418448141,44040
1769771418491291,44080
1769771418534096,44040
1769771418577126,43900
1769771418620164,44020
1769771418663347,43950
1769771418705803,43980
1769771418752875,43970
1769771418795926,44070
1769771418838672,43950
1769771418881592,44000
1769771418924613,44010
1769771418967282,44050
1769771419010786,43950
1769771419053885,44010
1769771419097083,43980
1769771419140298,44030
1769771419183128,44030
1769771419226295,44030
1769771419272429,43950
1769771419315470,44020
1769771419357788,44000
1769771419400803,44010
1769771419443820,44000
1769771419486632,43970
1769771419529617,44020
1769771419572696,44050
1769771419615784,43990
1769771419658958,44010
1769771419701951,44040
1769771419745060,44160
1769771419791884,44000
1769771419834924,44050
1769771419877865,43990
1769771419920939,44060
1769771419964159,44000
1769771420006984,44020
1769771420049737,44060
1769771420092951,44140
1769771420136124,44070
1769771420179211,44040
1769771420222260,44030
1769771420265121,44000
1769771420311295,43990
1769771420354449,43980
1769771420397534,44020
1769771420440499,44040
1769771420483511,43960
1769771420525979,44040
1769771420569166,43920
1769771420611663,43960
1769771420654730,43960
1769771420697977,44010
1769771420741178,44020
1769771420784299,44080
1769771420830758,43940
1769771420873872,44060
1769771420917018,44010
1769771420959838,44010
1769771421002932,44010
1769771421045296,44090
1769771421088378,44090
1769771421131037,44080
1769771421173791,44000
1769771421216917,43980
1769771421259918,44030
1769771421302983,44150
1769771421345965,43960
1769771421390205,44030
1769771421433293,43970
1769771421476159,43970
1769771421519265,44010
1769771421561750,44020
1769771421604889,43910
1769771421647909,44020
1769771421690895,43920
1769771421733301,44010
1769771421776352,43960
1769771421819254,43950
1769771421862425,44130
1769771421905452,44050
1769771421949574,43990
1769771421992577,44070
1769771422035130,43920
1769771422078188,44030
1769771422121112,43950
1769771422164115,44090
1769771422207180,44040
1769771422249564,43920
1769771422292736,44020
1769771422335192,43980
1769771422378050,43970
1769771422421267,43930
1769771422464293,44010
1769771422509164,43960
1769771422552159,44000
1769771422595232,43980
1769771422637699,44010
1769771422680563,44000
1769771422723506,43990
1769771422765855,43930
1769771422808920,44020
1769771422852105,44070
1769771422895115,44130
1769771422937668,44080
1769771422980709,44030
1769771423023113,44090
1769771423068676,44010
1769771423111778,43950
1769771423154829,44140
1769771423198077,43990
1769771423241190,44080
1769771423283999,43990
1769771423327159,43980
1769771423370196,43920
1769771423413499,43960
1769771423456608,44040
1769771423499392,44010
1769771423542034,44040
1769771423588001,43950
1769771423631059,44040
1769771423674264,43980
1769771423717514,44050
1769771423760615,44010
1769771423803547,44040
1769771423846740,43980
1769771423889446,43950
1769771423932470,44080
1769771423975421,44030
1769771424017628,44020
1769771424060541,44100
1769771424103250,44090
1769771424147533,44040
1769771424189951,44190
1769771424232816,44150
1769771424275786,44100
1769771424318194,44100
1769771424361313,44210
1769771424404237,44070
1769771424446927,44110
1769771424489768,44100
1769771424532867,44030
1769771424576072,44040
1769771424618507,43960
1769771424661636,44060
1769771424707009,44070
1769771424749627,44030
1769771424792448,43980
1769771424835326,44010
1769771424878490,43940
1769771424921669,44000
1769771424964843,43980
1769771425007774,43960
1769771425050861,43990
1769771425093329,43980
1769771425136431,43980
1769771425179633,44050
1769771425226505,43990
1769771425269593,44180
1769771425312831,44030
1769771425355209,43990
1769771425398335,44030
1769771425441600,44110
1769771425484655,44060
1769771425527633,44040
1769771425570577,44030
1769771425613534,44120
1769771425656580,44020
1769771425699282,44050
1769771425741632,44120
1769771425785956,44090
1769771425829150,44140
1769771425872187,44100
1769771425915209,44180
1769771425958115,44090
1769771426000544,44070
1769771426043227,44130
1769771426086362,44020
1769771426129484,44020
1769771426172698,44010
1769771426215797,44010
1769771426258709,44190
1769771426305446,44020
1769771426348479,43990
1769771426391516,44080
1769771426433893,43980
1769771426476964,43960
1769771426519754,44020
1769771426562882,44010
1769771426605933,43920
1769771426648952,44000
1769771426692144,43970
1769771426734851,43920
1769771426777800,44000
1769771426820953,43990
1769771426864893,44040
1769771426907665,44070
1769771426950899,44070
1769771426994056,44030
1769771427037251,44060
1769771427080006,44140
1769771427123125,44040
1769771427165447,44150
1769771427208450,44060
1769771427251261,44130
1769771427294448,44140
1769771427337409,44110
1769771427380499,44110
1769771427424436,44100
1769771427467216,44060
1769771427509886,44030
1769771427553131,44080
1769771427596208,44060
1769771427638692,43980
1769771427681840,44020
1769771427724300,44070
1769771427767014,44040
1769771427809855,44030
1769771427853011,44000
1769771427895906,43960
1769771427939004,44070
1769771427983769,43980
1769771428026851,43940
1769771428069910,44000
1769771428113161,44010
1769771428156366,44110
1769771428199478,43970
1769771428241931,43980
1769771428285188,44090
1769771428328340,44100
1769771428371079,44130
1769771428413699,45110
1769771428456875,46380
1769771428503303,44080
1769771428546120,44080
1769771428589274,44090
1769771428632433,44160
1769771428675596,44110
1769771428718009,44080
1769771428761153,44110
1769771428803634,44070
1769771428846770,44080
1769771428889971,44060
1769771428933174,44130
1769771428976235,44050
1769771429022721,44060
1769771429065472,44110
1769771429108510,44190
1769771429151549,44020
1769771429194500,44020
1769771429237481,44000
1769771429280574,44170
1769771429323438,44010
1769771429366528,43990
1769771429409591,44030
1769771429452581,43960
1769771429495262,43950
1769771429537799,43970
1769771429582125,43970
1769771429624790,43980
1769771429667942,43920
1769771429711122,43980
1769771429754318,44130
1769771429797585,43940
1769771429840675,44020
1769771429883430,44040
1769771429926593,44070
1769771429969784,44000
1769771430012998,43940
1769771430056144,43920
1769771430101481,43930
1769771430144496,44050
1769771430187540,43970
1769771430230541,43940
1769771430273697,43970
1769771430316615,44000
1769771430359815,44110
1769771430402893,44040
1769771430445763,44030
1769771430488911,44040
1769771430531781,43980
1769771430574843,44000
1769771430621107,44020
1769771430664089,43960
1769771430707211,44010
1769771430749673,43990
1769771430792635,43970
1769771430835703,44040
1769771430878762,44030
1769771430921865,43930
1769771430964847,44050
1769771431007859,43850
1769771431050569,44020
1769771431093687,43930
1769771431140450,44080
1769771431183616,44110
1769771431226693,43950
1769771431269658,43960
1769771431312749,44010
1769771431355854,44040
1769771431399079,44000
1769771431441730,44110
1769771431484760,44000
1769771431527593,44050
1769771431570426,44060
1769771431613494,44070
1769771431659977,43990
1769771431703131,44090
1769771431746271,44030
1769771431789438,44030
1769771431832502,44050
1769771431875437,44080
1769771431918597,43960
1769771431961725,44010
1769771432004852,43980
1769771432047798,44040
1769771432090746,44020
1769771432133741,43900
1769771432179486,43920
1769771432222553,43970
1769771432265785,44050
1769771432308924,44040
1769771432352037,43960
1769771432394740,44060
1769771432437804,44020
1769771432480890,44110
1769771432523898,44080
1769771432566457,44010
1769771432609493,44020
1769771432652492,44100
1769771432698994,44110
1769771432742103,44120
1769771432785229,44020
1769771432828416,44040
1769771432871328,44140
1769771432913863,44160
1769771432956908,44170
1769771433000065,44090
1769771433042687,44190
1769771433085705,44150
1769771433128617,44110
1769771433171752,44240
1769771433218478,44110
1769771433261522,44240
1769771433304481,44160
1769771433347260,44100
1769771433390373,44090
1769771433433410,44080
1769771433476439,44050
1769771433519177,44040
1769771433561786,44070
1769771433604796,43970
1769771433647313,43990
1769771433690373,44040
1769771433733567,44050
1769771433777938,44040
1769771433820933,44070
1769771433864147,44010
1769771433906861,44110
1769771433949806,44040
1769771433992842,44100
1769771434035986,44050
1769771434079167,44090
1769771434122335,44000
1769771434165476,43990
1769771434208365,43970
1769771434251524,43950
1769771434297256,44030
1769771434340293,44020
1769771434383415,43900
1769771434426340,44120
1769771434469449,43980
1769771434512573,43980
1769771434555078,44140
1769771434597894,44810
1769771434640739,44280
1769771434683667,44090
1769771434726620,44060
1769771434769811,44090
1769771434816670,44050
1769771434859467,44010
1769771434902542,44130
1769771434945809,44190
1769771434988967,44140
1769771435032016,44120
1769771435075057,44150
1769771435118151,44130
1769771435160924,44260
1769771435203956,44130
1769771435246885,44170
1769771435290061,44120
1769771435336209,44100
1769771435378964,44160
1769771435421757,44120
1769771435464167,44070
1769771435506842,44060
1769771435549761,44060
1769771435592903,44160
1769771435636084,44110
1769771435678935,44060
1769771435722028,44120
1769771435764395,44120
1769771435807410,44150
1769771435850431,44080
1769771435895474,44060
1769771435938617,44080
1769771435981705,43990
1769771436024655,44040
