unix_timestamp,active_power (mW)
1769766620245039,39830
1769766620287686,42190
1769766620330513,42120
1769766620373701,42180
1769766620416908,42190
1769766620460017,42110
1769766620502968,42060
1769766620546007,42150
1769766620588834,42180
1769766620631805,42150
1769766620676151,42200
1769766620718910,42160
1769766620761301,42140
1769766620804184,42190
1769766620847114,42190
1769766620890304,42100
1769766620933458,42190
1769766620976501,42070
1769766621019443,42170
1769766621062316,42090
1769766621105581,42210
1769766621148759,42120
1769766621191610,42180
1769766621235966,42210
1769766621279052,42100
1769766621322053,42240
1769766621365049,42150
1769766621408119,42110
1769766621451152,42210
1769766621493793,42140
1769766621536812,42190
1769766621579909,42160
1769766621623047,42250
1769766621666007,42280
1769766621709059,42200
1769766621755729,42180
1769766621798515,42110
1769766621841633,42080
1769766621884709,42150
1769766621927720,42210
1769766621970759,42070
1769766622013757,42080
1769766622056956,42130
1769766622099807,42130
1769766622142915,42150
1769766622186123,42110
1769766622228557,42150
1769766622275510,42030
1769766622317945,42130
1769766622360754,42100
1769766622403619,42130
1769766622446705,42130
1769766622489792,42030
1769766622532877,42130
1769766622575767,42060
1769766622618480,42190
1769766622661699,42100
1769766622704007,42170
1769766622746563,42170
1769766622789511,42080
1769766622835357,42100
1769766622878405,42130
1769766622921574,42070
1769766622964764,42130
1769766623007975,42110
1769766623051094,42170
1769766623094374,42100
1769766623137566,42260
1769766623180702,42100
1769766623223576,42100
1769766623266630,42070
1769766623309636,42150
1769766623355039,42150
1769766623398032,42180
1769766623441000,42140
1769766623484079,42110
1769766623527038,42150
1769766623570040,42140
1769766623613022,42160
1769766623656031,42290
1769766623699087,42160
1769766623741435,42200
1769766623784373,42200
1769766623827008,42240
1769766623869971,42140
1769766623914722,42090
1769766623957886,42110
1769766624001066,42130
1769766624044208,42190
1769766624087088,42100
1769766624130246,42170
1769766624173495,42140
1769766624216586,42100
1769766624259593,42080
1769766624302611,42180
1769766624345690,42100
1769766624388772,42200
1769766624434449,42130
1769766624477516,42180
1769766624520712,42110
1769766624563808,42150
1769766624606340,42220
1769766624649593,42170
1769766624692769,42200
1769766624735569,42110
1769766624778095,42140
1769766624821156,42160
1769766624864117,42200
1769766624907191,42230
1769766624954021,42130
1769766624996393,42120
1769766625039241,42130
1769766625081691,42190
1769766625124705,42320
1769766625167878,42160
1769766625210976,42250
1769766625254010,42340
1769766625297041,42180
1769766625339905,42200
1769766625383061,42170
1769766625426003,42110
1769766625468923,42120
1769766625513962,42170
1769766625556986,42110
1769766625599483,42190
1769766625641938,42170
1769766625685142,42230
1769766625727562,42220
1769766625770102,42150
1769766625813132,42110
1769766625856216,42090
1769766625898577,42180
1769766625941185,42110
1769766625984360,42070
1769766626027409,42110
1769766626073597,42140
1769766626116768,42160
1769766626159797,42130
1769766626202290,42190
1769766626245504,42230
1769766626288749,42170
1769766626331835,42100
1769766626374614,42190
1769766626417549,42160
1769766626460682,42150
1769766626503596,42180
1769766626546682,42160
1769766626593153,42140
1769766626636239,42220
1769766626679126,42200
1769766626721968,42170
1769766626765239,42200
1769766626807998,42250
1769766626850987,42220
1769766626894113,42190
1769766626937254,42200
1769766626980209,42200
1769766627023275,42170
1769766627066328,42180
1769766627112986,42180
1769766627155844,42230
1769766627199071,42180
1769766627242215,42240
1769766627285046,42170
1769766627327944,42170
1769766627370659,42140
1769766627413180,42080
1769766627456087,42080
1769766627498902,42080
1769766627541745,42060
1769766627584874,42190
1769766627627979,42130
1769766627672812,42050
1769766627715797,42250
1769766627758403,42190
1769766627801604,42250
1769766627844691,42230
1769766627887549,42230
1769766627929865,42140
1769766627972916,42190
1769766628015345,42210
1769766628057766,42160
1769766628100929,42170
1769766628143774,42100
1769766628186882,42140
1769766628232351,42290
1769766628274978,42170
1769766628317786,42230
1769766628360456,42130
1769766628403546,42190
1769766628446386,42150
1769766628489397,42110
1769766628532463,42180
1769766628575552,42190
1769766628618079,42260
1769766628661007,42200
1769766628703820,42150
1769766628746563,42150
1769766628791978,42110
1769766628835164,42210
1769766628878306,42280
1769766628921573,42190
1769766628964776,42140
1769766629007902,42130
1769766629050702,42210
1769766629093789,42280
1769766629137036,42190
1769766629180085,42160
1769766629222833,42240
1769766629265788,42290
1769766629311933,42110
1769766629354292,42150
1769766629397452,42100
1769766629440388,42120
1769766629483308,42190
1769766629526390,42150
1769766629569523,42060
1769766629612735,42240
1769766629656061,42170
1769766629699203,42180
1769766629743321,42120
1769766629785939,42240
1769766629831681,42180
1769766629874409,42130
1769766629917555,42200
1769766629960748,42160
1769766630003860,42190
1769766630046847,42190
1769766630090019,42090
1769766630133140,42150
1769766630176021,42220
1769766630219122,42200
1769766630262102,42170
1769766630305174,42100
1769766630351227,42230
1769766630393698,42100
1769766630436793,42210
1769766630479891,42200
1769766630522762,42150
1769766630565698,42170
1769766630608692,42220
1769766630651671,42120
1769766630694707,42180
1769766630737820,42200
1769766630780793,42190
1769766630823800,42250
1769766630866461,42220
1769766630911142,42190
