unix_timestamp,active_power (mW)
1769767050427634,30450
1769767050470223,40470
1769767050517105,44210
1769767050560085,44030
1769767050602700,44050
1769767050645559,43960
1769767050688633,44000
1769767050731476,44040
1769767050774628,44060
1769767050817683,44020
1769767050860647,44000
1769767050903877,44080
1769767050946578,44030
1769767050989496,44060
1769767051032756,43970
1769767051076772,44150
1769767051119835,43990
1769767051162551,44080
1769767051205563,44090
1769767051248642,43920
1769767051291680,43990
1769767051334817,44030
1769767051377868,44100
1769767051421000,44030
1769767051464134,43990
1769767051507319,43890
1769767051549828,44070
1769767051596162,44060
1769767051639299,44080
1769767051681882,44120
1769767051724896,44110
1769767051767107,44030
1769767051809993,44110
1769767051853145,43950
1769767051896264,43960
1769767051939197,44030
1769767051981837,44000
1769767052024812,44120
1769767052068054,44050
1769767052110700,43940
1769767052155792,44090
1769767052198538,44130
1769767052241721,44070
1769767052284706,44010
1769767052327608,44090
1769767052370123,44040
1769767052413343,44140
1769767052456246,44090
1769767052499055,44060
1769767052542155,43950
1769767052584748,44050
1769767052627639,44110
1769767052670710,44120
1769767052715384,43970
1769767052757844,44000
1769767052801010,44090
1769767052844002,44190
1769767052886977,44100
1769767052930058,44010
1769767052972997,44100
1769767053016389,44050
1769767053059179,44060
1769767053102150,44250
1769767053145379,44090
1769767053188497,44020
1769767053230946,44170
1769767053275086,44130
1769767053317777,44020
1769767053360130,44110
1769767053403031,44120
1769767053445519,44090
1769767053488619,44160
1769767053531454,44010
1769767053574614,44060
1769767053617240,44070
1769767053659557,44050
1769767053702542,44030
1769767053745696,44180
1769767053788744,43980
1769767053834535,44050
1769767053877683,44110
1769767053920735,44060
1769767053963626,44070
1769767054006271,44100
1769767054049400,44110
1769767054092455,44120
1769767054135279,44040
1769767054178462,44050
1769767054221569,44050
1769767054264195,44090
1769767054307326,44120
1769767054349686,44040
1769767054394039,44130
1769767054436374,44030
1769767054479655,44030
1769767054522704,44130
1769767054565708,44030
1769767054608800,44080
1769767054651774,44090
1769767054694686,44050
1769767054737712,44120
1769767054780803,44060
1769767054823623,44110
1769767054866818,44080
1769767054913615,44020
1769767054956685,44160
1769767054999444,44160
1769767055042645,44110
