unix_timestamp,active_power (mW)
1770650359547922,48570
1770650359590957,48760
1770650359636053,48290
1770650359678908,48500
1770650359721834,48580
1770650359765020,48560
1770650359807907,48560
1770650359850899,48590
1770650359893993,48510
1770650359937188,48520
1770650359980100,48530
1770650360023160,48540
1770650360065762,48500
1770650360108843,48460
1770650360151739,48550
1770650360195845,48630
1770650360238889,48580
1770650360281988,48690
1770650360325012,48720
1770650360368062,48720
1770650360410984,48670
1770650360454087,48690
1770650360497035,48720
1770650360539887,48650
1770650360582734,48620
1770650360625857,48650
1770650360668840,48690
1770650360711582,48680
1770650360755679,48700
1770650360798715,48650
1770650360841462,48700
1770650360884261,48610
1770650360927399,48660
1770650360970506,48620
1770650361013516,48590
1770650361056485,48680
1770650361099567,48640
1770650361142544,48630
1770650361184838,48590
1770650361227763,48530
1770650361270883,48550
1770650361315346,48550
1770650361357984,48570
1770650361400877,48560
1770650361443948,48490
1770650361487173,48490
1770650361529937,48430
1770650361572870,48450
1770650361616086,48490
1770650361659143,48490
1770650361702058,48530
1770650361745057,48460
1770650361788024,48590
1770650361830994,48550
1770650361875138,48610
1770650361918211,48630
1770650361960578,48620
1770650362003516,48560
1770650362046413,48620
1770650362089604,48640
1770650362132560,48610
1770650362175648,48650
1770650362218744,48670
1770650362261824,48610
1770650362304902,48790
1770650362347875,48730
1770650362394958,48640
1770650362438082,48630
1770650362481214,48860
1770650362524393,48590
1770650362567286,48660
1770650362610363,48620
1770650362653389,48610
1770650362696536,48510
1770650362739739,48590
1770650362782877,48600
1770650362826013,48620
1770650362869022,48570
1770650362914660,48480
1770650362957779,48560
1770650363000909,48470
1770650363043934,48460
1770650363086993,48510
1770650363129879,48530
1770650363172735,48640
1770650363215926,48610
1770650363259016,48570
1770650363301610,48510
1770650363344560,48530
1770650363387583,48550
1770650363430617,48560
1770650363474569,48570
1770650363516898,48630
1770650363559924,48630
1770650363603010,48690
1770650363646220,48600
1770650363689422,48540
1770650363732315,48680
1770650363775557,48570
1770650363818695,48680
1770650363861868,48750
1770650363904841,48760
1770650363947940,48730
1770650363994450,48670
1770650364037500,48700
1770650364080784,48760
1770650364123973,48590
1770650364167076,48570
1770650364210121,49090
1770650364253223,49340
1770650364296370,48640
1770650364339334,48710
1770650364382392,48690
1770650364425662,48670
1770650364468847,48730
1770650364514208,48650
1770650364557191,48600
1770650364600411,48490
1770650364643414,48540
1770650364686171,48650
1770650364729318,48670
1770650364771944,48680
1770650364815023,48590
1770650364857635,48600
1770650364900837,48700
1770650364944002,48590
1770650364986948,48640
1770650365029726,48660
1770650365074054,48610
1770650365117244,48680
1770650365160423,48660
1770650365203561,48690
1770650365246650,48650
1770650365289356,48820
1770650365332434,48760
1770650365375397,48730
1770650365418540,48820
1770650365461006,48830
1770650365503964,48790
1770650365547019,48740
1770650365594003,48720
1770650365637147,48670
1770650365680350,48720
1770650365723500,48730
1770650365766498,48700
1770650365809583,48670
1770650365852697,48710
1770650365895859,48750
1770650365939054,48830
1770650365982038,48710
1770650366024680,48640
1770650366067686,48700
1770650366113713,48560
1770650366156637,48600
1770650366199401,48640
1770650366242012,48540
1770650366284855,48420
1770650366327757,48450
1770650366370698,48470
1770650366413800,48410
1770650366456918,48510
1770650366499863,48550
1770650366542799,48590
1770650366585678,48620
1770650366628760,48460
1770650366673559,48670
1770650366716727,48680
1770650366759069,48690
1770650366801772,48720
1770650366844919,48680
1770650366888102,48770
1770650366931277,48740
1770650366974218,48740
1770650367016823,48700
1770650367059884,48670
1770650367102744,48700
1770650367145854,48690
1770650367188844,48670
1770650367233514,48740
1770650367276586,48640
1770650367319752,48710
1770650367362278,48720
1770650367405265,48640
1770650367448286,48690
1770650367491389,48660
1770650367534579,48560
1770650367577748,48550
1770650367621371,48640
1770650367664447,48560
1770650367707515,48500
1770650367753118,48530
1770650367796283,48440
1770650367839484,48330
1770650367882658,48500
1770650367925411,48470
1770650367968625,48470
1770650368011601,48530
1770650368054774,48510
1770650368097601,48560
