unix_timestamp,active_power (mW)
1770648005700375,44960
1770648005742864,45420
1770648005785475,44900
1770648005828541,44990
1770648005871430,45080
1770648005917635,45050
1770648005960722,45030
1770648006003956,45040
1770648006046919,45060
1770648006089620,44940
1770648006132524,44940
1770648006175585,44930
1770648006218538,45040
1770648006261630,44950
1770648006304624,45000
1770648006347730,44960
1770648006390929,45040
1770648006437481,45030
1770648006480553,45060
1770648006523715,45060
1770648006566698,44990
1770648006609764,45100
1770648006652692,44990
1770648006695855,44900
1770648006739014,45010
1770648006781816,44980
1770648006824752,44990
1770648006867933,45020
1770648006910733,45070
1770648006957229,45050
1770648007000110,44960
1770648007043055,44980
1770648007086146,44980
1770648007129202,45030
1770648007172160,44980
1770648007215235,44970
1770648007258128,45040
1770648007301186,45030
1770648007344235,45020
1770648007387134,45100
1770648007430141,45030
1770648007473108,45080
1770648007517129,44970
1770648007560170,45060
1770648007603183,44950
1770648007646182,44890
1770648007689110,44940
1770648007732292,45040
1770648007775387,45090
1770648007818326,45040
1770648007861491,45030
1770648007904642,45010
1770648007947601,44980
1770648007990693,45050
1770648008036893,44980
1770648008080000,45030
1770648008122976,44930
1770648008166160,44980
1770648008209259,44980
1770648008252129,45030
1770648008295362,45050
1770648008338535,45080
1770648008381658,44980
1770648008424595,44940
1770648008467758,44920
1770648008510583,45030
1770648008556778,45070
1770648008599855,44900
1770648008642670,45150
1770648008685845,45020
1770648008729013,45090
1770648008771923,45070
1770648008815054,44960
1770648008858172,45000
1770648008901038,44970
1770648008944144,44980
1770648008987213,44900
1770648009030111,44990
1770648009076637,44900
1770648009119721,44990
1770648009162861,44980
1770648009205927,45020
1770648009249031,45070
1770648009292121,44990
1770648009335053,45010
1770648009377792,45020
1770648009420846,45140
1770648009463955,45100
1770648009506393,45060
1770648009549297,45080
1770648009592560,45020
1770648009636470,45100
1770648009679642,45060
1770648009722818,45090
1770648009765928,45120
1770648009808957,45110
1770648009852064,45110
1770648009895406,45190
1770648009938241,45130
1770648009981423,45170
1770648010024422,45150
1770648010067467,45110
1770648010110478,45120
1770648010156383,45070
1770648010199411,45040
1770648010242290,44990
1770648010285461,44990
1770648010328719,45000
1770648010371893,44990
1770648010415123,44960
1770648010458187,45200
1770648010500948,44960
1770648010543926,45030
1770648010587124,44970
1770648010629714,45050
1770648010676171,44960
1770648010719189,45030
1770648010762220,44980
1770648010804984,44970
1770648010847891,45000
1770648010890962,44990
1770648010933949,45020
1770648010977002,45100
1770648011020055,45070
1770648011063095,45160
1770648011105868,45080
1770648011149038,45050
1770648011192204,45130
1770648011236179,45130
1770648011279237,45180
1770648011322202,45180
1770648011365257,45150
1770648011408219,45050
1770648011450860,45040
1770648011493810,45080
1770648011536954,45180
1770648011580220,45130
1770648011623187,45120
1770648011666302,45030
1770648011708692,45040
1770648011751952,45030
1770648011795875,45040
1770648011839025,44970
1770648011882092,45010
1770648011925125,44930
1770648011968232,44910
1770648012011510,45000
1770648012054672,44920
1770648012097033,44970
1770648012140100,44920
1770648012183075,44970
1770648012226076,44900
1770648012269097,45040
1770648012311764,44980
1770648012355788,45000
1770648012398909,44950
1770648012442055,45020
1770648012485070,45180
1770648012528114,44960
1770648012571073,45030
1770648012613878,45090
1770648012657132,45160
1770648012700325,45300
1770648012743223,45010
1770648012786347,45190
1770648012829378,45230
1770648012875828,45110
1770648012918841,45180
1770648012961477,45080
1770648013004702,45130
1770648013047816,45140
1770648013090692,45120
1770648013133938,45170
1770648013177145,45170
1770648013220297,45120
1770648013263256,45150
1770648013306334,45130
1770648013349303,45130
1770648013395708,45120
1770648013438759,45070
1770648013481936,45030
1770648013524968,45030
1770648013568176,44990
1770648013611378,44920
1770648013654567,45000
1770648013696954,44960
1770648013739919,45020
1770648013782975,45000
1770648013826164,45040
1770648013868785,45010
1770648013915709,45070
1770648013958751,45020
1770648014001787,44980
1770648014044902,44990
1770648014088171,44910
1770648014130923,44960
1770648014173892,45040
1770648014217036,45030
1770648014260003,45030
1770648014303208,45100
1770648014346154,45030
1770648014388925,45070
1770648014435670,45070
1770648014478666,45250
1770648014521712,45140
1770648014564872,45090
1770648014607822,45170
1770648014650874,45110
1770648014693633,45100
1770648014736630,45040
1770648014779950,45050
1770648014823122,45100
1770648014866336,45110
1770648014909357,45110
1770648014955745,45070
1770648014998818,45060
1770648015041685,45130
1770648015084876,45100
1770648015128152,45110
1770648015171320,45020
1770648015214369,45060
1770648015257378,45040
1770648015300295,45060
1770648015343416,45070
1770648015386348,45000
1770648015428784,45080
1770648015475611,45120
1770648015518139,45030
1770648015561262,44970
1770648015604297,45020
1770648015647405,44980
1770648015690458,45030
1770648015733692,45040
1770648015776710,45020
1770648015819933,45040
1770648015862921,45020
1770648015905907,45040
1770648015948835,44970
1770648015995690,45060
