unix_timestamp,active_power (mW)
1770055278965230,45940
1770055279007807,42320
1770055279050502,45450
1770055279093209,46020
1770055279136293,45970
1770055279179225,45850
1770055279221894,45860
1770055279264943,45880
1770055279308025,45930
1770055279351235,45940
1770055279394480,45950
1770055279437142,46040
1770055279483504,45860
1770055279526154,45840
1770055279568875,45820
1770055279611662,45840
1770055279654277,45870
1770055279696812,45860
1770055279739138,45820
1770055279782101,45910
1770055279824954,45860
1770055279867684,45790
1770055279911043,45820
1770055279954132,45890
1770055279997304,45900
1770055280043077,45790
1770055280085790,45860
1770055280129031,45880
1770055280171859,45940
1770055280214702,45950
1770055280257152,46010
1770055280300236,45870
1770055280342653,45810
1770055280385170,45810
1770055280428247,45990
1770055280471236,45970
1770055280514111,45940
1770055280556908,45870
1770055280602509,45990
1770055280645475,45990
1770055280688567,45960
1770055280731439,45970
1770055280773757,45880
1770055280816793,45920
1770055280859731,45920
1770055280902445,45850
1770055280945011,45790
1770055280988129,45820
1770055281031122,45800
1770055281074097,45920
1770055281117157,45820
1770055281162571,45900
1770055281205295,45840
1770055281248452,45830
1770055281291530,45810
1770055281334553,45800
1770055281377191,45810
1770055281420130,45910
1770055281463040,45930
1770055281506015,45900
1770055281548885,45810
1770055281591947,45820
1770055281634922,45900
1770055281677346,45940
1770055281722058,45920
1770055281765095,45830
1770055281808225,45890
1770055281851217,45940
1770055281894000,45940
1770055281937158,45900
1770055281980180,45910
1770055282023302,45900
1770055282066440,45880
1770055282109557,45870
1770055282152211,45900
1770055282195303,45860
1770055282241825,45930
1770055282284760,45940
1770055282327824,45980
1770055282370596,46000
1770055282413240,45970
1770055282456273,45910
1770055282499435,45840
1770055282542046,45800
1770055282585170,45840
1770055282628175,45870
1770055282670965,45860
1770055282713395,45950
1770055282755731,45920
1770055282801646,45880
1770055282844723,45890
1770055282887570,45910
1770055282930593,45760
1770055282973733,45760
1770055283016822,45870
1770055283059620,45830
1770055283102558,45900
1770055283145688,45850
1770055283188497,45870
1770055283231684,45850
1770055283274372,45830
1770055283316887,45890
1770055283361428,45910
1770055283404466,45940
1770055283447543,45940
1770055283490725,45880
1770055283533294,45980
1770055283576257,45820
1770055283619317,45860
1770055283662096,45920
1770055283705477,45920
1770055283748761,45810
1770055283791741,45820
1770055283834348,45830
1770055283881084,45930
1770055283924160,45890
1770055283967289,45790
1770055284010385,45840
1770055284053258,45830
1770055284096309,45820
1770055284139292,45810
1770055284182097,45790
1770055284225161,45820
1770055284268201,45900
1770055284311190,45900
1770055284354158,45880
1770055284401062,45890
1770055284444204,45850
1770055284487288,45850
1770055284530385,45800
1770055284573399,45930
1770055284616509,45850
1770055284659414,45890
1770055284702134,45910
1770055284745422,45910
1770055284788594,45890
1770055284831501,45850
1770055284874213,45900
1770055284920907,45810
1770055284963994,45850
1770055285006552,45880
1770055285049165,45860
1770055285092313,45910
1770055285135334,45900
1770055285178519,45940
1770055285221376,45920
1770055285264507,45840
1770055285307372,45750
1770055285350475,45800
1770055285393186,45850
1770055285436215,45860
1770055285480664,45900
1770055285523654,45880
1770055285566448,45920
1770055285609724,45880
1770055285652722,45820
1770055285695644,45800
1770055285738219,45780
1770055285781064,45820
1770055285823849,45830
1770055285866351,45820
1770055285909715,45810
1770055285952537,45850
1770055285995498,45900
1770055286040411,45880
1770055286083218,45820
1770055286125923,45850
1770055286168755,45860
1770055286211638,45910
1770055286254464,45810
1770055286297463,45780
1770055286340622,45820
1770055286383749,45800
1770055286426253,45840
1770055286469422,45850
1770055286512440,45850
1770055286555471,45840
1770055286600306,45930
1770055286643263,45800
1770055286685877,45810
1770055286728933,45800
1770055286771292,45800
1770055286813962,45790
1770055286857128,45870
1770055286899843,45860
1770055286942854,45860
1770055286985785,45930
1770055287028790,45880
1770055287071886,45850
1770055287115004,45870
1770055287160117,45830
1770055287203177,45910
1770055287246251,45820
1770055287289302,45790
1770055287332417,45830
1770055287375014,45860
1770055287417766,45860
1770055287460212,45820
1770055287503414,45900
1770055287546572,45890
1770055287589496,45890
1770055287632757,45900
1770055287675978,45820
1770055287719836,45850
1770055287762645,45890
1770055287805200,45890
1770055287848361,45760
1770055287891420,45790
1770055287934453,45890
1770055287976985,45860
1770055288019977,45880
1770055288062773,45890
1770055288105400,45920
1770055288148548,45850
1770055288191625,45850
1770055288234598,45710
1770055288279700,45970
1770055288322324,45970
1770055288365307,45950
1770055288408439,46040
1770055288451275,45940
1770055288494010,45910
1770055288537280,45860
