unix_timestamp,active_power (mW)
1770052770125950,45950
1770052770168911,42390
1770052770211817,45100
1770052770254578,46270
1770052770300964,46020
1770052770343988,45990
1770052770386861,46020
1770052770429366,45990
1770052770472432,45930
1770052770515283,46060
1770052770557954,46040
1770052770600955,46010
1770052770644169,45910
1770052770686627,45950
1770052770729053,45980
1770052770771898,46040
1770052770814809,45940
1770052770860590,45870
1770052770903541,45950
1770052770946088,45920
1770052770989251,45850
1770052771032238,45880
1770052771075169,45980
1770052771117716,45960
1770052771160883,45930
1770052771203973,45890
1770052771246636,45920
1770052771289312,45920
1770052771332222,46010
1770052771375039,45940
1770052771419931,45950
1770052771462830,46040
1770052771505926,45970
1770052771549006,45920
1770052771591981,45920
1770052771634992,46030
1770052771678142,46010
1770052771720942,45920
1770052771763728,45860
1770052771806170,45960
1770052771849207,46030
1770052771892357,45960
1770052771935224,45890
1770052771979531,45900
1770052772022691,46000
1770052772065078,46020
1770052772107948,45890
1770052772150664,45930
1770052772193258,45930
1770052772235950,46010
1770052772278815,45880
1770052772321644,45900
1770052772364099,45990
1770052772406881,45960
1770052772449671,46000
1770052772492685,45970
1770052772539014,45990
1770052772581823,45920
1770052772624600,46040
1770052772667646,45890
1770052772710194,45950
1770052772753098,45970
1770052772796193,46090
1770052772838653,45950
1770052772881202,45980
1770052772924359,45930
1770052772966783,45980
1770052773009297,45960
1770052773052463,45970
1770052773098576,45940
1770052773141173,45920
1770052773184430,46070
1770052773227560,45960
1770052773270220,45930
1770052773313251,45990
1770052773356455,46000
1770052773399364,46060
1770052773442575,46000
1770052773485631,45960
1770052773528864,46020
1770052773571869,45960
1770052773618119,45930
1770052773660858,45870
1770052773703710,46020
1770052773746384,46020
1770052773788893,46000
1770052773831750,45960
1770052773874641,46020
1770052773917670,45990
1770052773960677,45990
1770052774003641,45920
1770052774046161,45910
1770052774089846,45900
1770052774132484,46020
1770052774177576,45900
1770052774220548,45940
1770052774263428,45940
1770052774306262,45980
1770052774348827,46020
1770052774391657,45930
1770052774434414,45910
1770052774477319,45960
1770052774519965,45940
1770052774562614,45950
1770052774605288,45910
1770052774647825,45910
1770052774690261,46010
1770052774737877,45960
1770052774781008,45950
1770052774824189,45950
1770052774866997,46020
1770052774909366,46030
1770052774952506,45960
1770052774995468,45980
1770052775038538,45960
1770052775081108,46050
1770052775124243,46000
1770052775167402,45910
1770052775210310,45950
1770052775256667,46050
1770052775299807,45950
1770052775342947,45910
1770052775385877,46010
1770052775428916,45970
1770052775471939,45960
1770052775514838,45900
1770052775557360,45980
1770052775600538,46110
1770052775643395,45960
1770052775686467,45970
1770052775729285,46000
1770052775776220,46030
1770052775819000,45910
1770052775862221,45960
1770052775904890,45930
1770052775948055,45990
1770052775990567,46050
1770052776033430,45900
1770052776076575,45980
1770052776119634,45990
1770052776161900,46010
1770052776204611,45980
1770052776247552,45970
1770052776290653,46010
1770052776335699,46030
1770052776378422,45930
1770052776420885,45960
1770052776463303,45980
1770052776505997,45960
1770052776548662,45960
1770052776591537,45890
1770052776634149,45950
1770052776677347,46040
1770052776720377,45990
1770052776763015,45990
1770052776805544,45930
1770052776848735,46030
1770052776895129,45950
1770052776938156,45900
1770052776981367,46000
