unix_timestamp,active_power (mW)
1770053374450931,45990
1770053374495764,42240
1770053374538470,45770
1770053374581176,45900
1770053374624108,45930
1770053374667019,45940
1770053374709509,46000
1770053374752328,45920
1770053374795118,45940
1770053374837590,45960
1770053374880108,45970
1770053374923147,46030
1770053374966214,45970
1770053375009299,45980
1770053375055309,45960
1770053375098315,45950
1770053375141216,46010
1770053375184452,46000
1770053375227501,45950
1770053375270214,45950
1770053375313614,45960
1770053375356616,45980
1770053375399522,45940
1770053375442358,45950
1770053375485231,45920
1770053375528235,45980
1770053375574887,45950
1770053375617897,45920
1770053375660830,45910
1770053375703794,46000
1770053375746505,45890
1770053375789430,45970
1770053375832103,45910
1770053375874708,45980
1770053375917470,45910
1770053375959972,45940
1770053376003135,45940
1770053376045972,45950
1770053376089179,45890
1770053376134536,45910
1770053376177203,45900
1770053376220033,45950
1770053376262534,45930
1770053376305765,45960
1770053376348886,45880
1770053376392021,45920
1770053376435054,45980
1770053376478086,45980
1770053376521264,45980
1770053376564413,45920
1770053376607482,45900
1770053376654099,46020
1770053376697160,46040
1770053376739962,45910
1770053376782776,45910
1770053376825571,45970
1770053376868043,45940
1770053376910582,45940
1770053376953369,45990
1770053376996605,45980
1770053377038886,45920
1770053377081069,45990
1770053377124023,46040
1770053377167058,45880
1770053377213651,45980
1770053377256627,45930
1770053377299634,45930
1770053377342362,45940
1770053377385327,45990
1770053377427932,45930
1770053377470624,45950
1770053377513657,45990
1770053377556601,45950
1770053377599423,45970
1770053377642538,45940
1770053377685653,45970
1770053377728675,45920
1770053377773253,45980
1770053377816219,46000
1770053377859118,46020
1770053377902029,45920
1770053377944797,45900
1770053377987732,45950
1770053378030145,45960
1770053378072953,45930
1770053378115713,45900
1770053378158548,45890
1770053378201207,45940
1770053378244328,45990
1770053378287479,45960
1770053378332884,45890
1770053378375938,45920
1770053378419044,45950
1770053378461939,45940
1770053378505121,46010
1770053378548234,45920
1770053378591145,45940
1770053378634214,45820
1770053378677267,45970
1770053378720388,45960
1770053378763577,45990
1770053378806603,46000
1770053378852566,45990
1770053378895476,45920
1770053378938463,45940
1770053378981351,45960
1770053379024186,45990
1770053379066923,45970
1770053379109769,46000
1770053379152938,46020
1770053379196123,45870
1770053379238983,45950
1770053379281442,46010
1770053379324631,45970
1770053379367425,45960
1770053379412588,45920
1770053379455567,45900
1770053379498067,45930
1770053379541206,45990
1770053379584437,45990
1770053379627322,45970
1770053379670535,45910
1770053379713592,46010
1770053379756537,45950
1770053379799434,45980
1770053379842496,46050
1770053379885498,45940
1770053379931843,45950
1770053379975002,45960
1770053380017721,46030
1770053380060534,46080
1770053380103470,45940
