unix_timestamp,active_power (mW)
1770054635016849,46410
1770054635059391,41010
1770054635101924,47240
1770054635144891,46420
1770054635187795,46570
1770054635230767,46470
1770054635273849,46410
1770054635316746,46400
1770054635361223,46470
1770054635403948,46480
1770054635446801,46530
1770054635489234,46500
1770054635532358,46510
1770054635575435,46480
1770054635617946,46460
1770054635660276,46540
1770054635703136,46460
1770054635746143,46490
1770054635789440,46500
1770054635831905,46430
1770054635874712,46410
1770054635917601,46460
1770054635961713,46390
1770054636004095,46390
1770054636047046,46430
1770054636089839,46440
1770054636132520,46450
1770054636174844,46550
1770054636217281,46430
1770054636259960,46470
1770054636302467,46450
1770054636345319,46530
1770054636388399,46480
1770054636431246,46510
1770054636474171,46470
1770054636517271,46420
1770054636562152,46480
1770054636604867,46420
1770054636647475,46430
1770054636689673,46420
1770054636732865,46440
1770054636775892,46400
1770054636818680,46440
1770054636861113,46460
1770054636904072,46420
1770054636946894,46440
1770054636990083,46400
1770054637032963,46400
1770054637075921,46480
1770054637122461,46420
1770054637165272,46400
1770054637208451,46430
1770054637251378,46410
1770054637294585,46410
1770054637337182,46410
1770054637380399,46420
1770054637423195,46500
1770054637466345,46460
1770054637508760,46410
1770054637551797,46410
1770054637594876,46490
1770054637637968,46450
1770054637682796,46440
1770054637725959,46420
1770054637769002,46430
1770054637811991,46480
1770054637854895,46470
1770054637897796,46490
1770054637940938,46480
1770054637983850,46440
1770054638026428,46430
1770054638069324,46340
1770054638112603,46500
1770054638155385,46500
1770054638198058,46460
1770054638243086,46460
1770054638286199,46400
1770054638329067,46410
1770054638372078,46410
1770054638414984,46480
1770054638457783,46520
1770054638500771,46470
1770054638543469,46330
1770054638586535,46480
1770054638629161,46440
1770054638672295,46420
1770054638715427,46380
1770054638758511,46470
1770054638803480,46360
1770054638846032,46450
1770054638889099,46420
1770054638932050,46480
1770054638975136,46510
1770054639017424,46400
1770054639060279,46340
1770054639103570,46430
1770054639146366,46380
1770054639188847,46400
1770054639231202,46480
1770054639274061,46450
1770054639317168,46460
1770054639359821,46470
1770054639403927,46440
1770054639446720,46480
1770054639489106,46420
1770054639531781,46450
1770054639574665,46430
1770054639617507,46420
1770054639660507,46510
1770054639703422,46460
1770054639746169,46410
1770054639788873,46390
1770054639832046,46380
1770054639875007,46470
1770054639918125,46490
1770054639964391,46480
1770054640007346,46400
1770054640050254,46390
1770054640093271,46400
1770054640136423,46470
1770054640179298,46440
1770054640221923,46450
1770054640265076,46380
1770054640307956,46430
1770054640350958,46440
1770054640393889,46470
1770054640436577,46480
1770054640479617,46420
1770054640524717,46460
1770054640567761,46400
1770054640610738,46440
1770054640653563,46480
1770054640696214,46450
1770054640738526,46380
1770054640781601,46420
1770054640824799,46480
1770054640867468,46410
1770054640910175,46410
1770054640953231,46430
1770054640996406,46520
1770054641038784,46350
1770054641085084,46500
1770054641128124,46510
1770054641170751,46460
1770054641213371,46440
1770054641256557,46400
1770054641299469,46410
1770054641342172,46440
1770054641384877,46450
1770054641428108,46420
1770054641471035,46440
1770054641513610,46430
1770054641556770,46360
1770054641599915,46450
1770054641645478,46430
1770054641688620,46460
1770054641731524,46400
1770054641774544,46410
1770054641817689,46420
1770054641860617,46490
1770054641903832,46510
1770054641946593,46460
1770054641989713,46360
1770054642032842,46360
1770054642076036,46420
1770054642118989,46520
1770054642165780,46470
1770054642208808,46350
1770054642251984,46440
1770054642294866,46430
1770054642338074,46400
1770054642381268,46470
1770054642424340,46480
1770054642467499,46470
1770054642510640,46390
1770054642553151,46520
1770054642596026,46450
1770054642639123,46440
1770054642681650,46440
1770054642726287,46470
1770054642769135,46470
1770054642811997,46470
1770054642854913,46400
1770054642897798,46460
1770054642940313,46420
1770054642983208,46400
1770054643026123,46400
1770054643068989,46470
1770054643111740,46400
1770054643154093,46320
1770054643196571,46430
1770054643239040,46420
1770054643281597,46550
1770054643326708,46470
1770054643369494,46370
1770054643412334,46480
1770054643455184,46400
1770054643497948,46500
1770054643540977,46450
1770054643583944,46520
1770054643626589,46420
1770054643669004,46390
1770054643712126,46460
1770054643755093,46490
1770054643797664,46450
1770054643840636,46460
1770054643887144,46440
1770054643930157,46430
1770054643973194,46440
1770054644016440,46480
1770054644059284,46500
1770054644102495,46430
1770054644145775,46340
1770054644188982,46420
1770054644231352,46490
1770054644274019,46430
1770054644316543,46450
1770054644359847,46500
1770054644402646,46400
1770054644447468,46400
1770054644490500,46380
1770054644532805,46470
1770054644575608,46560
1770054644618262,46380
1770054644661098,46440
1770054644703697,46420
1770054644746562,46430
1770054644789179,46470
1770054644832300,46410
1770054644874706,46410
1770054644917750,46460
1770054644960252,46460
1770054645003225,46460
1770054645047859,46460
1770054645090636,46360
1770054645133275,46520
1770054645176126,46530
1770054645219046,46470
1770054645261673,46420
1770054645304579,46440
1770054645347449,46400
1770054645389819,46420
1770054645432792,46370
1770054645475138,46480
1770054645517803,46450
1770054645560790,46340
1770054645604000,46350
1770054645648343,46400
1770054645691089,46500
1770054645734011,46460
1770054645776871,46470
1770054645819545,46420
1770054645862180,46350
1770054645905160,46390
1770054645948086,46440
1770054645991012,46480
1770054646033572,46430
1770054646076501,46450
1770054646119658,46370
1770054646162172,46400
