unix_timestamp,active_power (mW)
1774521684014718,47440
1774521684056928,23850
1774521684099829,26970
1774521684142558,39770
1774521684185762,47730
1774521684228856,47520
1774521684271975,47510
1774521684315143,47420
1774521684358303,47460
1774521684401549,47460
1774521684447235,47490
1774521684490288,47410
1774521684533828,47510
1774521684576995,47400
1774521684620037,47440
1774521684662794,47420
1774521684705776,47440
1774521684748704,47490
1774521684791913,47560
1774521684834782,47420
1774521684877812,47460
1774521684920805,47450
1774521684966478,47440
1774521685009476,47300
1774521685052472,47370
1774521685095607,47450
1774521685138632,47450
1774521685181883,47400
1774521685224305,47490
1774521685267399,47390
1774521685310457,47380
1774521685353538,47320
1774521685396485,47410
1774521685439037,47290
1774521685481704,47310
1774521685525770,47350
1774521685568888,47410
1774521685611914,47460
1774521685654529,47370
1774521685697684,47380
1774521685740756,47430
1774521685783468,47390
1774521685826273,47360
1774521685869292,47410
1774521685912306,47410
1774521685955375,47410
1774521685998330,47460
1774521686045173,47300
1774521686088124,47470
1774521686131221,47430
1774521686174104,47420
1774521686216963,47330
1774521686259988,47430
1774521686302629,47480
1774521686345760,47410
1774521686388266,47470
1774521686430939,47400
1774521686474108,47450
1774521686517319,47500
1774521686564443,47460
1774521686607067,47410
1774521686650162,47380
1774521686693172,47340
1774521686735451,47380
1774521686778362,47400
1774521686821465,47530
1774521686864615,47350
1774521686907489,47440
1774521686950669,47440
1774521686993827,47400
1774521687037032,47380
1774521687079432,47470
1774521687123839,47410
1774521687166835,47470
1774521687209335,47360
1774521687252405,47280
1774521687295537,47410
1774521687338526,47380
1774521687381499,47330
1774521687424434,47360
1774521687467573,47420
1774521687510679,47490
1774521687553521,47460
1774521687596713,47470
1774521687643225,47320
1774521687686322,47490
1774521687729479,47400
1774521687772515,47440
1774521687815605,47390
1774521687858743,47500
1774521687901800,47380
1774521687944865,47320
1774521687987925,47390
1774521688030875,47450
1774521688073957,47410
1774521688117110,47380
1774521688162497,47400
1774521688205613,47350
1774521688248536,47300
1774521688291647,47470
1774521688334349,47330
1774521688377580,47340
1774521688420655,47370
1774521688463788,47450
1774521688506744,47330
1774521688549793,47390
1774521688592842,47430
1774521688635793,47460
1774521688681984,47450
1774521688725074,47430
1774521688768110,47530
1774521688811049,47570
1774521688853655,47470
1774521688896815,47490
1774521688939839,47460
1774521688982705,47490
1774521689025841,47570
1774521689068721,47450
1774521689111572,47420
1774521689154373,47450
1774521689197587,47420
1774521689241594,47470
1774521689284576,47410
1774521689327475,47450
1774521689370502,47470
1774521689413654,47370
1774521689456875,47500
1774521689499683,47480
1774521689542153,47480
1774521689585369,47460
1774521689628495,47470
1774521689671316,47580
1774521689714402,47340
1774521689760985,47480
1774521689804003,47520
1774521689846900,47430
1774521689889981,47510
1774521689933192,47480
1774521689976372,47420
1774521690018646,47360
1774521690061671,47390
1774521690104772,47440
1774521690147837,47350
1774521690190649,47360
1774521690233701,47390
1774521690280341,47440
1774521690323521,47440
1774521690366676,47490
1774521690409873,47420
1774521690452824,47440
1774521690495995,47510
1774521690539151,47530
1774521690581628,47450
1774521690624424,47480
1774521690667544,47490
1774521690710496,47400
1774521690753559,47440
1774521690800053,47550
1774521690843206,47450
1774521690886383,47480
1774521690929528,47440
1774521690972810,47430
1774521691015792,47450
1774521691058406,47340
1774521691101239,47410
1774521691144482,47440
1774521691187596,47410
1774521691230322,47550
1774521691273307,47370
1774521691319671,47440
1774521691362668,47390
1774521691405661,47490
1774521691448835,47450
1774521691491976,47480
1774521691534902,47430
1774521691577560,47460
1774521691620616,47490
1774521691663666,47430
1774521691706205,47450
1774521691749305,47390
1774521691792431,47330
1774521691834999,47560
1774521691879280,47470
1774521691922422,47430
1774521691965600,47420
1774521692008768,47470
1774521692051938,47490
1774521692094870,47420
1774521692137721,47450
1774521692180892,47440
1774521692223992,47450
1774521692267061,47490
1774521692309910,47490
1774521692353060,47510
1774521692398930,47480
1774521692441316,47470
1774521692484529,47470
1774521692527685,47430
