unix_timestamp,active_power (mW)
1770033214962663,42580
1770033215005130,42660
1770033215048103,42570
1770033215091287,42630
1770033215134300,42640
1770033215177182,42570
1770033215220035,42600
1770033215262991,42600
1770033215306071,42530
1770033215349087,42590
1770033215392055,42520
1770033215434898,42570
1770033215481470,42660
1770033215524572,42600
1770033215567154,42630
1770033215609829,42630
1770033215653051,42550
1770033215696224,42570
1770033215739405,42620
1770033215782027,42510
1770033215825184,42620
1770033215868181,42630
1770033215910963,42600
1770033215953963,42620
1770033215997226,42610
1770033216041922,42570
1770033216085139,42590
1770033216128114,42580
1770033216170839,42580
1770033216213867,42620
1770033216256810,42560
1770033216299966,42630
1770033216342902,42640
1770033216385781,42580
1770033216429069,42560
1770033216472243,42560
1770033216515215,42710
1770033216558256,42600
1770033216602427,42570
1770033216644902,42620
1770033216688107,42580
1770033216731032,42650
1770033216774264,42590
1770033216816805,42580
1770033216859653,42590
1770033216902280,42640
1770033216944786,42700
1770033216987487,42590
1770033217030155,42680
1770033217072822,42580
1770033217115512,42630
1770033217158112,42510
1770033217202882,42570
1770033217245777,42660
1770033217288942,42640
1770033217332229,42540
1770033217374577,42640
1770033217417676,42570
1770033217460685,42570
1770033217503671,42570
1770033217546270,42740
1770033217588730,42670
1770033217631414,42680
1770033217674147,42610
1770033217716752,42560
1770033217763338,42620
1770033217805826,42580
1770033217848649,42610
1770033217891671,42620
1770033217934528,42650
1770033217977127,42580
1770033218020232,42650
1770033218062520,42570
1770033218105109,42600
1770033218148159,42560
1770033218191182,42570
1770033218234001,42620
1770033218276946,42590
1770033218323917,42560
1770033218367056,42560
1770033218409805,42600
1770033218452839,42580
1770033218495962,42590
1770033218539327,42590
1770033218581977,42730
1770033218625107,42580
1770033218668120,42610
1770033218710566,42580
1770033218753782,42510
1770033218796918,42550
1770033218839524,42620
1770033218884371,42610
1770033218927161,42560
1770033218970437,42560
1770033219013581,42610
1770033219056697,42650
1770033219099753,42590
1770033219142863,42560
1770033219185175,42530
1770033219228391,42620
1770033219271403,42570
1770033219314456,42520
1770033219357553,42520
1770033219400583,42610
1770033219444710,42590
1770033219487963,42560
1770033219531054,42560
1770033219573716,42790
1770033219616872,42480
1770033219659801,42660
1770033219703029,42560
1770033219746219,42630
1770033219788507,42510
1770033219831613,42530
1770033219874233,42520
1770033219917241,42610
1770033219960327,42540
1770033220005140,42470
1770033220048150,42580
1770033220091155,42510
1770033220134119,42620
1770033220177150,42610
1770033220220289,42500
1770033220263521,42560
1770033220306675,42540
1770033220349881,42580
1770033220392586,42570
1770033220435776,42540
1770033220478678,42510
1770033220525585,42560
1770033220568642,42580
1770033220611517,42700
1770033220654577,42600
1770033220697070,42480
1770033220740232,42620
1770033220783195,42490
1770033220826071,42530
1770033220869190,42490
1770033220911994,42550
1770033220954818,42560
1770033220997262,42610
1770033221040290,42540
1770033221086082,42560
1770033221129112,42590
1770033221172101,42550
1770033221214923,42550
1770033221257999,42470
1770033221301097,42520
1770033221344029,42580
1770033221386892,42530
1770033221430082,42540
1770033221473386,42550
1770033221516270,42570
1770033221559311,42570
1770033221601791,42500
1770033221646476,42530
1770033221689033,42570
1770033221731789,42570
1770033221774109,42540
1770033221816982,42540
1770033221859799,42530
1770033221902482,42540
1770033221944880,42580
1770033221987840,42510
1770033222031113,42580
1770033222074161,42580
1770033222117158,42500
1770033222160083,42530
1770033222202657,42540
1770033222247073,42590
1770033222289851,42570
1770033222332360,42500
1770033222374999,42470
1770033222417435,42590
1770033222460446,42560
1770033222503458,42520
1770033222546578,42460
1770033222589795,42480
1770033222632257,42620
1770033222675197,42640
1770033222718147,42570
1770033222761185,42520
1770033222807803,42600
1770033222850513,42520
1770033222892928,42510
1770033222935917,42520
1770033222979050,42530
1770033223022396,42530
1770033223065567,42540
1770033223108159,42550
1770033223151059,42550
1770033223194145,42540
1770033223237198,42630
1770033223280205,42600
1770033223323308,42570
1770033223368084,42570
1770033223410869,42540
1770033223453347,42530
1770033223496285,42560
1770033223539355,42520
1770033223581725,42500
1770033223624808,42590
1770033223667093,42610
1770033223710180,42610
1770033223753290,42570
1770033223796294,42630
1770033223839089,42640
1770033223881575,42560
1770033223924160,42600
1770033223968598,42560
1770033224011482,42530
1770033224054226,42540
1770033224096567,42520
1770033224139678,42580
1770033224182373,42540
1770033224225531,42550
1770033224268610,42580
1770033224311468,42600
1770033224354320,42590
1770033224397475,42590
1770033224440400,42630
1770033224483371,42610
1770033224529188,42620
1770033224572302,42580
1770033224615297,42590
1770033224658120,42590
1770033224700916,42670
1770033224743917,42600
1770033224786716,42630
1770033224829251,42570
1770033224872205,42630
1770033224915045,42610
1770033224958111,42570
1770033225001168,42580
1770033225044193,42560
1770033225089692,42560
1770033225132878,42530
1770033225175305,42580
1770033225218034,42530
1770033225261175,42600
1770033225303723,42550
1770033225346625,42610
1770033225389087,42530
1770033225432116,42670
1770033225475297,42590
1770033225518498,42550
1770033225561230,42510
1770033225604349,42630
1770033225650056,42530
1770033225692782,42500
1770033225735547,42710
1770033225778145,42530
1770033225821807,42490
1770033225864896,42620
1770033225907897,42590
1770033225950970,42490
1770033225993715,42520
1770033226036804,42560
1770033226079774,42590
1770033226122762,42510
1770033226165526,42530
1770033226210638,42560
1770033226253775,42570
1770033226296920,42530
1770033226340005,42530
1770033226382851,42570
1770033226425581,42580
1770033226468676,42640
1770033226511656,42600
1770033226554728,42660
1770033226597737,42500
1770033226640978,42560
1770033226684082,42520
1770033226726397,42500
1770033226771133,42530
1770033226813612,42520
1770033226856660,42550
1770033226899273,42570
1770033226941717,42560
1770033226984884,42530
1770033227028143,42550
1770033227071042,42570
1770033227113881,42610
1770033227157072,42580
1770033227200071,42470
1770033227243292,42630
1770033227286218,42620
1770033227331641,42570
1770033227374161,42630
1770033227417400,42610
1770033227460704,42590
1770033227503295,42550
1770033227545919,42550
1770033227589117,42700
1770033227632104,42590
1770033227674897,42580
1770033227717423,42580
1770033227760319,42630
1770033227803312,42750
1770033227846098,42590
1770033227892311,42600
1770033227935070,42630
1770033227978075,42610
1770033228021272,42590
1770033228064394,42580
1770033228107109,42560
1770033228149892,42580
1770033228192830,42510
1770033228235477,42570
1770033228278237,42630
1770033228321234,42610
1770033228364100,42620
1770033228406773,42590
1770033228452848,42690
1770033228495959,42590
1770033228538643,42680
1770033228581453,42530
1770033228624337,42580
1770033228667047,42610
1770033228709864,42580
1770033228752670,42530
1770033228794966,42770
1770033228838156,42570
1770033228880519,42550
1770033228922962,42580
1770033228965493,42620
1770033229008696,42630
1770033229053545,42570
1770033229096646,42600
1770033229139466,42610
1770033229182401,42560
1770033229225377,42590
1770033229268622,42590
1770033229311650,42670
1770033229354455,42640
1770033229397226,42550
1770033229440244,42580
1770033229483326,42560
1770033229525986,42580
1770033229569149,42580
1770033229614087,42610
1770033229656977,42600
1770033229700068,42500
1770033229743043,42490
1770033229785993,42630
1770033229829059,42700
1770033229872129,42630
1770033229915056,42660
1770033229957609,42610
1770033230000717,42590
1770033230043776,42600
1770033230087048,42660
1770033230130319,42530
1770033230174727,42510
1770033230217828,42570
1770033230260795,42560
1770033230303797,42570
1770033230346689,42600
1770033230389213,42570
1770033230432375,42580
1770033230474886,42490
1770033230517865,42530
1770033230560393,42650
1770033230602901,42590
1770033230646122,42500
1770033230689036,42570
