unix_timestamp,active_power (mW)
1770036425573545,44800
1770036425615935,41290
1770036425658661,44400
1770036425701264,44810
1770036425744372,44950
1770036425787352,44820
1770036425830168,44800
1770036425873137,44790
1770036425916232,44850
1770036425959231,44850
1770036426002415,44880
1770036426045585,44800
1770036426091138,44900
1770036426133574,44890
1770036426176341,44920
1770036426219257,44860
1770036426261565,44900
1770036426304176,44840
1770036426346650,44910
1770036426389571,44860
1770036426432046,44870
1770036426474934,44860
1770036426517624,44810
1770036426560050,44810
1770036426602498,44840
1770036426645207,44860
1770036426691123,44760
1770036426734105,44920
1770036426776672,44750
1770036426819601,44860
1770036426862300,44790
1770036426904595,44710
1770036426947784,44750
1770036426990588,44790
1770036427033157,44780
1770036427076345,44750
1770036427119339,44670
1770036427162113,44700
1770036427205300,44710
1770036427251143,44810
1770036427293867,44790
1770036427336890,44820
1770036427380037,44840
1770036427422812,44830
1770036427465129,44850
1770036427508294,44850
1770036427551286,44830
1770036427594409,44870
1770036427636945,44890
1770036427679926,44900
1770036427723107,44840
1770036427765943,44870
1770036427811343,44870
1770036427854102,44830
1770036427896457,44780
1770036427939161,44900
1770036427981623,44920
1770036428024527,44870
1770036428067049,44830
1770036428109571,44840
1770036428152701,44880
1770036428195213,44830
1770036428238157,44900
1770036428281060,44900
1770036428323874,44890
1770036428367031,44810
1770036428411456,44890
1770036428454490,44940
1770036428496808,44920
1770036428539846,44890
1770036428582769,44910
1770036428625360,44870
1770036428668301,44980
1770036428711329,44870
1770036428753993,44850
1770036428797163,44950
1770036428840272,44900
1770036428883225,44870
1770036428925950,44870
1770036428971500,44870
1770036429014255,44870
1770036429057178,44880
1770036429100349,44840
1770036429143310,44850
1770036429186091,44890
1770036429229358,44930
1770036429272549,44900
1770036429315119,44870
1770036429357553,44910
1770036429400564,44900
1770036429443646,44930
1770036429486508,44920
1770036429531629,44870
1770036429574126,44870
1770036429616840,44840
1770036429660044,44880
1770036429702991,44900
1770036429745448,44870
1770036429788040,44950
1770036429830972,45080
1770036429874324,44830
1770036429916489,44870
1770036429958801,44860
1770036430001648,44910
1770036430044843,44890
1770036430091636,44870
1770036430134620,44850
1770036430177735,44870
1770036430220968,44840
1770036430264135,44820
1770036430307051,44850
1770036430349917,44850
1770036430393186,44870
1770036430436319,44900
1770036430479556,44820
1770036430522206,44910
1770036430565303,44870
1770036430611649,44910
1770036430654209,44840
1770036430697442,44900
1770036430740281,44940
1770036430783161,44820
1770036430825619,44920
1770036430868538,45020
1770036430910990,44930
1770036430953823,44900
1770036430996441,44880
1770036431039352,44870
1770036431082134,44880
1770036431124895,44820
1770036431167854,44870
1770036431211936,44870
1770036431255034,44910
1770036431297952,44830
1770036431340846,44840
1770036431383934,44890
1770036431427129,44880
1770036431470343,44750
1770036431513535,44820
1770036431555793,44850
1770036431598622,44880
1770036431641156,44840
1770036431684315,44840
1770036431727216,44870
1770036431771941,44810
1770036431815100,44880
1770036431857995,45010
1770036431901006,44850
1770036431943975,44920
1770036431987111,44830
1770036432030059,44880
1770036432073134,44870
1770036432116120,44830
1770036432159034,44900
1770036432201704,44920
1770036432244805,44880
1770036432287996,44940
1770036432331990,44880
1770036432374784,44960
1770036432417668,44870
1770036432460319,44880
1770036432502783,44870
1770036432545911,44890
1770036432588749,44860
1770036432631174,44850
1770036432673917,44850
1770036432716978,44840
1770036432760128,44890
1770036432803097,44880
1770036432845846,44890
