unix_timestamp,active_power (mW)
1770037483495643,45250
1770037483538517,41710
1770037483581743,45100
1770037483624914,45490
1770037483667998,45460
1770037483711221,45380
1770037483754162,45480
1770037483797307,45440
1770037483840368,45470
1770037483882924,45520
1770037483925872,45480
1770037483968696,45510
1770037484011503,45460
1770037484056375,45560
1770037484099326,45450
1770037484141901,45490
1770037484184982,45530
1770037484227358,45530
1770037484270024,45530
1770037484313181,45550
1770037484356211,45590
1770037484399067,45530
1770037484441871,45520
1770037484485048,45530
1770037484527672,45530
1770037484570596,45630
1770037484616797,45500
1770037484659775,45410
1770037484702387,45360
1770037484745569,45420
1770037484788742,45460
1770037484831793,45430
1770037484874959,45500
1770037484917790,45360
1770037484960513,45300
1770037485003574,45270
1770037485046580,45360
1770037485089897,45380
1770037485132266,45450
1770037485176899,45370
1770037485219813,45280
1770037485262691,45300
1770037485305096,45340
1770037485347778,45400
1770037485390463,45320
1770037485432819,45400
1770037485475714,45250
1770037485518575,45360
1770037485561075,45410
1770037485603539,45540
1770037485646306,45380
1770037485688652,45350
1770037485731687,45350
1770037485777504,45420
1770037485820388,45470
1770037485863428,45380
1770037485905979,45490
1770037485949414,45410
1770037485992634,45380
1770037486035582,45500
1770037486078226,45540
1770037486121005,45530
1770037486163510,45450
1770037486205877,45500
1770037486248935,45500
1770037486292174,45550
1770037486337996,45420
1770037486381147,45480
1770037486424094,45520
1770037486466889,45480
1770037486509699,45520
1770037486552848,45470
1770037486595767,45690
1770037486638563,45380
1770037486681164,45540
1770037486724454,45430
1770037486767389,45420
1770037486810086,45380
1770037486853081,45370
1770037486898085,45370
1770037486941168,45380
1770037486984186,45390
1770037487027091,45440
1770037487070476,45370
1770037487113093,45290
1770037487155952,45360
1770037487199001,45300
1770037487242105,45380
1770037487285034,45410
1770037487328169,45370
1770037487370658,45330
1770037487413386,45370
1770037487458292,45290
1770037487501174,45250
1770037487544319,45320
1770037487587239,45300
1770037487630259,45490
1770037487673410,45370
1770037487716584,45420
1770037487759562,45320
1770037487802654,45360
1770037487845138,45470
1770037487888166,45270
1770037487931032,45350
1770037487974015,45330
1770037488018586,45310
1770037488061716,45440
1770037488104635,45330
1770037488147542,45340
1770037488190663,45400
1770037488233696,45320
1770037488276743,45320
1770037488319850,45400
1770037488362770,45350
1770037488405811,45390
1770037488449009,45310
1770037488492116,45350
1770037488538817,45340
1770037488581986,45370
1770037488624567,45420
1770037488667868,45280
1770037488710767,45370
1770037488753814,45390
1770037488796859,45440
1770037488839972,45370
1770037488882640,45370
1770037488925190,45370
1770037488968335,45310
1770037489010830,45390
1770037489053444,45410
1770037489099179,45390
1770037489141915,45430
1770037489184896,45400
1770037489228084,45330
1770037489270847,45390
1770037489313262,45310
1770037489356277,45320
1770037489398873,45390
1770037489441374,45380
1770037489484612,45340
1770037489527649,45480
1770037489570422,45440
1770037489613199,45350
1770037489659420,45450
1770037489702519,45430
1770037489745504,45420
1770037489788592,45390
1770037489831622,45390
1770037489874790,45430
1770037489917352,45430
1770037489960514,45390
1770037490003522,45360
1770037490046560,45420
1770037490088915,45360
1770037490131705,45420
1770037490174064,45460
1770037490219648,45470
1770037490262557,45390
1770037490305120,45510
1770037490348172,45500
1770037490391094,45450
1770037490433718,45510
1770037490476876,45420
1770037490519816,45450
1770037490562537,45450
1770037490605240,45430
1770037490648324,45540
1770037490691412,45610
1770037490733657,45530
1770037490780012,45510
1770037490822682,45420
