unix_timestamp,active_power (mW)
1770038998227910,45560
1770038998270491,41980
1770038998313683,45410
1770038998356821,45860
1770038998399854,45850
1770038998442199,45780
1770038998485133,45850
1770038998527442,45800
1770038998570436,45880
1770038998613533,45870
1770038998656626,45890
1770038998699568,45820
1770038998745983,45830
1770038998789458,45950
1770038998831893,45970
1770038998874556,45990
1770038998917631,45900
1770038998960811,45990
1770038999004056,45940
1770038999046503,46180
1770038999089453,46060
1770038999131844,46100
1770038999175018,46010
1770038999218550,46000
1770038999261360,45910
1770038999305680,46000
1770038999348476,45930
1770038999391347,45980
1770038999434065,45890
1770038999476940,45870
1770038999519777,45890
1770038999562637,45950
1770038999605681,45860
1770038999648871,45800
1770038999691905,45800
1770038999734836,45800
1770038999777287,45890
1770038999820231,45850
1770038999865138,45750
1770038999908207,45860
1770038999950841,45960
1770038999993253,45920
1770039000036362,45730
1770039000079292,45850
1770039000122131,45700
1770039000165279,45770
1770039000208328,45900
1770039000251340,45820
1770039000293837,45910
1770039000337047,45840
1770039000380122,45920
1770039000424906,45930
1770039000468161,45950
1770039000511152,46020
1770039000553983,46020
1770039000597117,46000
1770039000640052,45980
1770039000682556,45990
1770039000725461,45990
1770039000768519,46010
1770039000811277,45980
1770039000853943,46000
1770039000896605,46060
1770039000939448,45930
1770039000984535,45960
1770039001027438,45980
1770039001069749,46030
1770039001112969,45910
1770039001156116,45990
1770039001198955,45950
1770039001241652,45940
1770039001284829,45920
1770039001327847,45870
1770039001370766,45900
1770039001413297,45840
1770039001456509,45800
1770039001499647,45780
1770039001543991,45840
1770039001586724,45820
1770039001629473,45620
1770039001672417,45790
1770039001715162,45860
1770039001757999,45970
1770039001800807,45880
1770039001843793,45840
1770039001886949,45820
1770039001929745,45770
1770039001972930,45720
1770039002016045,45960
1770039002058958,45790
1770039002103480,45840
1770039002146639,45810
1770039002189198,45880
1770039002232400,45840
1770039002275276,45800
1770039002318039,45710
1770039002361185,45740
1770039002404418,45850
1770039002447264,45950
1770039002490004,45860
1770039002533237,45850
1770039002576498,45730
1770039002623196,45850
1770039002665627,45930
1770039002708787,45960
1770039002751755,45920
1770039002794147,45910
1770039002836759,45930
1770039002879848,45960
1770039002923051,45990
1770039002965437,46060
1770039003008465,46040
1770039003051199,46030
1770039003093987,45970
1770039003136410,46000
1770039003182841,45910
1770039003225338,45950
1770039003268388,45930
1770039003311331,45940
1770039003354108,45930
1770039003397196,45840
1770039003440430,45800
1770039003483483,45850
1770039003526142,45900
1770039003569222,45830
1770039003612259,45700
1770039003655026,45760
1770039003698050,45910
1770039003742224,45700
1770039003784784,45820
1770039003827835,45800
1770039003870688,45830
1770039003913779,45880
1770039003956711,45770
1770039003999878,45840
1770039004043135,45820
1770039004086039,45870
1770039004129060,45920
1770039004172139,46120
1770039004215000,45870
1770039004257250,46000
1770039004301940,46000
1770039004344695,46030
1770039004387284,45920
1770039004429767,45990
1770039004472802,45990
1770039004516030,45970
1770039004559297,46000
1770039004602126,46060
1770039004644915,45970
1770039004687769,45950
1770039004730871,46040
1770039004773981,45950
1770039004816879,46000
1770039004861514,45890
1770039004904538,45880
1770039004947438,45930
1770039004990142,45890
1770039005033393,45910
1770039005076485,45880
1770039005119716,45860
1770039005162876,45890
1770039005205359,45870
1770039005248484,45730
1770039005291397,45810
1770039005334493,45860
1770039005381044,45640
1770039005424059,45730
1770039005466481,45820
1770039005509647,45810
1770039005552951,45770
1770039005596129,45710
1770039005638890,45770
1770039005681339,45790
1770039005724401,45930
1770039005767417,45990
1770039005810034,45870
1770039005852737,45890
1770039005895552,45840
1770039005940706,45900
1770039005983828,45950
1770039006027008,45990
1770039006069472,45990
1770039006112668,45940
1770039006155621,46030
1770039006198571,46070
1770039006241819,46060
1770039006284998,45950
1770039006328112,45910
1770039006371301,45910
1770039006414030,45950
1770039006460162,45890
1770039006503200,45870
1770039006546014,45860
1770039006588346,45910
1770039006631311,45920
1770039006673820,45770
