unix_timestamp,active_power (mW)
1770221444944185,43000
1770221444986841,32130
1770221445029974,43020
1770221445072587,43380
1770221445115724,43260
1770221445158782,43340
1770221445201665,43360
1770221445244509,43320
1770221445287743,43310
1770221445330928,43230
1770221445374095,43270
1770221445417176,43310
1770221445463889,43260
1770221445507034,43340
1770221445550285,43250
1770221445593305,43320
1770221445636395,43240
1770221445679374,43310
1770221445722308,43220
1770221445765410,43300
1770221445808353,43210
1770221445851818,43170
1770221445895011,43170
1770221445937947,43160
1770221445983632,43170
1770221446026782,43360
1770221446069800,43240
1770221446112728,43070
1770221446155676,43100
1770221446198490,43100
1770221446241724,43120
1770221446284900,43090
1770221446328053,43070
1770221446371178,43160
1770221446414087,43160
1770221446457132,43130
1770221446503457,43220
1770221446546328,43130
1770221446589494,43210
1770221446632552,43110
1770221446675523,43220
1770221446718527,43270
1770221446761604,43230
1770221446804647,43230
1770221446847863,43290
1770221446891023,43250
1770221446933732,43230
1770221446976720,43280
1770221447023516,43330
1770221447066471,43270
1770221447109767,43270
1770221447152659,43270
1770221447195764,43330
1770221447238843,43210
1770221447281471,43240
1770221447324355,43280
1770221447367483,43230
1770221447410427,43210
1770221447453587,43230
1770221447496609,43140
1770221447543297,43180
1770221447586475,43130
1770221447629789,43120
1770221447672844,43190
1770221447715985,43130
1770221447759029,43130
1770221447802059,43180
1770221447844404,43110
1770221447887389,43110
1770221447930642,43140
1770221447973647,43050
1770221448016668,43050
1770221448063162,43320
1770221448106330,43220
1770221448149469,43120
1770221448192306,43180
1770221448235350,43170
1770221448278352,43140
1770221448321425,43130
1770221448364543,43170
1770221448407620,43120
1770221448450520,43200
1770221448493473,43170
1770221448536471,43280
1770221448583131,43200
1770221448626266,43200
1770221448669455,43230
1770221448712421,43210
1770221448755517,43260
1770221448798409,43260
1770221448841486,43250
1770221448884400,43260
1770221448927464,43280
1770221448970324,43260
1770221449013229,43280
1770221449056138,43220
1770221449103065,43270
1770221449146038,43240
1770221449189198,43200
1770221449232156,43210
1770221449275346,43210
1770221449318536,43270
1770221449361187,43280
1770221449404213,43200
1770221449447199,43260
1770221449489999,43340
1770221449533062,43200
1770221449576105,43260
1770221449622848,43260
1770221449666094,43210
1770221449709130,43250
1770221449752120,43300
1770221449795249,43330
1770221449838120,43330
1770221449881008,43220
1770221449924281,43250
1770221449967728,43280
1770221450010810,43290
1770221450053750,43260
1770221450096671,43200
1770221450142752,43320
1770221450185823,43180
1770221450228494,43260
1770221450271465,43280
1770221450314428,43300
1770221450357412,43270
1770221450400408,43280
1770221450443225,43330
1770221450485898,43330
1770221450528915,44430
1770221450571899,43940
1770221450614990,43220
1770221450657980,43360
1770221450702811,43320
1770221450745714,43320
1770221450788772,43240
1770221450831785,43300
1770221450875105,43300
1770221450917950,43310
1770221450960994,43300
1770221451003913,43290
1770221451047022,43250
1770221451089504,43320
1770221451132486,43280
1770221451175490,43290
1770221451218239,43340
1770221451262464,43320
1770221451305917,43310
1770221451348925,43260
1770221451392069,43370
1770221451435234,43350
1770221451478386,43280
1770221451521226,43280
1770221451564231,43250
1770221451607429,43270
1770221451650545,43350
1770221451693383,43260
1770221451736296,43290
1770221451782482,43390
1770221451825191,43290
1770221451868413,43310
1770221451911583,43280
1770221451954610,43340
1770221451997598,43330
1770221452040836,43280
1770221452084030,43380
1770221452127217,43430
1770221452170415,43510
1770221452213474,43370
1770221452256518,43360
1770221452302275,43300
1770221452345343,43310
1770221452388402,43340
1770221452431445,43350
1770221452474407,43290
1770221452517541,43340
1770221452560752,43220
1770221452603855,43290
1770221452647109,43340
1770221452690294,43310
1770221452733315,43300
1770221452776411,43270
1770221452822148,43160
1770221452865189,43210
1770221452908164,43200
1770221452951246,43220
1770221452993836,43280
1770221453036978,43230
1770221453080205,43240
1770221453123439,43200
1770221453166526,43140
1770221453209757,43230
1770221453252930,43310
1770221453296180,43310
1770221453341972,43200
1770221453385093,43210
1770221453428201,43250
1770221453471295,43290
1770221453514344,43230
1770221453556815,43180
1770221453599920,43250
1770221453642905,43250
1770221453686042,43230
1770221453729048,43250
1770221453772130,43280
1770221453815081,43400
1770221453861825,43200
1770221453904994,43290
1770221453948111,43200
1770221453991155,43270
1770221454033770,43160
1770221454076989,43330
1770221454120192,43220
1770221454163161,43130
1770221454206162,43360
1770221454249040,43330
1770221454291950,43200
1770221454335101,43230
1770221454381500,43070
1770221454424548,43170
1770221454467598,43110
1770221454510636,43260
1770221454553584,43140
1770221454596566,43290
1770221454639409,43160
1770221454682588,43260
1770221454725487,43190
1770221454768461,43250
1770221454811412,43210
1770221454854579,43270
1770221454897188,43300
1770221454941473,43300
1770221454984634,43290
1770221455027607,43270
1770221455070736,43290
1770221455113853,43260
1770221455156850,43300
1770221455199968,43200
1770221455243076,43300
1770221455285926,43300
1770221455329102,43370
1770221455372134,43260
1770221455415290,43360
1770221455461394,43220
1770221455504451,43250
1770221455547367,43250
1770221455590480,43250
1770221455633371,43980
1770221455676468,43620
1770221455719523,43270
1770221455762685,43320
1770221455805879,43360
1770221455849007,43300
1770221455892056,43320
1770221455935133,43330
1770221455981277,43410
1770221456024322,43310
1770221456067333,43380
1770221456110444,43400
1770221456153610,43300
1770221456196740,43360
1770221456239952,43400
1770221456283029,43520
1770221456326170,43310
1770221456369300,43390
1770221456412360,43320
1770221456455512,43320
1770221456501038,43290
1770221456544141,43250
1770221456587262,43240
1770221456630173,43240
1770221456673105,43190
1770221456716136,43290
1770221456759175,43190
1770221456802234,43180
1770221456845442,43180
1770221456888374,43410
1770221456931562,43330
1770221456974472,43260
1770221457020861,43260
1770221457063910,43320
1770221457106861,43280
1770221457150048,43310
1770221457193189,43250
1770221457236203,43330
1770221457279301,43310
1770221457322495,43410
