unix_timestamp,active_power (mW)
1770222479326330,43100
1770222479368790,32820
1770222479411934,46400
1770222479455138,42590
1770222479498182,43160
1770222479541240,43080
1770222479584341,43070
1770222479627272,43130
1770222479670252,43080
1770222479713280,43130
1770222479756359,43100
1770222479801672,43100
1770222479844640,43060
1770222479887600,43120
1770222479930612,43100
1770222479973587,43100
1770222480016637,43100
1770222480059732,43010
1770222480102999,43000
1770222480146202,43130
1770222480189387,42920
1770222480232448,43110
1770222480275465,43000
1770222480321575,42940
1770222480364735,43020
1770222480407983,42940
1770222480451266,42980
1770222480494368,42910
1770222480537366,43030
1770222480580370,43000
1770222480623315,43130
1770222480666422,43070
1770222480709373,43080
1770222480752575,43030
1770222480795436,43130
1770222480841566,43080
1770222480884702,43150
1770222480927907,43060
1770222480970790,43160
1770222481013394,43200
1770222481056375,43100
1770222481099365,43070
1770222481142564,43090
1770222481185533,43150
1770222481228596,43150
1770222481271725,43150
1770222481314732,43080
1770222481361568,43100
1770222481404646,43090
1770222481447517,43100
1770222481490444,43100
1770222481533492,43140
1770222481576377,43040
1770222481619274,43120
1770222481662244,43060
1770222481705291,43090
1770222481748280,43140
1770222481791297,43140
1770222481834245,43170
1770222481877356,43110
1770222481921434,43080
1770222481964600,43100
1770222482007647,43120
1770222482050626,43150
1770222482093687,43160
1770222482136589,43170
1770222482179593,43100
1770222482222697,43090
1770222482265739,43160
1770222482308746,43070
1770222482351806,43170
1770222482394787,43090
1770222482441377,43090
1770222482484498,43040
1770222482527521,43050
1770222482570455,43080
1770222482613396,43150
1770222482656588,43120
1770222482699743,43050
1770222482743014,43110
1770222482786230,43170
1770222482829332,43130
1770222482872503,43150
1770222482915507,43190
1770222482961376,43110
1770222483004398,43100
1770222483047257,43090
1770222483090389,43090
1770222483133461,43170
1770222483176572,43160
1770222483219609,43120
1770222483262608,43080
1770222483305775,43120
1770222483348964,43060
1770222483392174,43070
1770222483435311,43190
1770222483481220,43080
1770222483524279,43150
1770222483567425,43080
1770222483610392,43210
1770222483653522,43110
1770222483696716,43110
1770222483739930,43100
1770222483782982,43110
1770222483825955,43010
1770222483869098,43480
1770222483911987,43080
1770222483954956,43090
1770222484001027,43120
1770222484044103,43090
1770222484087026,43250
1770222484130119,43160
1770222484173118,43100
1770222484216176,43350
1770222484259181,43100
1770222484302246,43070
1770222484345262,43090
1770222484388388,43370
1770222484431551,43080
1770222484474311,43110
1770222484520889,43070
1770222484564033,43060
1770222484607077,43080
1770222484650088,43120
1770222484693123,43080
1770222484736190,43080
1770222484779204,43060
1770222484822205,43080
1770222484865232,43000
1770222484908087,43160
1770222484950980,43010
1770222484993805,43020
1770222485040727,43070
1770222485083790,43140
1770222485126787,43050
1770222485170039,43110
1770222485213189,43150
1770222485256476,43130
1770222485299447,43120
1770222485342481,43150
1770222485385665,43080
1770222485428552,43150
1770222485471680,43170
