unix_timestamp,active_power (mW)
1770225645391973,43660
1770225645434776,41430
1770225645480598,44120
1770225645523703,43670
1770225645566844,43810
1770225645609825,43770
1770225645652993,43730
1770225645695995,43670
1770225645739025,43720
1770225645782095,43700
1770225645825167,43690
1770225645868265,43700
1770225645911201,43720
1770225645954257,43670
1770225646000659,43670
1770225646043689,43670
1770225646086706,43680
1770225646129407,43800
1770225646172392,43670
1770225646215215,43630
1770225646258428,43760
1770225646300995,43640
1770225646344083,43700
1770225646387097,43630
1770225646430198,43630
1770225646473307,43620
1770225646516241,43870
1770225646560707,43660
1770225646603885,43690
1770225646646799,43640
1770225646689830,43610
1770225646732809,43620
1770225646775806,43690
1770225646818913,43680
1770225646862188,43650
1770225646904638,43700
1770225646947521,43660
1770225646990401,43620
1770225647033173,43670
1770225647076285,43710
1770225647120846,43640
1770225647163924,43610
1770225647206987,43650
1770225647249924,43630
1770225647293039,43690
1770225647336076,43660
1770225647379303,43640
1770225647421805,43780
1770225647464967,43680
1770225647508187,43590
1770225647551507,43710
1770225647594576,43560
1770225647640765,43680
1770225647683895,43600
1770225647726876,43670
1770225647769960,43600
1770225647813042,43570
1770225647856027,43640
1770225647899142,43560
1770225647942235,43630
1770225647984501,43630
1770225648027359,43600
1770225648070240,43640
1770225648113436,43550
1770225648156460,43640
1770225648200718,43620
1770225648243820,43620
1770225648286859,43690
1770225648329906,43690
1770225648372785,43690
1770225648415931,43590
1770225648458787,43670
1770225648501831,43700
1770225648544933,43660
1770225648587907,43800
1770225648630891,43660
1770225648673851,43660
1770225648720827,43660
1770225648763916,43650
1770225648806755,43660
1770225648849836,43670
1770225648892901,43670
1770225648936076,43690
1770225648978934,43700
1770225649022130,43970
1770225649065070,43690
1770225649108224,43690
1770225649151354,47030
1770225649194405,43810
1770225649240805,43680
1770225649283807,43740
1770225649326818,43700
1770225649370057,43780
1770225649413161,43660
1770225649456277,43720
1770225649499300,43680
1770225649542424,43740
1770225649585388,43650
1770225649628447,43670
1770225649671470,43600
1770225649714298,43710
1770225649760899,43630
1770225649803992,43580
1770225649847075,43610
1770225649890097,43600
1770225649933210,43620
1770225649976260,43600
1770225650019380,43640
1770225650062546,43570
1770225650105512,43550
1770225650148503,43660
1770225650191506,43740
1770225650234497,43590
1770225650280931,43620
1770225650324057,43620
1770225650367241,43650
1770225650410212,43660
1770225650453311,43600
1770225650496446,43600
1770225650539412,43620
1770225650582546,43610
1770225650625487,43860
1770225650668394,43640
1770225650711524,43610
1770225650754458,43640
1770225650800965,43610
1770225650844121,43550
1770225650887264,43650
1770225650930094,43580
1770225650973088,43620
1770225651016288,43610
1770225651059305,44050
1770225651102268,43770
1770225651145189,43630
1770225651188425,43750
1770225651231283,43720
1770225651274318,43730
1770225651316611,43680
1770225651361040,43670
1770225651404190,43620
1770225651447178,43730
1770225651490272,43660
1770225651533209,43680
1770225651576209,43690
1770225651619160,43640
1770225651662297,43600
1770225651705303,43660
1770225651748450,43690
1770225651791375,43700
1770225651834551,43680
1770225651881078,43570
1770225651924288,43570
1770225651967449,43580
1770225652010308,43630
1770225652053310,43650
1770225652096332,43640
1770225652139386,43850
1770225652182482,43720
1770225652225441,43650
1770225652268312,43680
1770225652311370,43640
1770225652354202,43530
