unix_timestamp,active_power (mW)
1769788493667082,41080
1769788493709750,43130
1769788493752508,42770
1769788493795095,42880
1769788493838262,42770
1769788493881443,42890
1769788493924321,42810
1769788493967198,42770
1769788494009795,42770
1769788494052954,42780
1769788494095933,42870
1769788494138910,42860
1769788494182004,42780
1769788494227482,42820
1769788494270601,42820
1769788494313492,42880
1769788494356457,42870
1769788494399581,42850
1769788494441771,42830
1769788494484957,42770
1769788494528013,42830
1769788494570663,42810
1769788494613776,42870
1769788494656951,42810
1769788494699882,42770
1769788494742644,41130
1769788494787932,18230
1769788494830610,20120
1769788494873686,28670
1769788494916858,45160
1769788494959978,42770
1769788495003027,42910
1769788495045732,42820
1769788495088847,42770
1769788495131806,42940
1769788495174954,42820
1769788495217774,42690
1769788495260837,42710
1769788495303736,42900
1769788495348476,42830
1769788495391421,42650
1769788495433810,42740
1769788495476876,42750
1769788495520012,42960
1769788495563179,42760
1769788495605762,42720
1769788495649029,42780
1769788495692141,42770
1769788495734722,42830
1769788495777785,42880
1769788495820899,42740
1769788495863801,42770
1769788495909002,42740
1769788495951702,42790
1769788495994701,42770
1769788496037748,42740
1769788496080798,42700
1769788496123926,42720
1769788496167186,42700
1769788496210337,42880
1769788496252638,42860
1769788496295354,42840
1769788496338366,42760
1769788496381183,42760
1769788496424262,42780
1769788496469445,42760
1769788496512516,42800
1769788496555549,42830
1769788496598317,42900
1769788496641329,42830
1769788496684280,42800
1769788496727056,42810
1769788496769865,42720
1769788496812928,22470
1769788496855752,20940
1769788496898871,27380
1769788496941955,43590
1769788496985119,42850
1769788497029883,42810
1769788497073137,42820
1769788497116366,42760
1769788497159190,43050
1769788497202082,42730
1769788497244988,42710
1769788497288100,42630
1769788497331063,42760
1769788497374041,42800
1769788497417186,42770
1769788497460370,42770
1769788497503297,42730
1769788497550239,43100
1769788497593073,42780
1769788497636266,42820
1769788497679234,43090
1769788497722397,42760
1769788497765462,42790
1769788497808432,33180
1769788497851408,17900
1769788497894303,30940
1769788497937291,46100
1769788497980366,42320
1769788498023434,42900
1769788498065767,42830
1769788498110797,42730
1769788498153961,42840
1769788498197005,42770
1769788498240045,42750
1769788498283118,42690
1769788498326312,42860
1769788498369442,42810
1769788498412482,42790
1769788498455135,42810
1769788498498222,42730
1769788498541337,42770
1769788498584327,42800
1769788498627229,42820
1769788498671295,42830
1769788498713888,42770
1769788498757038,42720
1769788498799999,42760
1769788498842704,23900
1769788498885454,30320
1769788498928489,43860
1769788498971406,42720
1769788499014490,42750
1769788499057416,42710
1769788499100344,42760
1769788499143211,42690
1769788499186411,42910
1769788499231520,42740
1769788499274508,42840
1769788499317659,42660
1769788499360792,42790
1769788499403778,42800
1769788499446323,42730
1769788499489430,42660
1769788499532565,42760
1769788499575698,42770
1769788499618499,43000
1769788499661460,42750
1769788499704450,42820
1769788499747357,42760
1769788499792085,42740
1769788499834771,40220
1769788499877835,28070
1769788499921036,43080
1769788499963931,42930
1769788500006577,42880
1769788500049702,42840
1769788500092759,42760
1769788500135869,42830
1769788500178948,42790
1769788500221667,42730
1769788500264488,42730
1769788500307684,42810
1769788500352349,42780
1769788500395309,42870
1769788500438465,42850
1769788500481403,42800
1769788500524355,42720
1769788500566998,42730
1769788500610016,42650
1769788500652869,42780
1769788500696311,42890
1769788500739304,42870
1769788500781814,42830
1769788500824401,42780
1769788500867122,42790
1769788500912889,43240
1769788500955985,42900
1769788500999108,42840
1769788501041862,42790
1769788501084868,42740
1769788501127900,42970
1769788501170905,42860
1769788501213773,42780
1769788501256889,42750
1769788501299805,42740
1769788501342724,42740
1769788501385872,42780
1769788501428429,42870
1769788501473288,42710
1769788501516409,42750
1769788501559315,42760
1769788501602740,42760
1769788501645874,42940
1769788501688907,46210
1769788501731831,42830
1769788501775455,42730
1769788501818008,42730
1769788501861033,42770
1769788501904038,41340
1769788501947156,23110
1769788501993587,20240
1769788502036363,22120
1769788502079307,22150
1769788502122293,19890
1769788502165404,17920
1769788502208488,20770
1769788502251515,21970
1769788502294514,22020
1769788502337591,20320
1769788502380490,16540
1769788502423576,22560
1769788502466599,23400
1769788502509700,22130
1769788502553995,19110
1769788502597203,21680
1769788502639979,23540
1769788502682651,18830
1769788502725810,19640
1769788502769009,22050
1769788502811890,21950
1769788502854490,18980
1769788502897685,33470
1769788502940890,43020
1769788502983843,42900
1769788503026013,42770
1769788503069026,42800
1769788503114428,42850
1769788503157577,42770
1769788503200525,42710
1769788503243027,42860
1769788503286075,42840
1769788503329244,42700
1769788503372412,42710
1769788503415411,42770
1769788503458427,42690
1769788503501471,42750
1769788503544418,42750
1769788503586997,42670
1769788503629787,42760
1769788503674878,42940
1769788503718018,42730
1769788503761295,42930
1769788503804187,42760
1769788503847034,42720
1769788503889857,42640
1769788503932812,42720
1769788503975978,22320
1769788504019011,22360
1769788504062185,19800
1769788504105341,17920
1769788504148242,19710
1769788504190832,21140
1769788504235207,22170
1769788504278258,21080
1769788504321168,17890
1769788504364001,19210
1769788504407093,21560
1769788504449427,23000
1769788504492247,18920
1769788504535372,19970
1769788504577828,23400
1769788504620935,21290
1769788504663938,18050
1769788504706752,20410
1769788504749951,21800
1769788504795594,21130
1769788504838081,18640
1769788504881235,34200
1769788504924238,42940
1769788504967421,42870
1769788505009832,42870
1769788505052798,42870
1769788505095535,42820
1769788505138657,42760
1769788505181837,42710
1769788505224865,42700
1769788505267728,42800
1769788505310881,42710
1769788505356059,42710
1769788505398781,42710
1769788505441942,42680
1769788505484978,42630
1769788505528135,42730
1769788505571367,42790
1769788505614320,42710
1769788505657359,42600
1769788505700041,42680
1769788505743172,42710
1769788505786231,42710
1769788505829292,42840
1769788505876200,42820
1769788505919411,42810
1769788505962323,42800
1769788506005519,24850
1769788506048154,21880
1769788506090934,22170
1769788506134011,21320
1769788506177071,17200
1769788506220109,18030
1769788506263299,21990
1769788506305779,22070
1769788506348671,22070
1769788506391740,22020
1769788506436622,19740
1769788506479655,23270
1769788506522756,18770
1769788506565888,19860
1769788506608108,23220
1769788506651449,18940
1769788506694583,20380
1769788506736744,23190
1769788506779200,18960
1769788506821869,19330
1769788506865024,22160
1769788506907962,35470
1769788506950780,42110
1769788506997059,42730
1769788507040032,42750
1769788507083015,42760
1769788507125971,42770
1769788507169344,42930
1769788507212379,42770
1769788507255643,42720
1769788507298739,42860
1769788507341755,45410
1769788507384694,42540
1769788507427602,42710
1769788507470489,42660
1769788507517374,42680
1769788507560573,42750
1769788507603357,42690
1769788507646372,42720
1769788507689640,42780
1769788507733220,42730
1769788507776317,42790
1769788507819001,42870
1769788507861947,42830
1769788507905117,42660
1769788507948120,42750
1769788507990791,42750
1769788508033485,42830
1769788508077868,22340
1769788508120421,23050
1769788508163507,18950
1769788508206723,19830
1769788508249947,22490
1769788508292956,22090
1769788508336147,21060
1769788508379072,17630
1769788508422150,18140
1769788508464348,22390
1769788508507342,23150
1769788508549714,18850
1769788508592664,20210
1769788508638123,20210
1769788508681251,16940
1769788508724102,22580
1769788508767042,23150
1769788508810099,20850
1769788508853168,16800
1769788508895981,37870
1769788508938909,42940
1769788508981938,43020
1769788509025035,42830
1769788509068350,42750
1769788509111531,42750
1769788509158477,42710
1769788509201560,42750
1769788509244370,42710
1769788509287359,42680
1769788509329984,42680
1769788509372227,42630
1769788509415178,42710
1769788509457736,42700
1769788509500791,42860
1769788509543974,42780
1769788509586484,42780
1769788509629464,42740
1769788509671912,42910
1769788509718735,43220
1769788509761836,42810
1769788509804970,42780
1769788509847954,42940
1769788509890683,42900
1769788509934217,42790
1769788509976921,42830
1769788510019938,42780
1769788510062977,42780
1769788510105812,32700
1769788510148837,18160
1769788510191661,21540
1769788510234140,21710
1769788510279309,22510
1769788510322400,16970
1769788510365357,18660
1769788510408345,21810
1769788510451476,22290
1769788510494414,22100
1769788510537328,21830
1769788510580377,18480
1769788510623349,19400
1769788510666256,22880
1769788510709507,22360
1769788510752417,19210
1769788510794823,16960
1769788510839591,22320
1769788510882092,37410
1769788510925247,41620
1769788510967638,43150
1769788511010020,42890
1769788511053255,42750
1769788511096434,42780
1769788511139484,42890
1769788511182552,42740
1769788511225504,42800
1769788511268680,42910
1769788511311889,42850
1769788511355058,42770
1769788511399850,42660
1769788511443126,42720
1769788511485982,42760
1769788511529205,42790
1769788511572365,42850
1769788511615323,42820
1769788511657918,42760
1769788511701127,42730
1769788511744302,42750
1769788511787500,42740
1769788511829807,42830
