unix_timestamp,active_power (mW)
1769594159997470,43980
1769594160040042,45160
1769594160082571,45950
1769594160125483,45950
1769594160168529,45870
1769594160211475,45870
1769594160254678,45880
1769594160297200,45890
1769594160343880,45880
1769594160386958,45880
1769594160429893,45910
1769594160472760,45720
1769594160515728,45810
1769594160558826,45780
1769594160601656,45790
1769594160644754,45820
1769594160687673,45800
1769594160730340,45840
1769594160773461,45920
1769594160816603,45940
1769594160859855,45940
1769594160903810,45960
1769594160946559,46060
1769594160989784,46130
1769594161032756,46050
1769594161075593,46140
1769594161118758,46170
1769594161161913,46080
1769594161204713,46050
1769594161247637,46110
1769594161290517,46070
1769594161333586,46110
1769594161376633,46110
1769594161419534,46030
1769594161463750,46050
1769594161506481,46020
1769594161549749,45990
1769594161592802,46060
1769594161635796,45930
1769594161679127,45870
1769594161721728,45800
1769594161764718,45850
1769594161807303,45830
1769594161850201,45870
1769594161893328,45950
1769594161936273,45920
1769594161978602,45840
1769594162023375,45770
1769594162066479,45810
1769594162109580,45850
1769594162152605,45840
1769594162195892,45850
1769594162238960,45840
1769594162281643,45870
1769594162324661,45910
1769594162367594,45920
1769594162410261,45920
1769594162453294,45970
1769594162496422,45960
1769594162539460,45980
1769594162583372,46010
1769594162626365,46050
1769594162669447,46060
1769594162712549,46040
1769594162755450,45950
1769594162797876,45930
1769594162840833,45940
1769594162883773,45930
1769594162926739,46010
1769594162969974,45910
1769594163012690,45840
1769594163055508,45830
1769594163098616,45810
1769594163143133,45840
1769594163185741,45850
1769594163228766,45860
1769594163271789,45810
1769594163314645,45830
1769594163357815,45840
1769594163400290,45810
1769594163443454,45790
1769594163485725,45770
1769594163528823,45760
1769594163571822,45830
1769594163614346,45810
1769594163657143,45860
1769594163702825,45880
1769594163745818,45910
1769594163788853,45920
1769594163831992,45980
1769594163874653,45910
1769594163917820,45950
1769594163960929,45980
1769594164003982,46010
1769594164047005,45940
1769594164090170,45990
1769594164133115,46050
1769594164176024,46080
1769594164222779,46110
1769594164265895,46070
1769594164308759,46050
1769594164351625,46070
1769594164394437,46070
1769594164437550,45990
1769594164480680,45960
1769594164523655,45950
1769594164566779,45940
1769594164609655,45920
1769594164652593,45950
1769594164696182,45890
1769594164742542,45960
1769594164785683,45960
1769594164828840,45910
1769594164871838,45860
1769594164914494,45900
1769594164957719,45870
1769594165000074,45860
1769594165042726,45780
1769594165085792,45860
1769594165128730,45840
1769594165171605,45820
1769594165214722,45850
1769594165257822,45920
1769594165302336,45870
1769594165345480,45900
1769594165388735,45900
1769594165431512,45980
1769594165474359,45900
1769594165517612,45910
1769594165560849,45880
1769594165603674,45990
1769594165646582,45990
1769594165689725,45990
1769594165732049,46120
1769594165774631,46150
1769594165817659,46090
1769594165862306,46040
1769594165905418,45980
1769594165948519,46030
1769594165991464,46040
1769594166033750,45890
1769594166076728,45920
1769594166119559,45940
1769594166162772,45960
1769594166205889,45930
1769594166249046,45890
1769594166291582,45850
1769594166334835,45880
1769594166377888,45830
1769594166421993,45840
1769594166465046,45780
1769594166508207,45840
1769594166551545,45800
1769594166594608,45780
1769594166637599,45850
1769594166680777,45870
1769594166723191,45910
1769594166765853,45890
1769594166808971,45890
1769594166852209,45900
1769594166895458,45940
1769594166937929,45900
1769594166981838,45990
1769594167024900,46010
1769594167067840,46120
1769594167110732,46060
1769594167153848,46090
1769594167196845,46080
1769594167239569,46130
1769594167281817,46070
1769594167324805,46110
1769594167367753,46080
1769594167410754,46080
1769594167453354,46050
1769594167496335,46010
1769594167541769,46020
1769594167584756,45950
1769594167627600,46000
1769594167670545,45890
1769594167713709,45900
1769594167756610,45910
1769594167799724,45840
1769594167842478,45860
1769594167885730,45900
1769594167928635,45870
1769594167971329,45840
1769594168014863,45830
1769594168057574,45780
1769594168101544,45710
1769594168144690,45850
1769594168187900,45890
1769594168230719,45950
1769594168273852,45910
1769594168316955,45880
1769594168360018,45970
1769594168403055,45930
1769594168446366,45900
1769594168488910,46000
1769594168531776,46000
