unix_timestamp,active_power (mW)
1769786066138955,38720
1769786066181836,45200
1769786066224724,44010
1769786066269651,44140
1769786066312961,44130
1769786066356144,44120
1769786066399052,44170
1769786066442193,44160
1769786066485230,44130
1769786066528402,44120
1769786066571496,44270
1769786066614075,44180
1769786066657327,44150
1769786066699923,44110
1769786066742617,44070
1769786066789518,39210
1769786066832603,17470
1769786066875174,44820
1769786066918212,44080
1769786066961211,44020
1769786067004133,44000
1769786067047129,44020
1769786067090149,44030
1769786067132967,44130
1769786067176245,43960
1769786067219509,44000
1769786067262642,44100
1769786067305096,44020
1769786067349523,44000
1769786067392679,44060
1769786067435687,44060
1769786067478408,44050
1769786067521572,44100
1769786067564517,44050
1769786067607765,44050
1769786067650583,44080
1769786067693789,44040
1769786067736564,44040
1769786067779696,44030
1769786067822694,43950
1769786067869553,44490
1769786067912723,44100
1769786067955589,44100
1769786067998477,44050
1769786068041716,44010
1769786068084835,44000
1769786068127529,44030
1769786068170687,44000
1769786068213725,43990
1769786068256807,44060
1769786068300028,44050
1769786068343205,44110
1769786068389810,44160
1769786068432918,44040
1769786068476075,44070
1769786068519047,44140
1769786068562135,44050
1769786068605045,44240
1769786068647879,44010
1769786068690557,44010
1769786068733529,43980
1769786068775998,44000
1769786068818422,43940
1769786068861589,42370
1769786068904057,41780
1769786068949918,43990
1769786068992690,44080
1769786069035449,44110
1769786069078526,44100
1769786069121284,44170
1769786069164307,44020
1769786069206869,44060
1769786069249858,44030
1769786069293055,43940
1769786069335926,44010
1769786069378985,44100
1769786069422011,43990
1769786069464930,44020
1769786069510035,43970
1769786069553173,44040
1769786069595562,44080
1769786069638125,44070
1769786069681119,44020
1769786069723917,44010
1769786069767142,44060
1769786069809962,44120
1769786069853027,44060
1769786069896053,29410
1769786069938614,22330
1769786069981878,23480
1769786070024959,22940
1769786070070188,19160
1769786070113308,21470
1769786070156332,22830
1769786070199391,23010
1769786070242127,22700
1769786070285173,18710
1769786070328309,21260
1769786070371212,21980
1769786070414245,24310
1769786070457377,23150
1769786070500559,20590
1769786070543114,18710
1769786070585807,22670
1769786070630284,24150
1769786070673480,23400
1769786070716710,21580
1769786070759818,19140
1769786070802699,21170
1769786070845180,22220
1769786070888149,45330
1769786070930973,44290
1769786070973908,44090
1769786071017060,43990
1769786071059965,43960
1769786071102885,44140
1769786071146010,43930
1769786071190343,43960
1769786071233434,44170
1769786071276388,43970
1769786071319656,44040
1769786071362782,44010
1769786071405714,44050
1769786071448631,44020
1769786071491721,44030
1769786071534433,44040
1769786071577558,44010
1769786071620706,44080
1769786071663312,44050
1769786071705793,44020
1769786071750444,43980
1769786071792837,43980
1769786071835425,43940
1769786071878427,43940
1769786071921524,35830
1769786071964613,20020
1769786072007625,24130
1769786072050160,19660
1769786072093030,20930
1769786072136237,22440
1769786072179456,23650
1769786072222650,22540
1769786072265625,20600
1769786072310644,23280
1769786072353757,24120
1769786072396685,21660
1769786072439856,18960
1769786072483055,22540
1769786072525989,23390
1769786072569132,22900
1769786072612068,20580
1769786072655109,19920
1769786072697463,22260
1769786072740392,24590
1769786072783202,23550
1769786072825692,18020
1769786072870823,47330
1769786072913862,44410
1769786072956841,44150
1769786072999732,44060
1769786073042823,44040
1769786073085791,44020
1769786073128183,43990
1769786073171082,44090
1769786073214041,43940
1769786073257204,43980
1769786073299845,44040
1769786073342693,43920
1769786073385195,43910
1769786073431057,43910
1769786073473768,43920
1769786073516930,43980
1769786073559756,44000
1769786073602736,44040
1769786073645852,43930
1769786073688818,44070
1769786073731645,44000
1769786073774850,44070
1769786073817705,44020
1769786073860689,44020
1769786073903592,44040
1769786073946043,44060
1769786073991170,19950
1769786074034269,18400
1769786074077475,22280
1769786074120410,22770
1769786074163343,23040
1769786074205644,23200
1769786074248922,18280
1769786074292056,19730
1769786074334961,23260
1769786074378176,23710
1769786074421238,23420
1769786074464213,20170
1769786074506791,18300
1769786074551170,23000
