unix_timestamp,active_power (mW)
1770299180353637,43840
1770299180396166,29730
1770299180439107,45740
1770299180482305,43820
1770299180525352,43780
1770299180568816,43750
1770299180611998,43740
1770299180655036,43800
1770299180700761,43790
1770299180743827,43820
1770299180786864,43830
1770299180829995,43760
1770299180873025,43780
1770299180916106,43700
1770299180959086,43730
1770299181001821,43720
1770299181044824,43800
1770299181088087,43760
1770299181131088,43790
1770299181174037,43770
1770299181220566,43740
1770299181263600,43760
1770299181306612,43810
1770299181349712,43750
1770299181392875,43770
1770299181436111,43800
1770299181479156,43840
1770299181522141,43890
1770299181565307,43770
1770299181608474,43830
1770299181651396,43840
1770299181694491,43740
1770299181740400,43800
1770299181783394,43760
1770299181826286,43760
1770299181869472,43710
1770299181912525,43810
1770299181955546,43800
1770299181998544,43780
1770299182041605,43860
1770299182084671,43740
1770299182127769,43830
1770299182170722,43760
1770299182213948,43710
1770299182260062,43780
1770299182303046,43780
1770299182346156,43850
1770299182388867,43840
1770299182432000,43770
1770299182474841,43730
1770299182517957,43840
1770299182560884,43920
1770299182603964,43750
1770299182646961,43780
1770299182690001,43880
1770299182733002,43800
1770299182779804,43750
1770299182822842,43750
1770299182865608,43720
1770299182908633,43750
1770299182951742,43760
1770299182994514,43810
1770299183037374,43790
1770299183080541,43770
1770299183123590,43750
1770299183166547,43710
1770299183209450,43750
1770299183252727,43810
1770299183299449,43850
1770299183342481,43740
1770299183385536,43690
1770299183428511,43920
1770299183471519,43640
1770299183514561,43750
1770299183557486,44040
1770299183600779,43930
1770299183643994,43780
1770299183686901,43790
1770299183729882,43820
1770299183773070,43750
1770299183819204,43720
1770299183862350,43820
1770299183905131,43720
1770299183948058,43760
1770299183990834,43840
1770299184033971,43730
1770299184076971,43720
1770299184119946,43740
1770299184162808,43740
1770299184205838,43820
1770299184248860,43810
1770299184291874,43820
1770299184334972,43860
1770299184378845,43790
1770299184422024,43750
1770299184464590,43740
1770299184507747,43740
1770299184550862,43790
1770299184593814,43880
1770299184636557,43820
1770299184679486,43780
1770299184722655,43840
1770299184765686,43690
1770299184808570,43820
1770299184851534,43810
1770299184898771,43820
1770299184941817,43840
1770299184984990,43800
1770299185028022,43850
1770299185070952,43670
1770299185113946,43730
1770299185156975,43820
1770299185199873,43790
1770299185242911,43820
1770299185285825,43740
1770299185328730,43790
1770299185371931,43720
1770299185418550,43830
1770299185461597,43770
1770299185504746,43800
1770299185547615,43830
1770299185590771,43730
1770299185633993,43890
1770299185677107,43770
1770299185719982,43760
1770299185763215,43700
1770299185806271,43730
1770299185849284,43740
1770299185892418,43860
1770299185938162,43810
1770299185981043,43820
1770299186024101,43800
1770299186066930,43660
1770299186110005,43750
1770299186153166,43750
1770299186196206,43770
1770299186239027,43850
1770299186281964,43770
1770299186324931,43860
1770299186367912,43860
1770299186410853,43860
1770299186453759,43840
1770299186498117,43940
1770299186541152,43870
1770299186584142,43810
1770299186627225,43820
1770299186670344,43820
1770299186713344,43910
1770299186756479,43910
1770299186799701,43850
1770299186842810,43950
1770299186885938,43940
1770299186928633,43920
1770299186971700,43830
1770299187017939,43780
1770299187061030,43810
1770299187104096,43840
1770299187147087,43780
1770299187190051,43850
1770299187233037,43800
1770299187276170,43820
1770299187319053,43770
1770299187361869,43780
1770299187404940,43770
1770299187447984,43730
1770299187491034,43970
1770299187537526,43940
