unix_timestamp,active_power (mW)
1774531276768056,43950
1774531276814077,38370
1774531276856999,42680
1774531276900619,44270
1774531276943559,44020
1774531276986601,44010
1774531277029723,44080
1774531277072920,44090
1774531277115971,44050
1774531277158950,44000
1774531277202120,43990
1774531277244959,44030
1774531277287953,44040
1774531277333479,44060
1774531277376468,44040
1774531277419493,44060
1774531277462641,44000
1774531277505819,44030
1774531277548951,44150
1774531277592174,44050
1774531277635246,44110
1774531277678329,44030
1774531277721396,44150
1774531277764359,44050
1774531277807366,43980
1774531277853031,43990
1774531277896095,44030
1774531277939167,44000
1774531277981786,44150
1774531278024807,44040
1774531278067693,44020
1774531278110508,43980
1774531278153618,43960
1774531278196716,44010
1774531278239784,43930
1774531278282835,43990
1774531278325891,43900
1774531278372358,43930
1774531278415531,43980
1774531278458752,43920
1774531278501930,44000
1774531278545096,44030
1774531278588229,44000
1774531278631375,43980
1774531278674218,44030
1774531278717146,44030
1774531278760289,44020
1774531278803357,44030
1774531278846401,44020
1774531278892041,44010
1774531278934824,44050
1774531278977859,43990
1774531279020821,44030
1774531279063807,44040
1774531279106874,44040
1774531279149986,44020
1774531279192770,43990
1774531279236036,44030
1774531279279137,44010
1774531279322228,44000
1774531279365352,44010
1774531279411614,44050
1774531279454585,44110
1774531279497134,44070
1774531279540244,44020
1774531279583346,44150
1774531279625916,44020
1774531279668936,44080
1774531279711957,44070
1774531279755153,44050
1774531279797519,43980
1774531279840687,44040
1774531279883577,43990
1774531279926646,43980
1774531279971071,44100
1774531280014130,44200
1774531280057437,44110
1774531280100593,44070
1774531280143681,44040
1774531280186100,44080
1774531280229335,44040
1774531280272516,43980
1774531280315301,44020
1774531280358400,43960
1774531280401579,44000
1774531280444547,44030
1774531280490504,43970
1774531280533553,43940
1774531280576499,44020
1774531280619681,44020
1774531280662815,44000
1774531280705844,44060
1774531280748901,43890
1774531280791981,44000
1774531280834781,44020
1774531280877814,44060
1774531280921016,43990
1774531280964163,43910
1774531281010021,43960
1774531281053106,43990
1774531281096269,43950
1774531281139401,44030
1774531281182398,43910
1774531281225403,44080
1774531281268380,43970
1774531281311418,44000
1774531281354453,44010
1774531281397497,44050
1774531281440453,44020
1774531281483498,44100
1774531281529571,43990
1774531281571978,44160
1774531281614841,43970
1774531281657732,44120
1774531281700889,44150
1774531281743467,44070
1774531281786509,44020
1774531281829301,44000
1774531281872476,44060
1774531281915681,44070
1774531281958675,43940
1774531282001877,44050
1774531282045014,44040
1774531282089225,44110
1774531282132255,44070
1774531282175342,44040
1774531282217842,44010
1774531282260552,44020
1774531282303673,44060
1774531282346912,43980
1774531282390140,43960
1774531282433282,44140
1774531282476359,43970
1774531282519235,44010
1774531282562324,44000
1774531282608543,43960
1774531282651503,43980
1774531282694468,43980
1774531282737773,43980
1774531282780768,43980
1774531282824022,43940
1774531282867227,43990
1774531282910358,44110
1774531282953511,43980
1774531282996469,44020
1774531283039563,44070
1774531283082576,44020
1774531283128220,44010
1774531283171348,44040
1774531283214412,43980
1774531283257587,44050
1774531283300624,44070
1774531283343659,44000
1774531283386260,44030
1774531283429275,44040
1774531283472415,43990
1774531283515723,44010
1774531283558920,44200
1774531283601695,44020
1774531283647667,44010
1774531283690147,43950
1774531283733161,44000
1774531283776373,43970
1774531283819510,43950
1774531283862364,43930
1774531283905384,43990
1774531283948305,44050
1774531283991181,43980
1774531284033711,43970
1774531284076836,44000
1774531284119941,44010
1774531284162955,44110
1774531284207136,43920
1774531284250185,43960
1774531284293222,43900
1774531284336236,44130
1774531284379221,43990
1774531284421693,43980
1774531284464732,43980
1774531284507728,43970
1774531284550916,44000
1774531284593690,44050
1774531284636723,44090
1774531284679708,43980
1774531284722363,44040
1774531284766831,44060
1774531284809949,44000
1774531284853059,44100
1774531284896045,43990
1774531284939546,44040
1774531284982702,44070
1774531285025372,44060
1774531285068446,44070
1774531285111433,44050
1774531285154366,44020
1774531285197488,44060
1774531285240530,43970
1774531285286402,44100
1774531285329467,43990
1774531285372593,44020
1774531285415452,44050
1774531285458484,44080
1774531285501546,43970
1774531285544615,44110
1774531285587403,44060
1774531285630494,44080
1774531285673410,44040
1774531285716355,44130
1774531285759191,44040
1774531285801615,43950
1774531285846013,44040
1774531285889045,44040
1774531285932248,43970
1774531285975001,44060
1774531286018000,43980
1774531286061116,44040
1774531286104139,44030
1774531286147432,44000
1774531286190585,44180
1774531286233516,44090
1774531286276648,44130
1774531286319604,44100
1774531286365759,44070
1774531286408872,44060
1774531286452006,44000
1774531286495080,44000
1774531286538188,44030
1774531286581384,43950
1774531286624347,44000
1774531286667306,44070
1774531286710520,44080
1774531286753444,44010
1774531286796481,43990
1774531286839492,44030
1774531286885256,43990
1774531286928363,44040
1774531286971368,44040
1774531287013905,43990
1774531287057117,44200
1774531287100243,44020
1774531287143408,44040
1774531287186265,43980
1774531287229498,44030
1774531287272537,43910
1774531287315422,44040
1774531287358357,44070
1774531287404689,43990
1774531287447786,43990
1774531287490656,44040
1774531287533911,44070
1774531287576893,44180
1774531287619928,43890
1774531287662549,44010
1774531287705548,43940
1774531287748541,43940
1774531287791647,43990
1774531287834778,43970
1774531287877853,44010
1774531287924209,43940
1774531287967406,43980
1774531288010534,43970
1774531288053686,43980
1774531288096878,44010
1774531288140084,43940
1774531288183203,44020
1774531288226128,44090
1774531288269185,43920
1774531288312189,44090
1774531288355283,44010
1774531288398170,44070
1774531288443922,44000
1774531288487081,44030
1774531288530259,44040
1774531288573361,44080
1774531288616314,44080
1774531288659390,44100
1774531288702297,44120
1774531288745475,44010
1774531288788545,44020
1774531288831416,44060
1774531288874370,44060
1774531288917377,43990
1774531288963508,43980
1774531289006533,44010
1774531289049556,44010
1774531289092490,44000
1774531289135508,44020
1774531289178502,44000
1774531289221461,43970
1774531289264487,43880
1774531289307521,43920
1774531289350611,44000
1774531289393736,43940
1774531289436926,43970
1774531289483032,43980
1774531289525734,43940
1774531289568943,44170
1774531289612053,44040
1774531289655373,43990
1774531289698808,44210
1774531289741782,44080
1774531289784897,44130
1774531289828002,44010
1774531289871050,44100
1774531289914180,44040
1774531289957345,44030
1774531290002718,44070
1774531290045779,44110
1774531290088943,43990
1774531290132095,44020
1774531290175235,44010
1774531290218356,44080
1774531290261330,44030
1774531290304355,44150
1774531290347205,44110
1774531290389688,44020
1774531290432912,43930
1774531290476072,44050
1774531290522178,44000
1774531290565192,43960
1774531290608227,44020
1774531290650839,44030
1774531290694015,43980
1774531290737185,43940
1774531290780351,43970
1774531290823177,44010
1774531290866298,44020
1774531290909560,43940
1774531290952667,43950
1774531290995560,43960
1774531291041641,44110
1774531291085184,44030
1774531291128288,44060
1774531291171428,44070
1774531291214435,44090
1774531291257408,44030
1774531291300290,44010
1774531291343456,44020
1774531291385839,44020
1774531291428941,43960
1774531291471924,43900
1774531291514992,44010
1774531291561066,44010
1774531291604238,44120
1774531291647399,43970
1774531291690134,43940
1774531291733292,43960
1774531291776415,44030
1774531291819599,43930
1774531291862157,43980
1774531291905346,43960
1774531291948436,43960
1774531291991544,44030
1774531292034252,43930
1774531292080603,43930
1774531292123663,43960
1774531292166828,43930
1774531292209893,43940
1774531292253112,43960
1774531292296326,43930
1774531292339361,44090
1774531292381904,44040
1774531292424951,44070
1774531292467930,44040
1774531292510939,43930
1774531292554037,43960
1774531292600075,43980
1774531292643061,43990
1774531292686181,43960
1774531292729321,44030
1774531292772614,44030
1774531292815644,43900
1774531292858492,44010
1774531292901456,44030
1774531292944548,44040
1774531292987577,44030
1774531293030485,43920
1774531293073524,44040
1774531293119413,43940
1774531293162451,43970
1774531293205360,44030
1774531293248460,43920
1774531293291569,43930
1774531293334387,43920
1774531293377510,43940
1774531293420380,43990
1774531293463311,43990
1774531293506373,44100
1774531293549579,44100
1774531293592722,43910
1774531293638887,44010
1774531293681905,44110
1774531293724379,44040
1774531293767550,44020
1774531293810744,43960
1774531293853896,43950
1774531293897082,43980
1774531293940219,44010
1774531293983287,44050
1774531294026272,43980
1774531294069398,44070
1774531294112545,44030
1774531294158223,44010
1774531294201294,44010
1774531294244540,43980
1774531294287618,43990
1774531294330387,44010
1774531294373497,44050
1774531294416431,43990
1774531294459351,44030
1774531294502394,44010
1774531294545215,44070
1774531294588180,44030
1774531294631137,43960
