unix_timestamp,active_power (mW)
1769529798378250,43580
1769529798420834,44150
1769529798464071,45470
1769529798508112,45400
1769529798550747,45470
1769529798593860,45480
1769529798638088,45440
1769529798681268,45450
1769529798724379,45400
1769529798767289,45440
1769529798809780,45450
1769529798853061,45440
1769529798896039,45420
1769529798938746,45480
1769529798981906,45430
1769529799025152,45470
1769529799068082,45450
1769529799110899,45620
1769529799153778,45430
1769529799198166,45460
1769529799241263,45460
1769529799284342,45500
1769529799327375,45490
1769529799370423,45480
1769529799413124,45490
1769529799456186,45470
1769529799499252,45510
1769529799541997,45400
1769529799585212,45530
1769529799628074,45500
1769529799671252,45430
1769529799718096,45390
1769529799761225,45370
1769529799804342,45350
1769529799847288,45410
1769529799890373,45420
1769529799933383,45450
1769529799976604,45410
1769529800019535,45480
1769529800062601,45430
1769529800105533,45450
1769529800148588,45570
1769529800191546,45500
1769529800237978,45470
1769529800281208,45480
1769529800324267,45490
1769529800367533,45500
1769529800409882,45420
1769529800452848,45380
1769529800496086,45360
1769529800538745,45360
1769529800581651,45370
1769529800624636,45350
1769529800667741,45290
1769529800710746,45260
1769529800752967,45340
1769529800797701,45250
1769529800840867,45270
1769529800883320,45300
1769529800926491,45260
1769529800969447,45210
1769529801012540,45210
1769529801055546,45230
1769529801098827,45220
1769529801141857,45380
1769529801185215,45370
1769529801228232,45340
1769529801271298,45320
1769529801317755,45440
1769529801360755,45390
1769529801403672,45370
1769529801446752,45410
1769529801489461,45530
1769529801532168,45500
1769529801575039,45480
1769529801617880,45520
1769529801661234,45480
1769529801704339,45420
1769529801747000,45480
1769529801789953,45420
1769529801833254,45390
1769529801877526,45320
1769529801920535,45340
1769529801963493,45370
1769529802005821,45380
1769529802048420,45370
1769529802092044,45250
1769529802135039,45240
1769529802177978,45330
1769529802221222,45230
1769529802264377,45270
1769529802307128,45260
1769529802350060,45270
1769529802393316,45230
1769529802437302,45250
1769529802480377,45270
1769529802523174,45200
1769529802565769,45260
1769529802608791,45230
1769529802651740,45240
1769529802695016,45200
1769529802737876,45300
1769529802780783,45230
1769529802823842,45330
1769529802867036,45290
1769529802909804,45370
1769529802952752,45270
1769529802997060,45320
1769529803040143,45320
1769529803083316,45320
1769529803125801,45290
1769529803169037,45330
1769529803211552,45390
1769529803254517,45300
1769529803297195,45410
1769529803340107,45350
1769529803383263,45420
1769529803426268,45410
1769529803469299,45400
1769529803512261,45400
1769529803556978,45260
1769529803599925,45270
1769529803642559,45310
1769529803685658,45380
1769529803728058,45360
1769529803770483,45340
1769529803813460,45400
1769529803856495,45300
1769529803899549,45360
1769529803942444,45320
1769529803985497,45300
1769529804028477,45310
1769529804071544,45300
1769529804116667,45330
1769529804159376,45340
1769529804202321,45470
1769529804245481,45280
1769529804288368,45280
1769529804331433,45230
1769529804374628,45370
1769529804417832,45220
1769529804460871,45320
1769529804503452,45400
1769529804546275,45350
1769529804589537,45280
1769529804636369,45200
1769529804679239,45310
1769529804722342,45290
1769529804765559,45350
1769529804808486,45310
1769529804851571,45400
1769529804894746,45260
1769529804937115,45240
1769529804979952,45210
1769529805022933,45230
1769529805066108,45240
1769529805109289,45260
1769529805156206,45380
1769529805199319,45310
1769529805241697,45360
1769529805284802,45290
1769529805328098,45170
1769529805371321,45180
1769529805414565,45190
1769529805457548,45190
1769529805500404,45270
1769529805543262,45260
1769529805585905,45310
1769529805629073,45320
1769529805675935,45320
1769529805719050,45180
1769529805762235,45260
1769529805804861,45280
1769529805847869,45260
1769529805891074,45250
1769529805934349,45290
1769529805976656,45350
1769529806019755,45290
1769529806062871,45290
1769529806105829,45210
1769529806148920,45240
1769529806191236,45280
1769529806235727,45300
1769529806278916,45290
1769529806321735,45340
1769529806364933,45320
1769529806407909,45410
1769529806450692,45390
1769529806493856,45450
1769529806537065,45430
1769529806579867,45410
1769529806622474,45320
1769529806665589,45320
1769529806708385,45320
1769529806750751,45260
1769529806795553,45340
1769529806838290,45410
1769529806881506,45330
1769529806924668,45330
1769529806967608,45270
1769529807010648,45260
1769529807053861,45270
1769529807096960,45310
1769529807139875,45300
1769529807183029,45310
1769529807225913,45220
1769529807269134,45260
1769529807315312,45210
1769529807358370,45300
1769529807401347,45290
1769529807444441,45310
1769529807487551,45310
1769529807530732,45360
1769529807574612,45290
1769529807617795,45210
1769529807661009,45160
1769529807704208,45270
1769529807746758,45260
1769529807790020,45330
1769529807835014,45310
1769529807877752,45280
1769529807920910,45290
1769529807963990,45320
1769529808006236,45190
1769529808049380,45230
1769529808092597,45270
1769529808135616,45280
1769529808178491,45380
1769529808221539,45300
1769529808264444,45370
1769529808307586,45370
1769529808350690,45520
1769529808394898,45300
1769529808437996,45260
1769529808480846,45200
1769529808523920,45260
1769529808566703,45290
1769529808609876,45320
1769529808652797,45320
1769529808695720,45350
1769529808738512,45260
1769529808781677,45230
1769529808824610,45150
1769529808867608,45190
1769529808910672,45260
1769529808954556,45370
1769529808997567,45300
1769529809040656,45390
1769529809083805,45360
1769529809126550,45250
1769529809169617,45160
1769529809212489,45180
1769529809255489,45120
1769529809298651,45270
1769529809341723,45400
1769529809384609,45380
1769529809427492,45380
1769529809470087,45400
1769529809514268,45280
1769529809557292,45370
1769529809600328,45250
1769529809643198,45280
1769529809685723,45300
1769529809728002,45230
1769529809770251,45230
1769529809813494,45330
1769529809856584,45360
1769529809899469,45400
1769529809942669,45370
1769529809985848,45450
1769529810028764,45370
1769529810074207,45330
1769529810117244,45280
1769529810160358,45360
1769529810203019,45300
1769529810246042,45280
1769529810289003,45370
1769529810331837,45380
1769529810374786,45480
1769529810417937,45380
1769529810461034,45320
1769529810503918,45370
1769529810547205,45310
1769529810589925,45310
1769529810633915,45250
1769529810676945,45300
1769529810720037,45330
1769529810762846,45360
1769529810805800,45320
1769529810848776,45270
1769529810891940,45260
1769529810934666,45190
1769529810977630,45280
1769529811020888,45270
1769529811063595,45280
1769529811106271,45270
1769529811149419,45280
1769529811193683,45260
1769529811236806,45330
1769529811279952,45320
1769529811322517,45340
1769529811365466,45280
1769529811408612,45430
1769529811451506,45210
1769529811494535,45180
1769529811537523,45230
1769529811580281,45250
1769529811623048,45270
1769529811665813,45220
1769529811708941,45290
1769529811753676,45340
1769529811796760,45370
1769529811839686,45370
1769529811882672,45350
1769529811925646,45310
1769529811968770,45280
1769529812011910,45200
1769529812054601,45230
1769529812097699,45250
1769529812140677,45230
1769529812183711,45310
1769529812226826,45310
1769529812273444,45340
1769529812316489,45320
1769529812359261,45290
1769529812401783,45420
1769529812444948,45160
1769529812487943,45200
1769529812531041,45200
1769529812574273,45320
1769529812617496,45300
1769529812660373,45360
1769529812703179,45400
1769529812745487,45260
1769529812788443,45270
1769529812833221,45190
1769529812876311,45240
1769529812919493,45210
1769529812962465,45250
1769529813005549,45360
1769529813048718,45270
1769529813091689,45340
1769529813134849,45330
1769529813177993,45310
1769529813221109,45310
1769529813263823,45320
1769529813306780,45240
1769529813352977,45230
1769529813395362,45240
1769529813438544,45370
1769529813481583,45380
1769529813524504,45420
1769529813567459,45370
1769529813611243,45330
1769529813653875,45370
1769529813697056,45370
1769529813740205,45230
1769529813782825,45230
1769529813825920,45220
1769529813872802,45250
1769529813915991,45240
1769529813958785,45310
1769529814001982,45360
1769529814045138,45340
1769529814088093,45310
1769529814130825,45310
1769529814173828,45330
1769529814216616,45280
1769529814259671,45230
1769529814302568,45170
1769529814345790,45220
1769529814392643,45280
1769529814435455,45370
1769529814477937,45330
1769529814520876,45340
1769529814563985,45360
1769529814606598,45270
1769529814649635,45400
1769529814692550,45420
1769529814735298,45400
1769529814777451,45000
