unix_timestamp,active_power (mW)
1770649674703382,50600
1770649674746421,50770
1770649674791048,50500
1770649674834204,50550
1770649674877404,50550
1770649674920586,50540
1770649674963714,50470
1770649675006665,50520
1770649675049738,50490
1770649675092955,50430
1770649675136139,50550
1770649675179305,50530
1770649675222284,50440
1770649675265441,50450
1770649675310815,50350
1770649675353911,50450
1770649675396960,50490
1770649675439962,50520
1770649675482990,50500
1770649675525661,50430
1770649675568885,50420
1770649675612078,50340
1770649675655264,50390
1770649675698490,50450
1770649675741717,50440
1770649675784807,50300
1770649675830695,50430
1770649675873778,50530
1770649675916636,50500
1770649675959697,50410
1770649676002590,50470
1770649676045561,50500
1770649676088671,50540
1770649676131502,50420
1770649676174388,50440
1770649676217488,50490
1770649676260625,50480
1770649676303638,50480
1770649676350318,50450
1770649676393520,50410
1770649676436709,50460
1770649676479640,50480
1770649676522722,50610
1770649676565627,50480
1770649676608667,50530
1770649676651611,50510
1770649676694469,50530
1770649676736950,50460
1770649676780140,50450
1770649676823303,50460
1770649676870148,50500
1770649676913233,50450
1770649676956257,50460
1770649676999295,50500
1770649677042466,50480
1770649677085488,50510
1770649677128565,50450
1770649677171505,50400
1770649677214603,50450
1770649677257520,50410
1770649677300535,50490
1770649677343533,50500
1770649677389918,50490
1770649677433127,50400
1770649677476233,50460
1770649677519157,50580
1770649677561905,50490
1770649677604819,50480
1770649677648056,50440
1770649677691207,50430
1770649677734177,50510
1770649677777218,50520
1770649677820381,50510
1770649677863460,50430
1770649677909795,50470
1770649677952792,50470
1770649677995746,50570
1770649678038758,50420
1770649678081389,50540
1770649678124423,50560
1770649678167466,50460
1770649678210322,50460
1770649678253401,50500
1770649678296601,50470
1770649678339526,50430
1770649678382587,50510
1770649678429451,50430
1770649678472705,50620
1770649678515834,50520
1770649678558794,50450
1770649678601625,50550
1770649678644663,50560
1770649678687537,50530
1770649678730610,50480
1770649678773599,50460
1770649678816781,50490
1770649678859821,50480
1770649678902810,50460
1770649678949233,50460
1770649678992384,50510
1770649679035532,50450
1770649679078055,50470
1770649679121269,50440
1770649679164392,50480
1770649679207556,50520
1770649679250605,50450
1770649679293649,50400
1770649679336601,50480
1770649679379641,50460
1770649679422681,50460
1770649679468983,50480
1770649679511432,50460
1770649679554618,50540
1770649679597746,50470
1770649679640745,50420
1770649679683796,50470
1770649679726811,50310
1770649679769872,50390
1770649679812925,50480
1770649679855947,50450
1770649679899144,50500
1770649679941839,50610
1770649679988823,50420
1770649680031878,50410
1770649680074769,50530
1770649680117465,50440
1770649680160708,50400
1770649680203769,50400
1770649680246761,50310
1770649680289525,50290
1770649680332616,50320
1770649680375612,50400
1770649680418804,50410
1770649680461564,50400
1770649680508575,50400
1770649680551691,50460
1770649680594784,50440
1770649680637426,50500
1770649680680597,50480
1770649680723374,50450
1770649680766291,50510
1770649680809392,50470
1770649680852668,50450
1770649680895704,50530
1770649680938628,50400
1770649680981509,50500
1770649681028407,50420
1770649681071508,50420
1770649681114527,50450
1770649681157500,50450
1770649681200044,50450
1770649681243073,50490
1770649681286115,50370
1770649681328368,50500
1770649681371457,50500
1770649681414512,50530
1770649681456720,50430
1770649681499772,50460
1770649681542628,50500
1770649681588164,50450
1770649681631218,50490
1770649681674498,50500
1770649681717616,50520
1770649681760644,50250
1770649681803689,50480
1770649681846618,50430
1770649681889634,50460
1770649681932650,50540
1770649681975670,50460
1770649682018761,50480
1770649682061686,50500
1770649682108071,50470
1770649682151087,50500
1770649682194225,50570
1770649682237328,50510
1770649682280370,50440
1770649682323512,50510
1770649682366601,50510
1770649682409627,50600
1770649682452682,50540
1770649682495862,50570
1770649682539090,50500
1770649682581988,50520
1770649682627651,50420
1770649682670601,50530
1770649682713729,50550
1770649682756826,50380
1770649682799740,50500
1770649682842926,50500
1770649682885465,50470
1770649682928530,50450
1770649682971496,50510
1770649683014527,50470
1770649683057480,50540
1770649683100581,50510
1770649683147535,50450
1770649683190567,50440
1770649683232933,50490
1770649683275974,50510
1770649683319110,50480
1770649683362119,50510
1770649683405048,50430
1770649683448065,50510
1770649683491114,50460
1770649683534326,50530
1770649683577503,50500
1770649683620498,50460
1770649683667291,50470
1770649683709982,50530
1770649683753136,50560
1770649683796159,50360
1770649683839097,50540
1770649683882327,50430
1770649683925536,50400
1770649683968741,50470
1770649684011735,50430
1770649684054686,50370
1770649684097628,50410
1770649684140826,50380
1770649684186851,50320
1770649684229980,50370
1770649684273238,50380
1770649684316352,50420
1770649684359301,50310
1770649684401958,50340
1770649684444929,50290
1770649684488031,50320
1770649684531131,50470
1770649684574115,50310
1770649684617222,50270
1770649684660264,50420
1770649684706600,50310
1770649684749637,50340
1770649684792645,50360
1770649684835642,50330
1770649684878740,50350
1770649684921433,50360
1770649684964493,50300
1770649685007536,50320
1770649685050667,50430
1770649685092985,50330
1770649685135960,50390
1770649685179054,50350
1770649685222168,50440
1770649685266480,50500
1770649685309606,50450
1770649685352769,50570
1770649685395715,50390
1770649685438771,50470
1770649685481359,50470
1770649685524235,50490
1770649685567361,50480
1770649685610513,50490
1770649685653042,50490
1770649685696071,50540
1770649685739122,50440
1770649685782285,50500
1770649685826296,50570
1770649685868705,50390
1770649685911635,50480
1770649685954415,50420
1770649685997504,50500
1770649686040669,50520
1770649686083627,50490
1770649686126683,50450
1770649686169655,50450
1770649686212668,50410
1770649686255584,50450
1770649686298201,50540
1770649686340902,50460
1770649686386056,50480
1770649686429018,50490
1770649686471995,50550
1770649686515081,50920
1770649686558079,50550
1770649686601203,50540
1770649686644340,50490
1770649686687403,50480
1770649686730477,50550
1770649686773663,50520
1770649686816678,50520
1770649686859745,50530
1770649686905796,50460
1770649686948935,50450
1770649686992054,50520
1770649687035166,50420
1770649687077838,50550
1770649687120950,50470
1770649687163987,50400
1770649687207014,50580
