unix_timestamp,active_power (mW)
1770653916941619,49240
1770653916984310,49530
1770653917027362,49190
1770653917070478,49610
1770653917113554,49200
1770653917156539,49170
1770653917199698,49170
1770653917242541,49180
1770653917285564,49170
1770653917329013,49200
1770653917372006,49240
1770653917417428,49160
1770653917460658,49140
1770653917503588,49130
1770653917546292,49120
1770653917589282,49200
1770653917632285,49170
1770653917675364,49230
1770653917718400,49130
1770653917761027,49210
1770653917804139,49150
1770653917847043,49120
1770653917889983,49110
1770653917933113,49110
1770653917977696,49120
1770653918020703,49230
1770653918063795,49110
1770653918106799,49200
1770653918149636,49150
1770653918192692,49250
1770653918235843,49270
1770653918279087,49260
1770653918322281,49240
1770653918365503,49180
1770653918408526,49190
1770653918451385,49140
1770653918497794,49290
1770653918540962,49330
1770653918583938,49200
1770653918627076,49230
1770653918670300,49110
1770653918713300,49120
1770653918756012,49120
1770653918799008,49230
1770653918842171,49230
1770653918885197,49200
1770653918928394,49150
1770653918971634,49150
1770653919018224,49150
1770653919061328,49160
1770653919104351,49090
1770653919147409,49230
1770653919190427,49260
1770653919233603,49170
1770653919276743,49260
1770653919319585,49180
1770653919362199,49160
1770653919405140,49150
1770653919448230,49140
1770653919491317,49150
1770653919534130,49220
1770653919578368,49220
1770653919621062,49290
1770653919664129,49230
1770653919707146,49180
1770653919750218,49170
1770653919793317,49160
1770653919836375,49080
1770653919879364,49180
1770653919922280,49180
1770653919965428,49120
1770653920008501,49150
1770653920051567,49120
1770653920098592,49170
1770653920141647,49270
1770653920184610,49270
1770653920227728,49260
1770653920270277,49310
1770653920313325,49200
1770653920356369,49030
1770653920399728,49000
1770653920442812,49040
1770653920485384,49220
1770653920528667,49360
1770653920571883,49220
1770653920618802,49170
1770653920661778,49160
1770653920704754,49090
1770653920747697,49190
1770653920790547,49190
1770653920833107,49190
1770653920876252,49190
1770653920919216,49220
1770653920962402,49330
1770653921005421,49280
1770653921047802,49170
1770653921090840,49220
1770653921133838,49210
1770653921179053,49190
1770653921222188,49190
1770653921265459,49260
1770653921308616,49280
1770653921351544,49190
1770653921394799,49280
1770653921437853,49140
1770653921480848,49190
1770653921524021,49200
1770653921566839,49110
1770653921609778,49050
1770653921653002,49110
1770653921699093,49120
1770653921742000,49190
1770653921785183,49260
1770653921828014,49230
1770653921871137,49180
1770653921914235,49140
1770653921957330,49150
1770653922000424,49170
1770653922043551,49240
1770653922086607,49230
1770653922129390,49290
1770653922172348,49200
1770653922219606,49300
1770653922262694,49270
1770653922305887,49190
1770653922348285,49190
1770653922391313,49200
1770653922434094,49230
1770653922477122,49140
1770653922520224,49280
1770653922563314,49190
1770653922606310,49230
1770653922648758,49170
1770653922691723,49240
1770653922734863,49180
1770653922779613,49070
1770653922822715,49030
1770653922865836,49060
1770653922909165,48950
1770653922951950,49020
1770653922995032,49080
1770653923038161,49230
1770653923080772,49250
1770653923123954,49300
1770653923167082,49320
1770653923209743,49000
1770653923252620,49130
1770653923295881,49110
1770653923339870,49170
1770653923383022,49220
1770653923426101,49220
1770653923469064,49230
1770653923512100,49240
1770653923554520,49160
1770653923597476,49180
1770653923640371,49170
1770653923683345,49150
1770653923726475,49200
1770653923769439,49290
1770653923812541,49260
1770653923855564,49200
1770653923900148,49240
1770653923943208,49240
1770653923986239,49130
1770653924028722,49030
1770653924071794,49190
1770653924114741,49030
1770653924157320,49140
