unix_timestamp,active_power (mW)
1770651268612270,48310
1770651268654963,48580
1770651268697667,48240
1770651268740744,48290
1770651268783608,48310
1770651268826607,48310
1770651268869658,48290
1770651268912707,48320
1770651268955717,48300
1770651268998638,48250
1770651269041807,48290
1770651269084872,48380
1770651269127952,48340
1770651269172224,48300
1770651269215031,48360
1770651269257526,48380
1770651269300500,48420
1770651269343576,48370
1770651269386496,48330
1770651269429679,48420
1770651269472941,48250
1770651269515966,48290
1770651269559067,48230
1770651269601802,48180
1770651269644962,48200
1770651269687992,48250
1770651269732153,48210
1770651269775321,48290
1770651269818085,48360
1770651269861331,48340
1770651269904595,48360
1770651269947715,48330
1770651269990602,48330
1770651270033620,48370
1770651270077068,48260
1770651270120253,48310
1770651270163260,48330
1770651270206343,48330
1770651270252154,48330
1770651270295172,48320
1770651270338262,48290
1770651270381191,48210
1770651270423827,48250
1770651270466398,48260
1770651270509517,48410
1770651270552609,48200
1770651270595672,48200
1770651270638748,48310
1770651270681738,48240
1770651270724809,48180
1770651270767726,48190
1770651270812119,48250
1770651270855196,48220
1770651270898357,48280
1770651270941459,48300
1770651270984426,48320
1770651271027335,48270
1770651271070513,48360
1770651271114072,48300
1770651271157310,48430
1770651271200141,48380
1770651271243311,48370
1770651271286478,48380
1770651271332022,48360
1770651271375125,48290
1770651271418248,48310
1770651271460723,48370
1770651271503741,48290
1770651271546531,48350
1770651271589745,48290
1770651271632803,48400
1770651271675779,48330
1770651271718478,48460
1770651271761585,48410
1770651271804756,48380
1770651271847688,48410
1770651271892088,48410
1770651271935170,48460
1770651271978340,48560
1770651272021249,48480
1770651272064475,48490
1770651272107606,48460
1770651272150530,48500
1770651272193739,48430
1770651272236636,48440
1770651272279732,48380
1770651272322692,48380
1770651272365504,48340
1770651272411972,48260
1770651272455031,48280
1770651272497978,48380
1770651272541074,48290
1770651272584055,48250
1770651272627120,48290
1770651272669933,48380
1770651272713153,48360
1770651272756264,48350
1770651272799280,48430
1770651272841820,48360
1770651272884711,48400
1770651272927951,48340
1770651272971884,48370
1770651273014807,48400
1770651273057820,48220
1770651273101056,48430
1770651273144196,48320
1770651273187356,48390
1770651273230451,48390
1770651273273517,48370
1770651273316451,48230
1770651273359647,48180
1770651273402749,48300
1770651273445588,48250
1770651273491779,48210
1770651273534732,48200
1770651273577456,48210
1770651273620469,48180
1770651273663471,48190
1770651273706424,48200
1770651273749510,48240
1770651273792782,48170
1770651273835766,48240
1770651273878870,48260
1770651273921923,48250
1770651273964991,48250
1770651274011758,48270
1770651274054890,48280
1770651274098033,48250
1770651274141032,48290
1770651274184168,48330
1770651274227283,48310
1770651274270271,48360
1770651274313423,48290
1770651274356500,48310
1770651274399519,48290
1770651274442542,48330
1770651274485559,48460
1770651274531783,48260
1770651274574856,48320
1770651274617291,48190
1770651274660271,48390
1770651274702718,48410
1770651274745869,48330
1770651274788827,48380
1770651274831689,48310
1770651274874524,48450
1770651274917382,48330
1770651274960510,48370
1770651275003485,48410
1770651275046690,48390
1770651275091736,48320
1770651275134840,48350
1770651275177687,48420
1770651275220365,48410
1770651275263492,48410
1770651275306541,48450
1770651275349610,48350
1770651275392747,48390
1770651275435823,48330
1770651275478780,48490
1770651275521481,48380
1770651275564571,48380
1770651275607915,48780
1770651275651608,48380
1770651275694631,48390
1770651275737653,48400
1770651275780914,48500
1770651275823721,48350
1770651275866496,48430
1770651275908830,48400
1770651275951929,48420
1770651275994795,48440
1770651276037333,48390
1770651276080348,48370
1770651276123514,48320
1770651276166723,48300
1770651276211853,48350
1770651276254819,48360
1770651276297733,48430
1770651276340754,48380
1770651276383773,48470
1770651276426759,48430
1770651276469507,48490
1770651276512539,48470
1770651276555396,48520
1770651276598280,48470
1770651276641577,48480
1770651276684625,48490
1770651276727481,48430
1770651276771837,48490
1770651276814838,48450
1770651276858252,48430
1770651276901391,48450
1770651276944697,48440
1770651276987881,48390
1770651277030758,48390
1770651277073625,48350
1770651277117105,48390
1770651277160395,48300
1770651277203615,48250
1770651277246748,48270
1770651277291902,48250
1770651277334965,48170
1770651277377683,48190
1770651277420788,48210
1770651277463903,48200
1770651277507047,48330
1770651277549963,48290
1770651277592855,48420
1770651277635463,48430
1770651277678692,48470
1770651277721664,48460
1770651277764730,48430
1770651277807630,48440
1770651277852027,48420
1770651277894867,48500
1770651277938049,48500
1770651277981252,48470
1770651278024448,48540
1770651278067529,48420
1770651278110621,48500
1770651278153747,48460
1770651278196757,48490
1770651278239222,48450
1770651278282334,48460
1770651278325498,48380
1770651278372111,48410
1770651278415162,48400
1770651278458241,48350
1770651278501186,48500
1770651278544191,48350
1770651278587312,48380
1770651278630559,48610
1770651278673020,48470
1770651278716018,48500
1770651278759069,48520
1770651278801691,48550
1770651278844593,48550
1770651278887807,48530
1770651278932282,48560
1770651278975345,48490
1770651279018569,48510
1770651279061758,48460
1770651279104667,48540
1770651279147822,48440
1770651279190869,48480
1770651279233511,48380
1770651279276478,48430
1770651279319628,48420
1770651279362739,48350
1770651279405744,48380
1770651279452228,48260
1770651279495257,48290
1770651279538081,48300
1770651279581051,48290
1770651279624174,48300
1770651279667402,48380
1770651279710518,48340
1770651279753617,48250
1770651279796800,48240
1770651279839730,48270
1770651279882774,48300
1770651279925427,48310
1770651279972303,48460
1770651280015501,48450
1770651280058688,48480
1770651280101864,48530
1770651280144917,48590
1770651280188055,48550
1770651280231305,48570
1770651280274436,48460
1770651280317551,48510
1770651280360608,48470
1770651280403711,48500
1770651280446642,48470
1770651280492420,48570
1770651280535509,48360
1770651280578628,48530
1770651280621690,48360
1770651280664751,48370
1770651280707683,48450
