unix_timestamp,active_power (mW)
1770652741390682,49260
1770652741433381,49600
1770652741477789,49260
1770652741520857,49350
1770652741564073,49420
1770652741607195,49570
1770652741650352,49730
1770652741693353,49700
1770652741736466,49550
1770652741779619,49650
1770652741822535,49600
1770652741865708,49660
1770652741908713,49390
1770652741951728,49390
1770652741997519,49630
1770652742040709,49560
1770652742083511,49240
1770652742126746,49270
1770652742169666,49260
1770652742212759,49320
1770652742255743,49220
1770652742298851,49220
1770652742342052,49260
1770652742385057,49300
1770652742428173,49360
1770652742471205,49310
1770652742517520,49450
1770652742560709,49400
1770652742603395,49560
1770652742646479,49770
1770652742689169,49720
1770652742732352,49680
1770652742775574,49700
1770652742818328,49700
1770652742861490,49730
1770652742904423,49660
1770652742947595,49680
1770652742990288,49760
1770652743037251,49470
1770652743080016,49440
1770652743123099,49380
1770652743166164,49480
1770652743208809,49520
1770652743251839,49490
1770652743294853,49540
1770652743337981,49500
1770652743381223,49390
1770652743424202,49490
1770652743467340,49470
1770652743509802,49430
1770652743556996,49670
1770652743600216,49710
1770652743643405,49750
1770652743686480,49800
1770652743730072,49750
1770652743773205,49760
1770652743816223,49760
1770652743859460,49710
1770652743902629,49770
1770652743945629,49740
1770652743988745,49780
1770652744031874,49780
1770652744076994,49740
1770652744119979,49760
1770652744163046,49770
1770652744206015,49810
1770652744248923,49710
1770652744292006,49770
1770652744334680,49690
1770652744377784,49700
1770652744420955,49690
1770652744464133,49710
1770652744507067,49780
1770652744550077,49630
1770652744596634,49710
1770652744639708,49620
1770652744682649,49660
1770652744725822,49600
1770652744768927,49590
1770652744812011,49720
1770652744854857,49690
1770652744897683,49690
1770652744940319,49610
1770652744983385,49580
1770652745025973,49660
1770652745069064,49610
1770652745111965,49680
1770652745156409,49670
1770652745199530,49680
1770652745242639,49650
1770652745284874,49640
1770652745328119,49670
1770652745371133,49620
1770652745414133,49680
1770652745456856,49700
1770652745499731,49640
1770652745542726,49700
1770652745585949,49760
1770652745628950,49560
1770652745672346,49710
1770652745716331,49700
1770652745759414,49670
1770652745802281,49780
1770652745845309,49620
1770652745888508,49640
1770652745931584,49650
1770652745974531,49730
1770652746017559,49640
1770652746060687,49610
1770652746103817,49760
1770652746146858,49690
1770652746189913,49760
1770652746235989,49700
1770652746278768,49780
1770652746321692,49730
1770652746364722,49790
1770652746407787,49670
1770652746450725,49680
1770652746493862,49840
1770652746536913,49680
1770652746579557,49780
1770652746622448,49670
1770652746665859,49770
1770652746708990,49670
1770652746755776,49680
1770652746798785,49650
1770652746841744,49640
1770652746884763,49650
1770652746927607,49740
1770652746970641,49720
1770652747013795,49660
1770652747056880,49560
1770652747099693,49700
1770652747142152,49770
1770652747185104,49580
1770652747228044,49700
1770652747271070,49740
1770652747315476,49670
1770652747358534,49680
1770652747400972,49750
1770652747444209,49600
1770652747487355,49590
1770652747530193,49670
1770652747573363,49630
1770652747616313,49630
1770652747659330,51730
1770652747702426,50100
1770652747745402,49660
1770652747788419,49720
1770652747835134,49740
1770652747878266,49680
1770652747921198,49680
1770652747964266,49740
1770652748007124,49700
1770652748050322,49720
1770652748093338,49770
1770652748136501,49810
1770652748179705,49690
1770652748222605,49680
1770652748265710,49830
1770652748308755,49780
1770652748355103,49790
1770652748398233,49820
1770652748441329,49770
1770652748484337,49720
1770652748527424,49850
1770652748570620,49700
1770652748613360,49690
1770652748656366,49710
1770652748698748,49760
1770652748741189,49740
1770652748784121,49690
1770652748827252,49750
1770652748870247,49790
1770652748914909,49690
1770652748957928,49880
1770652749000829,49800
1770652749043835,49670
1770652749086437,49780
1770652749129367,49760
