unix_timestamp,active_power (mW)
1774608701915040,45800
1774608701957429,43580
1774608701999962,46150
1774608702042954,46070
1774608702086084,46050
1774608702128766,45980
1774608702171626,46030
1774608702214506,46010
1774608702257374,46060
1774608702300442,46110
1774608702343526,46140
1774608702386691,46140
1774608702429942,46030
1774608702475369,46040
1774608702518088,46050
1774608702561005,46030
1774608702603878,46140
1774608702646639,46110
1774608702689784,46070
1774608702733024,46050
1774608702776136,46030
1774608702819128,46040
1774608702862350,45990
1774608702905376,45980
1774608702948421,46030
1774608702991677,46110
1774608703035693,46070
1774608703078884,46010
1774608703121611,46000
1774608703164684,45990
1774608703207836,46010
1774608703250782,46050
1774608703293982,45960
1774608703337149,46070
1774608703380380,46110
1774608703423636,46180
1774608703466828,46130
1774608703509907,46110
1774608703555938,46000
1774608703598695,46040
1774608703641679,46000
1774608703684837,46090
1774608703727883,46110
1774608703770985,46070
1774608703814186,46140
1774608703857347,46040
1774608703900353,46070
1774608703943176,46020
1774608703986301,46030
1774608704029211,46090
1774608704076149,46070
1774608704119381,46140
1774608704162354,46070
1774608704205358,46060
1774608704248347,46120
1774608704291200,46010
1774608704333802,46040
1774608704376958,46110
1774608704419770,46090
1774608704462737,46130
1774608704505971,46130
1774608704549210,46160
1774608704592372,46070
1774608704636509,46120
1774608704679596,45970
1774608704722589,46100
1774608704765384,46100
1774608704808535,46000
1774608704851470,46120
1774608704894228,46070
1774608704937322,46040
1774608704980200,46060
1774608705023265,46140
1774608705066206,46000
1774608705109235,46050
1774608705152366,46030
1774608705196675,45990
1774608705239614,46030
1774608705282713,46060
1774608705325888,46060
1774608705368910,46090
1774608705412084,46060
1774608705455041,46040
1774608705498219,46040
1774608705541316,46000
1774608705584306,46080
1774608705627053,46060
1774608705669934,46080
1774608705716980,46130
1774608705760036,46080
1774608705802906,46120
1774608705846108,46020
1774608705889036,46020
1774608705932276,45940
1774608705975503,46050
1774608706018462,46060
1774608706061497,46140
1774608706104841,46140
1774608706147787,46060
1774608706190973,46040
1774608706237110,46080
1774608706279972,45960
1774608706323096,46010
1774608706366238,46100
1774608706409155,46060
1774608706452223,46090
1774608706495311,46080
1774608706538330,46160
1774608706581385,46100
1774608706624325,46040
1774608706667513,46140
1774608706710085,46070
1774608706753040,46140
1774608706797394,46070
1774608706840440,46040
1774608706883343,46100
1774608706926488,46000
1774608706969438,46000
1774608707012418,46070
1774608707055499,46100
1774608707098457,46120
1774608707141388,46100
1774608707184226,46110
1774608707227010,46050
1774608707269670,46060
1774608707312740,45960
1774608707357495,46040
1774608707400647,46100
1774608707443589,46070
1774608707486603,46030
1774608707529735,46110
1774608707573046,46020
1774608707616010,46090
1774608707659022,46100
1774608707701557,46080
1774608707744626,46090
1774608707787928,46020
1774608707830481,46090
1774608707873629,46040
1774608707917640,45990
1774608707960557,46000
1774608708003725,46020
1774608708046514,45990
1774608708089460,46110
1774608708132442,46150
1774608708175549,46170
1774608708218782,46020
1774608708261946,46100
1774608708304927,46000
1774608708348102,46040
1774608708391285,45980
1774608708437855,46040
1774608708480875,45990
1774608708523304,45960
1774608708565712,45980
1774608708608786,45950
1774608708651883,45940
1774608708694899,45870
1774608708737777,46010
1774608708780978,45830
