unix_timestamp,active_power (mW)
1770052868397379,45830
1770052868440255,41620
1770052868482953,45930
1770052868525986,46050
1770052868569028,46060
1770052868612119,46010
1770052868655390,46050
1770052868697970,45930
1770052868740922,45960
1770052868784232,45980
1770052868827055,45910
1770052868872294,45980
1770052868915053,45940
1770052868958110,46000
1770052869000899,46010
1770052869043873,45940
1770052869086623,45960
1770052869129103,45980
1770052869172261,46070
1770052869215237,45970
1770052869257888,45990
1770052869301371,45950
1770052869344522,46020
1770052869387698,45950
1770052869431769,46040
1770052869474773,46070
1770052869517962,45890
1770052869560830,45900
1770052869603942,45990
1770052869647126,45990
1770052869689905,45980
1770052869732989,45890
1770052869776029,45970
1770052869819001,45950
1770052869861268,45980
1770052869903589,45940
1770052869946133,45970
1770052869991112,45910
1770052870034269,45940
1770052870077306,46020
1770052870120334,45960
1770052870163479,45910
1770052870206106,45890
1770052870249054,45960
1770052870292218,46010
1770052870335187,45920
1770052870378201,45980
1770052870421217,45950
1770052870464354,45900
1770052870510505,45910
1770052870553207,46000
1770052870596412,46050
1770052870639499,46030
1770052870681869,45930
1770052870724908,46020
1770052870767876,45990
1770052870810454,45970
1770052870853258,45940
1770052870896406,45940
1770052870939502,45960
1770052870982125,45990
1770052871025262,46010
1770052871069802,45940
1770052871113127,45980
1770052871156223,46030
1770052871199344,45990
1770052871242389,45960
1770052871285172,45970
1770052871328453,46020
1770052871371486,46020
1770052871414002,46020
1770052871456513,45940
1770052871498927,45960
1770052871541819,46020
1770052871585011,45980
1770052871629308,45960
1770052871671990,45990
1770052871714883,45950
1770052871757189,45940
1770052871799766,45990
1770052871842606,46090
1770052871885711,45980
1770052871928620,45960
1770052871971818,45880
1770052872014443,46000
1770052872056977,46030
1770052872099505,45870
1770052872142223,45940
1770052872188836,45980
1770052872231834,45950
1770052872274899,45940
1770052872317410,45970
1770052872360613,45990
1770052872403739,45930
1770052872446878,45960
1770052872489945,45970
1770052872532892,45870
1770052872576086,46030
1770052872619147,46010
1770052872662273,45980
1770052872708122,46000
1770052872751177,45970
1770052872793947,45990
1770052872836715,46000
1770052872879566,45950
1770052872922267,45900
1770052872964870,45990
1770052873007671,46030
1770052873050008,46000
1770052873092914,45900
1770052873135977,45980
1770052873178593,45990
1770052873221149,46040
1770052873267492,45980
1770052873310174,46050
1770052873353357,46010
1770052873396557,45930
1770052873439424,45910
1770052873481984,45960
1770052873525169,45960
1770052873568233,46010
1770052873611211,46030
1770052873653886,45900
1770052873696973,45960
1770052873739998,45960
1770052873783120,45980
1770052873827152,45950
1770052873869824,45950
1770052873913030,45960
1770052873956053,45910
1770052873999055,45910
1770052874042064,45860
1770052874085219,45990
1770052874128217,45920
1770052874171215,45920
1770052874214373,45970
1770052874257176,45960
1770052874300151,45970
1770052874346511,45950
1770052874389243,45890
1770052874432326,45880
1770052874475177,46000
1770052874517891,46070
1770052874560816,45970
1770052874603886,45910
1770052874646717,45950
1770052874689837,45970
1770052874732711,45950
1770052874775786,45980
1770052874818706,45960
1770052874865822,45940
1770052874908681,45990
1770052874951661,45970
1770052874994180,45910
1770052875037303,46010
1770052875080260,46040
1770052875123267,45980
1770052875166110,45990
1770052875208875,45950
1770052875252142,45990
1770052875295172,45940
1770052875337879,46050
1770052875380970,45980
1770052875425386,45990
1770052875468501,45960
1770052875511490,45990
1770052875554617,45940
1770052875597213,45920
1770052875640455,46000
1770052875683477,45880
1770052875726145,45910
1770052875769176,45920
1770052875812460,45960
1770052875855346,45990
1770052875897764,46030
1770052875944989,45890
1770052875988013,45950
1770052876030889,45990
1770052876073912,45970
1770052876116960,45870
1770052876159914,45920
1770052876202514,45890
1770052876245174,45920
1770052876288155,45920
1770052876330579,45930
1770052876373026,45990
1770052876415750,45960
1770052876458937,45950
1770052876504361,45940
1770052876547159,45940
1770052876589837,45960
1770052876632919,45910
1770052876675503,45980
1770052876718340,45980
1770052876760790,45900
1770052876803802,45900
1770052876846774,45920
1770052876889252,45960
1770052876932403,45980
1770052876974870,45920
1770052877017871,46010
1770052877063870,45930
1770052877106400,45940
1770052877148884,45960
1770052877191764,45910
1770052877234829,45910
1770052877277781,46030
1770052877320831,45910
1770052877363695,45910
1770052877406369,46000
1770052877449279,45950
1770052877492242,45990
1770052877535279,45940
1770052877577731,45960
1770052877623213,45990
1770052877665899,46020
1770052877709103,45930
1770052877752181,46030
1770052877795490,45920
1770052877838115,46060
1770052877881250,45930
1770052877924166,45910
1770052877967218,45900
1770052878009447,46020
1770052878052682,46040
1770052878095536,45940
1770052878138735,45920
1770052878182643,46050
1770052878225404,46020
1770052878268258,45950
1770052878310910,45960
1770052878353485,46020
1770052878396142,46090
1770052878438773,45950
1770052878481319,45950
1770052878524460,45960
1770052878567678,46010
1770052878610005,45990
1770052878652903,45920
1770052878696075,45980
1770052878742229,46090
1770052878785327,45960
1770052878828467,45920
1770052878871501,45880
1770052878914538,46020
1770052878957580,45990
1770052879000823,45980
1770052879043994,45860
1770052879087160,45990
1770052879130208,45950
1770052879173201,45980
1770052879215880,45930
1770052879261748,45980
1770052879304824,45950
1770052879347772,45980
1770052879390504,45880
1770052879433672,45890
1770052879476818,45990
1770052879519182,46010
1770052879562188,45950
1770052879605310,45940
1770052879648164,45960
1770052879690948,45930
1770052879733446,45990
1770052879776459,45930
1770052879821289,45940
1770052879864355,45930
1770052879907384,45970
1770052879950222,45930
1770052879993137,45930
1770052880036132,46000
1770052880079197,46000
1770052880121888,45980
1770052880164823,45920
1770052880207957,45980
1770052880250575,45950
1770052880293183,46040
1770052880336126,45950
1770052880380822,45920
1770052880423435,45940
1770052880466120,46010
1770052880509169,45970
1770052880552347,46100
1770052880595223,46000
1770052880637881,45940
1770052880680906,45970
1770052880724046,45890
1770052880766925,45990
1770052880809488,45990
1770052880852503,45970
1770052880895634,45870
1770052880940629,45880
1770052880983582,45840
1770052881026048,45980
1770052881069284,45930
1770052881112444,45880
1770052881155433,45910
1770052881198109,45930
1770052881241322,45900
1770052881284486,45920
1770052881328260,45900
1770052881371231,45850
1770052881413965,45880
1770052881460113,45980
1770052881502882,45930
1770052881545715,45860
1770052881588844,45840
1770052881631667,45930
1770052881674876,46000
1770052881717737,45930
1770052881760308,45940
1770052881802746,45920
1770052881845426,45980
1770052881888127,46040
1770052881930930,45960
1770052881973848,45890
1770052882019440,46030
1770052882062534,46020
1770052882105787,45950
1770052882148908,45930
