unix_timestamp,active_power (mW)
1774622977237528,50240
1774622977279943,50150
1774622977326295,50150
1774622977369444,50210
1774622977412620,50160
1774622977455598,50150
1774622977498660,50110
1774622977541652,50090
1774622977584704,50220
1774622977627646,50090
1774622977670341,50090
1774622977713379,50140
1774622977756252,50100
1774622977799118,50100
1774622977841661,50210
1774622977886402,50290
1774622977929586,50220
1774622977972476,50270
1774622978015625,50280
1774622978058757,50310
1774622978101793,50260
1774622978144961,50250
1774622978188173,50210
1774622978231096,50260
1774622978274237,50260
1774622978317406,50150
1774622978360633,50220
1774622978406476,50080
1774622978449543,50100
1774622978492464,50310
1774622978535466,50190
1774622978578589,50160
1774622978621621,50110
1774622978664739,50170
1774622978708362,50280
1774622978751568,50190
1774622978794787,50220
1774622978837781,50180
1774622978880878,50130
1774622978926703,50180
1774622978969770,50070
1774622979012863,50170
1774622979055627,50180
1774622979098501,50300
1774622979141633,50240
1774622979184649,50280
1774622979227763,50200
1774622979270777,50070
1774622979313953,50250
1774622979357048,50180
1774622979400135,50120
1774622979446922,50170
1774622979490101,50180
1774622979533318,50220
1774622979576459,50230
1774622979619414,50250
1774622979661931,50230
1774622979705144,50150
1774622979748241,50120
1774622979791245,50160
1774622979834461,50200
1774622979877671,50150
1774622979920753,50230
1774622979967124,50250
1774622980010311,50280
1774622980053519,50280
1774622980096482,50170
1774622980139682,50140
1774622980182463,50130
1774622980225388,50160
1774622980268293,50190
1774622980310962,50260
1774622980353712,50320
1774622980396878,50230
1774622980439783,50200
1774622980482697,50250
1774622980527445,50260
1774622980570003,50240
1774622980613055,50230
1774622980656426,50240
1774622980699546,50220
1774622980742173,50190
1774622980785290,50370
1774622980828238,50910
1774622980871192,50450
1774622980914293,50240
1774622980957403,50270
1774622981000495,50170
1774622981042917,50180
1774622981087758,50190
1774622981130811,50200
1774622981173814,50240
1774622981216912,50190
1774622981259815,50180
1774622981302716,50150
1774622981345654,50300
1774622981388692,50120
1774622981431715,50180
1774622981474267,50140
1774622981517468,50200
1774622981560703,50150
1774622981603536,50230
1774622981648070,50180
1774622981691121,50120
1774622981734338,50160
1774622981777845,50160
1774622981820800,50110
1774622981863748,50080
1774622981906510,50120
1774622981949483,50190
1774622981992596,50190
1774622982035514,50200
1774622982078406,50170
1774622982121640,50200
1774622982168147,50140
1774622982211301,50210
1774622982254349,50220
1774622982297480,50100
1774622982340684,50100
1774622982383697,50120
1774622982426736,50140
1774622982469682,50220
1774622982512700,50160
1774622982555775,50320
