unix_timestamp,active_power (mW)
1774623997993525,48630
1774623998040946,48610
1774623998083970,48580
1774623998126777,48570
1774623998169678,48570
1774623998212812,48590
1774623998259788,48580
1774623998302787,48540
1774623998345868,48600
1774623998388909,48580
1774623998431934,48560
1774623998474957,48560
1774623998517741,48640
1774623998560820,48560
1774623998603272,48500
1774623998646428,48460
1774623998689632,48570
1774623998732817,48570
1774623998779821,48590
1774623998822439,48550
1774623998865547,48470
1774623998908636,48560
1774623998951920,48540
1774623998995037,48510
1774623999037675,48590
1774623999080852,48510
1774623999123592,48560
1774623999166786,48580
1774623999209379,48500
1774623999252538,48510
1774623999295603,48580
1774623999339843,48530
1774623999382559,48590
1774623999425795,48570
1774623999469096,48600
1774623999512289,48590
1774623999554890,48590
1774623999597973,48630
1774623999641222,48580
1774623999684384,48570
1774623999727594,48490
1774623999770553,48570
1774623999813359,48610
1774623999859830,48580
1774623999902914,48540
1774623999945299,48500
1774623999988275,48610
1774624000031323,48610
1774624000074739,48600
1774624000117963,48610
1774624000161208,48540
1774624000204417,48640
1774624000247527,48600
1774624000290585,48620
1774624000333740,48700
1774624000379870,48650
1774624000423033,48660
1774624000465664,48700
1774624000508749,48860
1774624000551679,48710
1774624000594950,48770
1774624000637736,48700
1774624000680938,48740
1774624000723737,48670
1774624000766589,48750
1774624000809844,48730
1774624000852677,48710
1774624000895937,48730
1774624000939849,48750
1774624000982718,48710
1774624001025549,48720
1774624001068735,48710
1774624001111732,48620
1774624001154798,48660
1774624001197995,48610
1774624001240889,48610
1774624001284010,48610
1774624001326933,48690
1774624001369803,48630
1774624001412825,48600
1774624001455868,48720
1774624001499939,48750
1774624001542433,48740
1774624001585564,48640
1774624001628702,48660
1774624001671969,48690
1774624001714643,48650
1774624001757540,48680
1774624001800938,48680
1774624001844132,48670
1774624001887396,48630
1774624001930484,48660
1774624001973616,48750
1774624002019896,48700
1774624002063065,48650
1774624002105670,48700
1774624002148739,48740
1774624002191870,48720
1774624002234553,48670
1774624002277766,48670
1774624002320954,48690
1774624002364094,48660
1774624002406697,48710
1774624002449834,48660
1774624002492922,48630
1774624002539986,48630
1774624002583212,48660
1774624002625639,48520
1774624002668809,48620
1774624002711857,48620
1774624002754929,48640
1774624002797320,48580
1774624002840458,48660
1774624002883507,48660
1774624002926231,48570
1774624002969412,48580
1774624003012661,48680
1774624003055833,48730
1774624003100008,48660
1774624003143136,48560
1774624003185609,48570
1774624003228792,48610
1774624003271713,48660
1774624003314807,52440
1774624003357724,48600
1774624003400157,48610
1774624003443123,48640
1774624003486289,48560
1774624003529596,48500
1774624003572804,48570
1774624003615637,48630
1774624003660030,48530
1774624003702778,48520
1774624003745634,48540
1774624003788879,48590
1774624003831748,48550
1774624003874545,48550
1774624003917527,48600
1774624003960652,48580
1774624004003237,48500
1774624004046202,48590
1774624004089161,48550
1774624004132010,48560
1774624004174977,48520
1774624004220076,48520
1774624004262773,48490
1774624004305849,48520
1774624004348462,48530
1774624004391459,48530
1774624004434556,48570
1774624004477801,48580
1774624004521083,48470
1774624004564271,48560
1774624004607229,48500
1774624004650316,48500
1774624004693514,48550
1774624004740081,48540
1774624004783096,48590
1774624004826251,48540
1774624004869272,48560
1774624004912438,48540
1774624004955439,48550
1774624004998527,48780
1774624005041656,48560
1774624005084523,48610
1774624005127525,48650
1774624005170666,48590
1774624005213462,48610
1774624005260052,48560
1774624005303089,48580
1774624005346003,48640
1774624005389183,48650
1774624005432048,48540
1774624005474981,48550
1774624005518168,48600
1774624005561240,48530
1774624005604302,48620
1774624005647319,48600
1774624005690136,48610
1774624005733230,48660
1774624005780029,48610
1774624005822678,48610
1774624005865635,48690
1774624005908699,48640
1774624005951654,48610
1774624005994621,48670
1774624006037716,48680
1774624006080606,48660
1774624006123724,48670
1774624006166353,48720
1774624006209509,48690
1774624006252559,48690
1774624006295614,48660
1774624006339942,48670
1774624006383129,48650
1774624006425617,48700
1774624006468776,48690
1774624006511745,48740
1774624006554877,48730
1774624006598029,48650
1774624006640978,48680
1774624006684177,48530
1774624006727006,48540
1774624006770179,48590
1774624006813439,48560
1774624006860067,48640
1774624006903118,48490
1774624006946293,48570
1774624006989534,48550
1774624007032734,48490
1774624007075927,48570
1774624007118430,48510
1774624007161596,48540
1774624007204950,48550
1774624007247998,48550
1774624007291047,48500
1774624007334129,48530
1774624007380007,48540
1774624007422624,48500
1774624007465586,48590
1774624007508698,48510
1774624007551578,48580
1774624007594514,48500
1774624007637228,48500
1774624007680287,48560
1774624007723199,48530
1774624007765639,48530
1774624007808804,48640
1774624007851958,48520
1774624007894819,48580
1774624007940294,48620
1774624007983390,48640
1774624008026563,48630
1774624008069430,48720
1774624008112620,48680
1774624008155826,48700
1774624008199023,48730
1774624008241669,48650
1774624008284788,48650
1774624008327881,48680
1774624008370475,48600
1774624008413972,48650
1774624008459918,48490
1774624008502884,48640
1774624008545230,48520
1774624008588216,48560
1774624008631012,48480
1774624008673956,48530
1774624008717160,48570
1774624008760320,48620
1774624008803586,48620
1774624008846399,48530
1774624008889404,48670
1774624008932457,49410
1774624008975655,49210
1774624009019734,48790
1774624009062453,48750
1774624009105579,48710
1774624009148602,48770
1774624009191789,48660
1774624009234883,48710
1774624009277815,48630
1774624009320947,48700
1774624009363896,48700
1774624009406877,48670
1774624009449898,48720
1774624009492878,48720
1774624009539599,48660
1774624009582717,48650
1774624009625662,48690
1774624009668670,48670
1774624009711685,48690
1774624009754519,48770
1774624009797854,48670
1774624009840950,48680
1774624009883739,48650
1774624009926644,48670
1774624009970026,48630
1774624010013147,48680
1774624010059621,48630
1774624010102336,48640
1774624010145497,48650
1774624010188026,48660
1774624010230940,48760
1774624010273865,48630
1774624010317004,48690
1774624010360125,48670
1774624010402894,48580
1774624010445837,48690
1774624010488862,48670
1774624010531756,48840
1774624010574822,48690
1774624010619482,48680
1774624010662559,48710
1774624010705694,48730
1774624010748860,48570
1774624010791714,48580
1774624010834783,48520
1774624010877845,48570
1774624010920945,48670
1774624010963966,48560
1774624011007090,48570
1774624011050269,48600
1774624011093450,48640
1774624011139303,48620
1774624011182349,48610
1774624011225342,48710
1774624011268476,48670
1774624011310952,48700
1774624011354172,48710
1774624011397326,48640
1774624011440411,48710
1774624011483540,48620
1774624011526581,48660
1774624011569540,48570
1774624011612671,48560
1774624011659229,48580
1774624011701799,48540
1774624011744838,48540
1774624011787730,48620
1774624011830494,48600
1774624011873469,48610
1774624011916529,48540
1774624011959525,48580
1774624012002646,48570
