unix_timestamp,active_power (mW)
1774543675370573,43010
1774543675413003,40690
1774543675459753,42770
1774543675502895,43020
1774543675545847,43030
1774543675588921,42940
1774543675631834,42960
1774543675675034,43090
1774543675718198,43150
1774543675761132,42870
1774543675803765,42970
1774543675846851,43150
1774543675889773,43030
1774543675932848,42970
1774543675975501,43050
1774543676020522,43050
1774543676063695,42980
1774543676106522,43050
1774543676149415,43040
1774543676192467,43010
1774543676235624,43090
1774543676278690,42960
1774543676321818,42980
1774543676364799,43010
1774543676407951,42980
1774543676450924,43050
1774543676494113,43020
1774543676540972,43070
1774543676583616,42990
1774543676626298,43020
1774543676669348,43170
1774543676711780,43040
1774543676754635,43000
1774543676797642,42970
1774543676840778,43060
1774543676883646,42930
1774543676926260,42930
1774543676969191,42960
1774543677012111,42980
1774543677055128,43000
1774543677101554,42890
1774543677144764,42960
1774543677187791,42930
1774543677230913,42970
1774543677274129,42930
1774543677317148,42990
1774543677360102,42960
1774543677403159,42940
1774543677445906,42980
1774543677489105,43090
1774543677531679,42930
1774543677574576,42960
1774543677617606,43010
1774543677662203,43020
1774543677705321,43150
1774543677748299,43000
1774543677791192,42930
1774543677834196,43060
1774543677877104,43100
1774543677920331,42980
1774543677963274,42940
1774543678006107,43010
1774543678049164,43000
1774543678092201,43000
1774543678135262,43020
1774543678178326,43070
1774543678223093,42950
1774543678265683,43040
1774543678308672,43020
1774543678351394,42950
1774543678394321,43000
1774543678437381,42980
1774543678480362,43050
1774543678523016,43010
1774543678566191,42970
1774543678609139,42930
1774543678652222,43060
1774543678695305,43010
1774543678738438,43120
1774543678783690,43030
1774543678826761,43110
1774543678869637,43010
1774543678912706,42980
1774543678955706,42990
1774543678998498,43030
1774543679041654,43060
1774543679084666,43030
1774543679127629,43090
1774543679170487,43030
1774543679213555,42990
1774543679256680,43050
1774543679299716,43000
1774543679344373,43030
1774543679387328,42970
1774543679430441,43000
1774543679473643,43000
1774543679516665,43020
1774543679559808,42980
1774543679602483,43020
1774543679645659,43000
1774543679688712,43130
1774543679731839,42930
1774543679774648,42990
1774543679817775,42970
1774543679864871,43060
1774543679907908,42970
1774543679950605,43120
1774543679993532,43080
1774543680036525,42980
1774543680079749,43070
1774543680122785,43070
1774543680165974,43020
1774543680209150,43010
1774543680252104,42990
1774543680295213,43010
1774543680338227,42960
1774543680381312,43000
1774543680425587,43060
1774543680468835,42990
1774543680511739,43040
1774543680554663,43010
1774543680597589,43000
1774543680640784,43000
1774543680683930,43010
1774543680726550,43040
1774543680769715,43090
1774543680812781,43010
1774543680856046,43030
1774543680899079,43020
1774543680942234,43010
1774543680986469,43070
1774543681029996,43020
1774543681073044,42980
1774543681115824,42930
1774543681158809,42940
1774543681201702,42970
1774543681244952,42900
1774543681287834,42870
1774543681330712,43000
1774543681373620,42940
1774543681416866,42970
1774543681459799,42920
1774543681506662,42940
1774543681549558,42940
1774543681592609,42950
1774543681635855,42980
1774543681678561,42990
1774543681721627,43050
1774543681764743,42950
1774543681807687,43040
1774543681850626,42930
1774543681893651,43040
1774543681936579,42960
1774543681979040,42900
1774543682022276,42950
1774543682067487,42930
1774543682111021,42990
1774543682153493,43000
1774543682196693,43000
1774543682239799,42940
1774543682282781,42930
1774543682325848,43030
1774543682368819,43000
1774543682411679,42990
1774543682454323,43000
1774543682497187,43090
1774543682540197,42990
1774543682583047,42900
1774543682628100,42880
1774543682671137,43050
1774543682714227,43010
1774543682757321,42950
1774543682800125,43060
1774543682843118,43170
1774543682885579,43100
1774543682928793,42930
1774543682971586,43020
1774543683014579,43010
1774543683057636,43030
1774543683100873,43020
1774543683144059,43060
1774543683188847,43040
1774543683231674,43050
1774543683274523,43020
1774543683317665,43010
1774543683360710,43060
1774543683403588,43050
1774543683446623,43000
1774543683489798,42950
1774543683532911,42980
1774543683575887,42990
1774543683618531,43010
1774543683661675,42910
1774543683704794,42970
1774543683749485,43040
1774543683791901,42990
1774543683834933,43150
1774543683878080,42970
1774543683921054,42940
1774543683963969,43040
1774543684006894,43040
1774543684049921,42990
1774543684093049,42990
1774543684135987,43010
1774543684179111,42960
1774543684222107,42980
1774543684265036,43120
1774543684310275,42960
1774543684353296,42950
1774543684395873,43100
1774543684438835,42940
1774543684481856,43000
1774543684525131,43060
1774543684568173,42930
1774543684610772,42960
1774543684653719,43030
1774543684696721,43020
1774543684739902,42940
1774543684782872,42990
1774543684825909,42950
1774543684871033,43160
1774543684914161,43040
1774543684957336,43040
1774543685000411,43010
1774543685043500,43070
1774543685086489,43040
1774543685129553,42910
1774543685172730,42950
1774543685215592,43020
1774543685258739,43030
1774543685301675,43000
1774543685344589,42940
1774543685391526,43000
1774543685434728,43000
1774543685477840,43050
1774543685520949,43000
1774543685564179,43000
1774543685606642,42950
1774543685649697,43010
1774543685692895,43070
1774543685736178,43080
1774543685779222,42990
1774543685822660,42980
1774543685865933,42970
1774543685912259,43040
1774543685955454,42940
1774543685998663,43010
1774543686041502,42950
1774543686084367,43000
1774543686127496,42970
1774543686170560,42990
1774543686213670,43090
1774543686256825,42970
1774543686299809,43000
1774543686342325,43030
1774543686385458,43030
1774543686428514,42960
1774543686472907,42990
1774543686515989,42990
1774543686558687,42970
1774543686601641,43060
1774543686644828,42970
1774543686687979,43070
1774543686730965,43100
1774543686773853,43010
1774543686816945,42950
1774543686859938,43060
1774543686902903,43010
1774543686945907,43130
1774543686989083,43050
1774543687033596,43050
1774543687076694,42990
1774543687119755,43040
1774543687162846,43040
1774543687205938,43020
1774543687249064,43000
1774543687292057,43070
1774543687335023,42990
1774543687377774,42990
1774543687420788,43000
1774543687463252,42970
1774543687506321,43070
1774543687549487,43050
1774543687594236,42980
1774543687637175,42930
1774543687680194,43150
1774543687723189,42990
1774543687765710,42960
1774543687808741,43030
1774543687851918,43070
1774543687894479,42930
1774543687937657,42840
1774543687980676,42920
1774543688023904,43070
1774543688067056,42910
1774543688110123,42960
1774543688154880,42970
1774543688198005,42910
1774543688241065,42920
1774543688283793,42970
1774543688326922,42850
1774543688370026,42930
1774543688413105,43020
1774543688456137,42950
1774543688499049,43030
1774543688542133,42990
1774543688585054,43080
1774543688628167,42940
1774543688671076,42960
