unix_timestamp,active_power (mW)
1774601952835431,43100
1774601952877820,43300
1774601952920916,43090
1774601952963996,43180
1774601953006958,43150
1774601953050133,43210
1774601953095838,43160
1774601953138977,43160
1774601953181531,43180
1774601953224691,43120
1774601953267571,43080
1774601953310581,43160
1774601953353550,43050
1774601953396537,43140
1774601953439208,43060
1774601953482103,43060
1774601953525184,42990
1774601953568265,43070
1774601953611057,42960
1774601953655949,43050
1774601953699027,42910
1774601953742195,43000
1774601953785456,43030
1774601953828539,43030
1774601953871570,42960
1774601953914340,43090
1774601953957444,43100
1774601954000577,43090
1774601954042991,43100
1774601954086049,43190
1774601954129195,43100
1774601954175748,43130
1774601954218836,43160
1774601954261693,43060
1774601954304973,43150
1774601954348021,43070
1774601954391070,43060
1774601954434149,43040
1774601954477323,43080
1774601954519784,43120
1774601954562660,43010
1774601954605545,43100
1774601954647882,43080
1774601954690835,43130
1774601954735490,43130
1774601954778595,43080
1774601954821561,43080
1774601954864580,43080
1774601954907536,43080
1774601954950657,43050
1774601954993973,43050
1774601955036901,43000
1774601955080020,43020
1774601955123220,42950
1774601955166483,42940
1774601955209643,42970
1774601955255595,42980
1774601955298587,42960
1774601955341460,43050
1774601955384706,42990
1774601955427849,43070
1774601955471138,42960
1774601955514316,42970
1774601955557517,42950
1774601955600548,43040
1774601955643575,43030
1774601955686601,43000
1774601955729482,42930
1774601955775444,43060
1774601955818544,43040
1774601955861625,43090
1774601955904563,43100
1774601955947559,43050
1774601955990422,43170
1774601956033431,43060
1774601956076610,43110
1774601956119703,43100
1774601956162766,43100
1774601956205909,43140
1774601956248981,43140
1774601956295094,43040
1774601956338181,43150
1774601956381459,43160
1774601956424570,43140
1774601956467478,43110
1774601956510336,43150
1774601956553539,43140
1774601956596727,43040
1774601956639689,43130
1774601956682794,43160
1774601956725597,43170
1774601956768526,43140
1774601956814980,43040
1774601956858106,43030
1774601956901146,43060
1774601956944130,43070
1774601956987120,43030
1774601957029562,43040
1774601957072640,42950
1774601957115591,42980
1774601957158581,43020
1774601957201584,43080
1774601957244711,43090
1774601957287650,43090
1774601957330381,43100
1774601957374753,43080
1774601957417903,43130
1774601957461051,43120
1774601957504272,43140
1774601957547096,43090
1774601957589751,43070
1774601957632821,43060
1774601957675832,43120
1774601957718813,43060
1774601957761949,43040
1774601957805054,43000
1774601957847996,43010
1774601957894490,43140
1774601957937596,43140
1774601957980439,43120
1774601958023478,43200
1774601958066553,43070
1774601958109615,43090
1774601958152636,43160
1774601958195781,43130
1774601958238796,43190
1774601958281833,43080
1774601958324994,43140
1774601958367880,43080
1774601958414472,43120
1774601958457613,43100
1774601958500593,43120
1774601958543456,43100
1774601958586571,43140
1774601958629456,43070
1774601958672474,43150
1774601958715493,43090
1774601958758620,43130
1774601958801499,43160
1774601958844140,43090
1774601958887235,43050
1774601958934066,43070
1774601958976812,43050
1774601959020004,43070
1774601959062863,43040
1774601959106050,43020
1774601959149255,43070
1774601959192310,43070
1774601959235534,43100
1774601959278600,43130
1774601959321624,43120
1774601959364589,43070
1774601959407590,42970
