unix_timestamp,active_power (mW)
1774608517573093,45820
1774608517615542,42600
1774608517658233,46370
1774608517701358,45970
1774608517744505,45910
1774608517787636,45860
1774608517830913,45940
1774608517873974,46100
1774608517919406,45910
1774608517962485,45900
1774608518005428,46030
1774608518048511,45990
1774608518091082,45950
1774608518134117,45830
1774608518176742,45970
1774608518219850,46050
1774608518262533,46000
1774608518305755,45870
1774608518348853,45920
1774608518391916,45970
1774608518435039,45990
1774608518479003,45910
1774608518521925,45810
1774608518564973,45960
1774608518608027,45970
1774608518650952,46000
1774608518694011,45870
1774608518737222,45900
1774608518780200,46050
1774608518822992,45970
1774608518866076,45910
1774608518908932,45900
1774608518951914,46050
1774608518998473,45970
1774608519041545,45890
1774608519084422,45990
1774608519127231,46020
1774608519170388,46030
1774608519213550,46000
1774608519256461,46000
1774608519299224,46030
1774608519342419,46160
1774608519384991,46080
1774608519428150,46010
1774608519471329,46060
1774608519513677,46080
1774608519558128,46060
1774608519601209,45990
1774608519644237,46040
1774608519687215,46060
1774608519730308,45940
1774608519773321,46000
1774608519816422,46110
1774608519859319,46020
1774608519902151,45970
1774608519945313,45990
1774608519988524,46080
1774608520031591,45980
1774608520077461,46020
1774608520120431,46010
1774608520163458,45880
1774608520206441,45940
1774608520249476,46080
1774608520292443,45790
1774608520335446,45870
1774608520378388,46030
1774608520421600,46050
1774608520464776,46060
1774608520507883,45870
1774608520550636,45920
1774608520596972,46110
1774608520639990,46010
1774608520683134,46000
1774608520726275,46000
1774608520769406,46090
1774608520812481,45960
1774608520855517,45960
1774608520898319,46040
1774608520941245,46090
1774608520984289,46030
1774608521027504,46050
1774608521070352,45950
1774608521116408,46080
1774608521159447,45960
1774608521201927,45890
1774608521245033,46050
1774608521288089,45930
1774608521331090,45880
1774608521374199,45940
1774608521417279,45890
1774608521460439,45770
1774608521503578,45970
1774608521545982,46000
1774608521589040,45820
1774608521635816,45870
1774608521678889,45990
1774608521722048,45940
1774608521765174,45930
1774608521808081,45890
1774608521851158,45970
1774608521893725,46010
1774608521936907,45920
1774608521979421,45950
1774608522022592,45950
1774608522065761,46050
1774608522108959,46120
1774608522155396,46040
1774608522198141,46080
1774608522241299,46060
1774608522284417,46010
1774608522327481,46080
1774608522370397,46080
1774608522413301,46070
1774608522456434,46020
1774608522499209,45950
1774608522542178,46030
1774608522585214,46010
1774608522628367,46000
1774608522674708,45880
1774608522717277,46020
1774608522760333,45880
1774608522803170,45820
1774608522846281,45990
1774608522889521,45960
1774608522932475,45840
1774608522975373,45820
1774608523017974,45950
1774608523061139,46020
1774608523104287,45990
1774608523147487,45990
1774608523189921,45910
