unix_timestamp,active_power (mW)
1774526492226906,49730
1774526492269122,35420
1774526492311640,22940
1774526492354506,23970
1774526492397478,32290
1774526492443877,48350
1774526492487003,49910
1774526492530122,49830
1774526492573123,49780
1774526492616290,49790
1774526492659361,49860
1774526492702628,49810
1774526492745798,49800
1774526492788633,49730
1774526492831306,49630
1774526492873590,49790
1774526492916551,49650
1774526492963708,49680
1774526493006218,49440
1774526493049242,49650
1774526493092147,49670
1774526493135113,49780
1774526493178179,49790
1774526493221159,49790
1774526493264303,49650
1774526493307520,49710
1774526493350211,49730
1774526493393383,49790
1774526493436546,49700
1774526493479507,49760
1774526493523682,49760
1774526493566637,49730
1774526493609663,49810
1774526493652791,49780
1774526493695928,49770
1774526493738961,49860
1774526493782045,50470
1774526493825143,50020
1774526493868320,49860
1774526493911243,49810
1774526493954128,49820
1774526493997370,49880
1774526494039774,49800
1774526494083771,49720
1774526494126971,49830
1774526494170122,49810
1774526494213214,49840
1774526494256245,49850
1774526494299411,49820
1774526494342501,49910
1774526494385554,49700
1774526494428590,49710
1774526494471737,49860
1774526494514653,49810
1774526494557691,49800
1774526494603657,49730
1774526494646355,49740
1774526494689333,49760
1774526494732089,49730
1774526494775038,49780
1774526494818086,49850
1774526494861028,49800
1774526494904263,49940
1774526494947461,49820
1774526494990421,49800
1774526495033371,49880
1774526495076493,49860
1774526495119675,49850
1774526495163789,49870
1774526495206888,49960
1774526495249398,49870
1774526495292529,49900
1774526495335483,49940
1774526495378644,49900
1774526495421606,49860
1774526495464656,49920
1774526495507814,49820
1774526495550500,49980
1774526495593404,49910
1774526495636510,49740
1774526495679584,49750
1774526495723687,49840
1774526495766533,49880
1774526495809348,49830
1774526495852137,49870
1774526495895246,49830
1774526495938280,49810
1774526495981443,49800
1774526496024547,49700
1774526496067581,49720
1774526496110717,49640
1774526496153586,49640
1774526496196466,49630
1774526496243547,49710
1774526496286597,49690
1774526496329479,49720
1774526496372332,49730
1774526496415316,49780
1774526496458119,49750
1774526496501265,49770
1774526496544145,49710
1774526496587360,49780
1774526496629916,49860
1774526496673101,49720
1774526496716268,49660
1774526496759639,49650
1774526496803580,49730
1774526496846586,49780
1774526496889598,49880
1774526496932606,49830
1774526496975232,49850
1774526497017787,49860
1774526497060624,49810
1774526497103556,49860
1774526497146358,49810
1774526497189509,49850
1774526497232688,49790
1774526497275587,49770
1774526497318636,49740
1774526497363515,49800
1774526497406622,49830
1774526497449756,49780
1774526497492945,49820
1774526497535968,49750
1774526497578784,49700
1774526497621708,49840
1774526497664804,49760
1774526497707913,49780
1774526497751112,49760
1774526497794086,49720
1774526497837118,49810
1774526497883307,49670
1774526497926396,49610
1774526497969639,49650
