unix_timestamp,active_power (mW)
1774523417499529,48330
1774523417542133,24320
1774523417584732,16960
1774523417627673,33210
1774523417670894,38250
1774523417713830,48930
1774523417756882,48830
1774523417799782,48680
1774523417842691,48580
1774523417885502,48580
1774523417928569,48560
1774523417971703,48540
1774523418017941,48510
1774523418061177,48550
1774523418104121,48470
1774523418146932,48430
1774523418189775,48470
1774523418232983,48680
1774523418276191,49420
1774523418319352,48660
1774523418361756,48620
1774523418404840,48570
1774523418447993,48550
1774523418490923,48630
1774523418538133,48570
1774523418580957,48580
1774523418624174,48550
1774523418667091,48640
1774523418709508,48580
1774523418752624,48630
1774523418795582,48700
1774523418838186,48770
1774523418881336,48810
1774523418924528,48670
1774523418967624,48590
1774523419010577,48490
1774523419053670,48430
1774523419098324,48460
1774523419141540,48640
1774523419184608,48640
1774523419227753,48700
1774523419270947,48720
1774523419313323,48590
1774523419356322,48590
1774523419399488,48610
1774523419442537,48630
1774523419485714,48610
1774523419528857,48700
1774523419571820,48640
1774523419614632,48530
1774523419658711,48470
1774523419701903,48460
1774523419744995,48530
1774523419787946,48520
1774523419830574,48490
1774523419873729,48630
1774523419916658,48660
1774523419959563,48480
1774523420002611,48570
1774523420045835,48520
1774523420088718,48530
1774523420131730,48560
1774523420178800,48570
1774523420221975,48610
1774523420265045,48700
1774523420308010,48660
1774523420351044,48730
1774523420394227,48640
1774523420437363,48550
1774523420480366,48560
1774523420522805,48490
1774523420565640,48480
1774523420608578,48510
1774523420651188,48560
1774523420693670,48630
1774523420738983,48640
1774523420781568,48770
1774523420824769,48660
1774523420867707,48560
1774523420910886,48630
1774523420954170,48510
1774523420997217,48750
1774523421040279,48630
1774523421083108,48690
1774523421125732,48630
1774523421169005,48660
1774523421212080,48510
1774523421255137,48630
1774523421299559,48550
1774523421342600,48590
1774523421385800,48570
1774523421428898,48510
1774523421471875,48550
1774523421514890,48500
1774523421557600,48550
1774523421600646,48450
1774523421643725,48540
1774523421686526,48600
1774523421729626,48580
1774523421772715,48640
1774523421819611,48670
1774523421862749,48630
1774523421905998,48750
1774523421949063,48690
1774523421992167,48680
1774523422035131,48690
1774523422078084,48650
1774523422121088,48620
1774523422164155,48550
1774523422207099,48490
1774523422250056,48430
1774523422293211,48530
1774523422339731,48710
1774523422382767,48750
1774523422425701,48770
1774523422468728,48630
1774523422511993,48660
1774523422554661,48700
1774523422597430,48490
1774523422640578,48610
1774523422683856,48680
1774523422726625,48710
1774523422769751,48710
1774523422812845,48620
1774523422856117,48620
1774523422899978,48590
1774523422942914,48500
1774523422986000,48530
1774523423028630,48580
1774523423071758,48500
1774523423114774,48470
1774523423157988,48550
1774523423201135,48540
1774523423244069,48590
1774523423286867,48650
1774523423329883,48570
1774523423372984,48630
1774523423415819,48570
1774523423460386,48610
1774523423503326,48580
1774523423545818,48520
1774523423588854,48630
1774523423631811,48590
1774523423674882,48530
1774523423718067,48600
1774523423761099,48550
1774523423804049,48500
1774523423847079,48510
1774523423890042,48510
1774523423933094,48480
1774523423976230,48540
1774523424020156,48460
1774523424063151,48530
1774523424105863,48510
1774523424148895,48520
1774523424191925,48630
1774523424234436,48740
1774523424277427,48670
1774523424320549,48600
1774523424363832,48640
1774523424406582,48550
1774523424449597,48530
1774523424492827,48610
1774523424535704,48520
1774523424580457,48670
1774523424623556,48680
1774523424666536,48650
1774523424708993,48700
1774523424751932,48710
1774523424794904,48590
1774523424838023,48720
1774523424880926,48490
1774523424924098,48480
1774523424967126,48680
1774523425010168,48540
1774523425053204,48530
1774523425096261,48540
1774523425140632,48590
1774523425183791,48480
1774523425226972,48470
1774523425269679,48570
1774523425312340,48620
1774523425355233,48610
1774523425398364,48580
1774523425441336,48540
1774523425484426,48660
1774523425527077,48650
1774523425570245,48630
1774523425613399,48670
1774523425656450,48670
1774523425700727,48660
1774523425743868,48610
1774523425786920,48570
1774523425829873,48630
1774523425872414,48570
1774523425915258,48580
1774523425957817,48670
1774523426000917,48620
1774523426043961,48580
1774523426087066,48500
1774523426130007,48560
1774523426173142,48610
1774523426216055,48610
1774523426260806,48580
1774523426303923,48600
1774523426347029,48640
1774523426390055,48610
1774523426433119,48500
1774523426476092,48720
1774523426518816,48680
1774523426561837,48590
1774523426605018,48600
1774523426648178,48550
1774523426690677,48620
1774523426733930,48540
1774523426780752,48620
1774523426823855,48730
1774523426866859,48660
1774523426909700,48550
1774523426952877,48650
1774523426995647,48640
1774523427038573,48610
