unix_timestamp,active_power (mW)
1774525427286734,49580
1774525427329056,43300
1774525427375017,22970
1774525427417652,24640
1774525427460733,26980
1774525427503721,31690
1774525427546575,37940
1774525427589524,49270
1774525427632696,49740
1774525427675756,49720
1774525427718320,49590
1774525427761362,49670
1774525427803905,49590
1774525427847080,49550
1774525427889571,49580
1774525427934953,49550
1774525427978107,49570
1774525428021210,49490
1774525428064267,49520
1774525428107523,49460
1774525428150658,49500
1774525428193519,49580
1774525428236778,49740
1774525428279835,49760
1774525428322395,49760
1774525428365519,49770
1774525428408607,49770
1774525428454973,49760
1774525428497777,49740
1774525428540884,49700
1774525428583890,49800
1774525428626637,49770
1774525428669657,49810
1774525428712818,49690
1774525428756020,49790
1774525428799118,51760
1774525428841639,50280
1774525428884622,49660
1774525428927653,49790
1774525428970817,49660
1774525429015077,49710
1774525429058222,49700
1774525429101256,49790
1774525429144446,49770
1774525429187669,49740
1774525429230805,49720
1774525429273842,49730
1774525429316858,49700
1774525429359864,49750
1774525429402870,49770
1774525429445191,49660
1774525429488436,49730
1774525429535675,49640
1774525429578693,49790
1774525429621553,49760
1774525429664492,49700
1774525429707323,49740
1774525429749941,49760
1774525429792994,49670
1774525429835909,49720
1774525429879120,49830
1774525429922234,49890
1774525429965309,49770
1774525430008456,49740
1774525430055358,49770
1774525430098501,49770
1774525430141404,49730
1774525430184285,49740
1774525430227348,49760
1774525430270643,50130
1774525430313526,49710
1774525430356653,49590
1774525430399635,49830
1774525430442727,49840
1774525430485756,49790
1774525430528838,49810
1774525430575445,49690
1774525430618555,49900
1774525430661733,49800
1774525430704653,49780
1774525430747770,49810
1774525430790648,49810
1774525430833963,49760
1774525430876475,49860
1774525430919337,49980
1774525430962571,49830
1774525431005683,49830
1774525431048647,49740
1774525431095599,49650
1774525431138607,49690
1774525431181606,49670
1774525431224690,49680
1774525431267844,49690
1774525431310953,49710
1774525431354089,49690
1774525431397337,49660
1774525431440393,49670
1774525431483260,49530
1774525431526334,49660
1774525431569355,49650
1774525431615626,49750
1774525431658312,49680
1774525431701446,49730
1774525431744522,49740
1774525431787629,49680
1774525431830715,49690
1774525431873851,49690
1774525431916969,49730
1774525431960141,49750
1774525432002598,49700
1774525432045591,49560
1774525432088057,49680
1774525432131170,49620
1774525432175724,49700
1774525432218847,49700
1774525432262034,49680
1774525432305182,49740
1774525432348459,49780
1774525432391451,49890
1774525432434575,49780
1774525432477687,49830
1774525432520710,49790
1774525432563847,49830
1774525432607071,49820
1774525432650143,49860
1774525432695670,49900
1774525432738833,49920
1774525432782036,49890
1774525432825028,49890
1774525432868007,49910
1774525432910976,49830
1774525432954163,49820
1774525432997131,49870
1774525433040150,49870
1774525433083042,49870
1774525433126280,49800
1774525433169406,49860
1774525433215612,49890
1774525433258575,49980
1774525433301652,49900
1774525433344540,49900
1774525433387523,49890
1774525433430247,49900
1774525433473468,49850
1774525433516564,50010
1774525433559502,49970
1774525433602666,49920
1774525433645616,50020
1774525433688527,49930
1774525433731609,49920
1774525433775725,49930
1774525433818856,49980
1774525433861808,49980
1774525433904188,50520
1774525433947165,50610
1774525433990252,50030
1774525434033329,49950
1774525434076344,50050
1774525434119573,49950
1774525434162482,49990
1774525434205552,49900
1774525434248524,50050
1774525434291582,50060
1774525434335751,49900
1774525434378887,49970
1774525434422152,50020
1774525434465255,49920
1774525434507665,49960
1774525434550330,50000
1774525434593566,49910
1774525434636566,49930
1774525434679578,49930
1774525434722168,49950
1774525434765193,49940
1774525434808190,49940
1774525434851295,49920
1774525434895619,49950
1774525434938791,50020
1774525434981883,49920
1774525435024843,50030
1774525435068075,49980
1774525435110561,49990
1774525435153553,50010
1774525435196520,50050
1774525435239579,49980
1774525435282644,49990
1774525435325650,50020
1774525435368689,49990
1774525435415601,50030
1774525435458518,50020
1774525435501651,49910
1774525435544628,49810
1774525435587484,49950
1774525435630234,49960
1774525435673371,49970
1774525435716222,49950
1774525435759520,49950
1774525435802540,49970
1774525435845560,50040
1774525435888592,50020
1774525435935505,49960
1774525435978670,50010
1774525436021650,49960
1774525436064630,49920
1774525436107629,49960
1774525436150726,49980
1774525436193701,50010
1774525436236771,49910
1774525436279845,49850
1774525436322500,49840
1774525436365408,49810
1774525436408322,49910
1774525436451540,49880
1774525436495489,49920
1774525436538630,49960
1774525436581720,49960
1774525436624896,49960
1774525436668168,49920
1774525436711369,50060
1774525436754505,49840
1774525436797725,49890
1774525436840666,50020
1774525436883703,49940
1774525436926309,49930
1774525436969498,49920
1774525437015224,49790
1774525437058365,49850
1774525437101541,49800
1774525437144578,49800
1774525437187679,49800
1774525437230503,49840
1774525437273731,49870
1774525437316866,49860
1774525437359789,49880
1774525437402951,49900
1774525437445532,49940
1774525437488355,49950
